feature,true_rank,true_mean,true_std,perm_mean_same_feature,perm_std_same_feature,perm_mean_same_rank,perm_std_same_rank
psd_relative_delta_mean_central_mid_trimmean,1,0.003271539673221881,0.0005241467285424468,0.001993028224409431,0.00043929803327096993,0.0036379126104211625,0.0003439240169952281
psd_relative_gamma_mean_posterior_right_trimmean,2,0.002907626367860556,0.00046495491120641415,0.0019374282389407816,0.0004261054040871293,0.0033595727616454103,0.0002250478978731998
slowwaves_PTP_mean_frontal_right_trimmean,3,0.002906244563453706,0.0005095206621101681,0.00204726428434337,0.0004676734374942531,0.003214002297449469,0.00017451653355038394
PE_theta_mean_central_right_trimmean,4,0.002855210961663171,0.0005014706169911394,0.0019012177072285055,0.00041819807611365536,0.003110078250572221,0.00014139101177679025
slowwaves_PTP_mean_frontal_left_trimmean,5,0.0028520052734519624,0.0004949389933372024,0.0020568990502084477,0.00045359757670089236,0.0030364831500689425,0.00012466585363446226
kolmogorov_complexity_mean_frontal_mid_trimmean,6,0.002847180870034299,0.0005295546340536567,0.0021904434211363973,0.0004639183395332783,0.0029792430067740864,0.000113037168456845
psd_relative_gamma_mean_central_left_trimmean,7,0.0027839314250613202,0.0004838883250224302,0.0019340610317811707,0.00043264200997126194,0.002923177847613582,0.00010493296385187488
psd_relative_theta_mean_central_right_trimmean,8,0.0027598963020432038,0.00042946949804314853,0.0021055440693560756,0.00046204643132837176,0.002877623481310349,9.686531458457813e-05
wsmi_theta_mean_central_right_trimmean,9,0.0027380842490281536,0.00046756021957987593,0.0022249660001093714,0.0005160486499030058,0.0028392921386363626,9.337132578310424e-05
psd_relative_alpha_mean_posterior_left_trimmean,10,0.0027221143758464406,0.0005455231840221771,0.0017617473695765795,0.00037010675550984976,0.002803349100373079,9.083926740137952e-05
slowwaves_PTP_mean_central_left_trimmean,11,0.002703099712561697,0.0005076809022922001,0.0018471693260485782,0.0003906437872147965,0.0027696772979762725,8.5632125974357e-05
slowwaves_Density_mean_central_left_trimmean,12,0.002697557765052245,0.00049649148151813,0.0015500563168229513,0.0003378363287908119,0.002738994409298104,7.882082305064196e-05
wsmi_gamma_mean_central_mid_trimmean,13,0.00268717351421678,0.00045094225550899246,0.0022312303056843436,0.0004839297271511194,0.0027097568364319842,7.536530402132802e-05
wsmi_beta_mean_frontal_mid_trimmean,14,0.0026611192650906556,0.0004491273989140492,0.002219512201036018,0.00047112124845384535,0.002684173762804467,7.373615981191429e-05
psd_relative_gamma_mean_frontal_left_trimmean,15,0.002628081005390186,0.0004227056572312982,0.0019135059496007403,0.00041853177486901914,0.002660093391802816,6.962337897506145e-05
slowwaves_Density_mean_frontal_left_trimmean,16,0.0026061297303133007,0.0004200387189682798,0.001721894424105875,0.00041208799992312764,0.002638018126522904,6.74065381949145e-05
kolmogorov_complexity_mean_central_mid_trimmean,17,0.0025832118590587206,0.000416422441662468,0.002191591690288056,0.0004910256918846847,0.0026170484635962945,6.693675816682141e-05
wsmi_gamma_mean_posterior_left_trimmean,18,0.002569380458382644,0.0003952670060549942,0.002209227055281692,0.0004998808712135062,0.0025947110599205247,6.573772843042999e-05
PE_gamma_mean_posterior_left_trimmean,19,0.00256516442771289,0.000419059563752988,0.0017760877505903821,0.0003659811566813765,0.0025748298403666437,6.285240727669113e-05
wsmi_theta_mean_central_left_trimmean,20,0.0025310757504724895,0.0004261317479920382,0.0021957498266644104,0.0004863632627498626,0.0025545802400314993,6.204368156940347e-05
