subject,run_idx,mean_auc,mean_auprc,mean_mcc,mean_balanced_accuracy,mean_precision,mean_recall,mean_f1,n_samples,n_positive,n_negative
03,99.0,0.49444444444444446,0.5544444444444444,-0.08737734478532144,0.4666666666666666,0.31666666666666665,0.4666666666666666,0.37142857142857144,33.0,14.0,19.0
04,99.0,0.8455555555555556,0.8758961038961038,0.562933277826805,0.7699999999999999,0.8433333333333334,0.6733333333333332,0.7321212121212122,56.0,27.0,29.0
05,99.0,0.4611111111111111,0.5697558922558922,-0.065720992955052,0.4666666666666666,0.4619047619047619,0.5,0.4737728937728938,60.0,30.0,30.0
06,99.0,0.29733333333333334,0.4288701298701299,-0.3140377759870955,0.3466666666666667,0.3404761904761905,0.3733333333333333,0.35064935064935066,54.0,26.0,28.0
07,99.0,0.5333333333333334,0.65,0.19999999999999998,0.5999999999999999,0.3,0.4,0.3333333333333333,20.0,7.0,13.0
08,99.0,0.548,0.5917320827320827,0.15946207556939201,0.5733333333333334,0.5819047619047618,0.54,0.5329004329004328,52.0,26.0,26.0
10,99.0,0.6416666666666667,0.7469523809523808,0.25955356832901877,0.6166666666666668,0.6416666666666667,0.7333333333333334,0.680952380952381,50.0,28.0,22.0
12,99.0,0.5349999999999999,0.6508650793650792,0.07165677929718064,0.5349999999999999,0.5799999999999998,0.52,0.5408369408369408,41.0,21.0,20.0
14,99.0,0.875,0.85,0.41761852213393347,0.735,0.5,0.7,0.5599999999999999,31.0,9.0,22.0
18,99.0,0.776,0.8315079365079366,0.3175974008082621,0.64,0.6306349206349207,0.76,0.6755844155844156,50.0,25.0,25.0
19,99.0,0.15,0.3833333333333333,-0.38213672050459185,0.31666666666666665,0.06666666666666667,0.1,0.08,17.0,6.0,11.0
20,99.0,0.7,0.8166666666666667,0.08452994616207483,0.55,0.6,0.8,0.68,19.0,11.0,8.0
21,99.0,0.4222222222222222,0.5044444444444444,-0.0402283018554631,0.4916666666666667,0.3333333333333333,0.4,0.35428571428571426,29.0,12.0,17.0
22,99.0,0.7150000000000001,0.8060476190476191,0.33139343890728334,0.6633333333333333,0.7166666666666667,0.7100000000000001,0.7018181818181818,42.0,24.0,18.0
24,99.0,0.8166666666666668,0.8333333333333333,0.3405279454192497,0.6583333333333333,0.62,0.6666666666666667,0.6185714285714285,35.0,15.0,20.0
25,99.0,0.6183333333333333,0.7221216931216932,0.12542813707587264,0.5616666666666666,0.6076190476190476,0.6333333333333334,0.6176223776223777,49.0,27.0,22.0
26,99.0,0.5,0.6181269841269841,0.003796273192996069,0.485,0.5733333333333334,0.52,0.48,42.0,22.0,20.0
27,99.0,0.8629999999999999,0.8522380952380952,0.6668950992520143,0.8266666666666665,0.8,0.8,0.7922077922077922,49.0,23.0,26.0
28,99.0,0.6844444444444443,0.7021758056758056,0.3296735329204371,0.6599999999999999,0.6909523809523809,0.5933333333333334,0.6228749028749029,58.0,29.0,29.0
29,99.0,0.359,0.5374947089947091,-0.24656290064995087,0.39166666666666666,0.4440476190476191,0.4533333333333333,0.4294794094794095,50.0,27.0,23.0
30,99.0,0.6849999999999999,0.7642936507936507,0.40534655555969656,0.6849999999999999,0.6842857142857143,0.77,0.7115584415584415,42.0,22.0,20.0
31,99.0,0.7583333333333333,0.7666666666666666,0.645100910149559,0.7833333333333333,0.9,0.6666666666666666,0.72,32.0,12.0,20.0
32,99.0,0.41000000000000003,0.5081228956228957,-0.03380617018914066,0.4833333333333333,0.48571428571428565,0.44666666666666666,0.4613986013986014,58.0,29.0,29.0
34,99.0,0.3956666666666667,0.5402777777777779,-0.09728715609439695,0.45499999999999996,0.4723809523809523,0.4600000000000001,0.45888888888888885,50.0,26.0,24.0
35,99.0,0.662,0.7148253968253968,0.3116889457034467,0.65,0.6509523809523808,0.7,0.660952380952381,46.0,23.0,23.0
37,99.0,0.7043333333333333,0.7602142857142857,0.33080148894829947,0.6616666666666667,0.6926190476190476,0.7533333333333333,0.7149783549783549,51.0,28.0,23.0
38,99.0,0.8333333333333334,0.9,0.48213672050459183,0.7333333333333333,0.6666666666666666,0.6333333333333333,0.6266666666666667,23.0,11.0,12.0
40,99.0,0.2208333333333333,0.4227380952380952,-0.39225956126851214,0.3166666666666666,0.21666666666666665,0.26666666666666666,0.23428571428571426,37.0,18.0,19.0
41,99.0,0.5386666666666666,0.5559357864357863,0.1516496580927726,0.5766666666666667,0.6088888888888888,0.6199999999999999,0.5433766233766233,51.0,23.0,28.0
42,99.0,0.7166666666666667,0.8192619047619049,0.30127845738949793,0.645,0.7266666666666667,0.64,0.6697402597402597,41.0,23.0,18.0
43,99.0,0.43888888888888894,0.6413730158730159,-0.04616159691507504,0.47000000000000003,0.5642857142857143,0.7066666666666667,0.6169297369297368,45.0,27.0,18.0
