feature,true_rank,true_mean,true_std,perm_mean_same_feature,perm_std_same_feature,perm_mean_same_rank,perm_std_same_rank
psd_relative_theta_mean_central_right_trimmean,1,0.0029205772080726318,0.00046923789459507554,0.0019999853068756552,0.000435585277077377,0.003472000681129844,0.00032996271083623167
slowwaves_PTP_mean_frontal_left_trimmean,2,0.0027768207256576617,0.0005064675610454252,0.0019163268061265296,0.0004479678848808312,0.0032107950151663276,0.00020937942701218965
wsmi_gamma_mean_central_mid_trimmean,3,0.002699664108093178,0.0004807703798381583,0.002132659269124193,0.0004864786421502514,0.003079558405081255,0.00016885890915425655
wsmi_alpha_mean_posterior_mid_trimmean,4,0.0026175396886448173,0.00043777728039209467,0.0021235368161067647,0.00047058424462819695,0.0029825711732325345,0.00015016526558042713
psd_relative_delta_mean_central_mid_trimmean,5,0.0026118235672449547,0.00041134487970361335,0.0018963874512481751,0.00040949053686188447,0.002906512592464817,0.00013242109754575533
kolmogorov_complexity_mean_central_left_trimmean,6,0.00260864333244568,0.00047586462553981043,0.0020790649352832643,0.0004630000796752502,0.002847764776925692,0.00011943223540123506
wsmi_alpha_mean_posterior_right_trimmean,7,0.0026042508996439364,0.0003917882044770772,0.0021136180237741674,0.00047391861555716637,0.0027975354335166634,0.00011149592066793821
psd_relative_gamma_mean_central_left_trimmean,8,0.002572518973552476,0.00044945251375933594,0.001880943464136765,0.00041243078469577497,0.0027552619355501813,0.00010413428053805628
PE_theta_mean_posterior_right_trimmean,9,0.0025590332925235,0.0004319392915368243,0.0018978229996097346,0.00042582372279819524,0.0027136480854483952,9.485247633740694e-05
wsmi_theta_mean_central_right_trimmean,10,0.0025395421197048993,0.0004608586075496996,0.0021095863331718643,0.0004845415165384489,0.0026793510416373623,9.060254811857184e-05
wsmi_alpha_mean_posterior_left_trimmean,11,0.002536184523779504,0.0004057073751567191,0.002158599673744399,0.0004779886954707893,0.002645699305394739,8.79099413110872e-05
wsmi_theta_mean_posterior_mid_trimmean,12,0.002528073026335138,0.00040238364854977386,0.0021534392949947067,0.0004828777162988309,0.0026151764265086074,8.231764739129014e-05
psd_relative_theta_mean_posterior_right_trimmean,13,0.0025177678235364914,0.00039750408259964096,0.0019710553702639976,0.00042681699991946055,0.002588741656723405,7.754722295940077e-05
PE_gamma_mean_frontal_mid_trimmean,14,0.0024477583886136998,0.0004437310270897882,0.001758097939699187,0.00039396826674327885,0.0025632086238623632,7.264156398744748e-05
wsmi_theta_mean_central_mid_trimmean,15,0.0024274146896297367,0.00039007061425713193,0.002114939988101634,0.00046851113770875826,0.002539409139574102,7.058146751405276e-05
PE_theta_mean_central_right_trimmean,16,0.0024208645963968035,0.00044744585422284067,0.0018243902728457433,0.00039129448947984076,0.002517158787327869,6.940823937150166e-05
wsmi_gamma_mean_posterior_left_trimmean,17,0.00242075766313649,0.00039586990448449747,0.00208290433644042,0.0004649378639907055,0.0024971420071372716,6.673349292743788e-05
slowwaves_Slope_mean_central_mid_trimmean,18,0.002408387235993837,0.0003731301399786326,0.0017318486776964775,0.0003939149669762882,0.0024756703336466608,6.470998503832148e-05
psd_relative_delta_mean_central_left_trimmean,19,0.002401661145460704,0.0004008160582776975,0.0018597853576563259,0.00040022909813004586,0.0024557304842676665,6.196381126953911e-05
slowwaves_PTP_mean_central_left_trimmean,20,0.002392237834568442,0.0004563833073903767,0.001753764208609796,0.00040098885360961346,0.0024383510582534264,5.898579220259172e-05
