subject,true_mean,true_median,perm_mean,perm_median,empirical_p,significant,stars
3,0.5423333333333333,0.5333333333333334,0.5034,0.5,0.404,0,
4,0.7187133333333334,0.7263333333333333,0.49715733333333334,0.5,0.026,1,*
5,0.4330666666666666,0.4383333333333333,0.49530888888888885,0.4888888888888889,0.708,0,
6,0.3877777777777777,0.38888888888888884,0.4910333333333333,0.49277777777777776,0.822,0,
7,0.733,0.7416666666666666,0.5041555555555556,0.5111111111111113,0.06,0,
8,0.6265833333333334,0.6325,0.5029440000000001,0.5040000000000001,0.138,0,
10,0.6171933333333333,0.6204999999999999,0.508128,0.517,0.202,0,
12,0.44111111111111106,0.44999999999999996,0.4990888888888889,0.5055555555555555,0.648,0,
14,0.406,0.45,0.5007999999999999,0.5,0.6,0,
17,0.5206666666666666,0.5166666666666667,0.4904,0.5,0.446,0,
18,0.6769333333333334,0.6799999999999999,0.4919733333333334,0.4966666666666666,0.042,1,*
19,0.5165000000000001,0.5,0.4993,0.5,0.472,0,
20,0.46299999999999997,0.5,0.5026,0.5,0.568,0,
21,0.4606666666666668,0.4666666666666667,0.5094,0.5333333333333333,0.642,0,
22,0.50825,0.5149999999999999,0.49616,0.4987499999999999,0.458,0,
24,0.7480000000000001,0.7666666666666666,0.5054000000000001,0.5333333333333333,0.066,0,
25,0.5378750000000001,0.54,0.512535,0.51625,0.448,0,
26,0.39475,0.39,0.495545,0.4974999999999999,0.786,0,
27,0.8210333333333334,0.8258333333333332,0.49860400000000005,0.504,0.002,1,**
28,0.4947066666666665,0.5013333333333334,0.5002719999999999,0.508,0.544,0,
29,0.38856,0.376,0.514192,0.5120000000000001,0.864,0,
30,0.5955666666666667,0.6033333333333333,0.5048199999999999,0.51,0.256,0,
31,0.7765666666666666,0.7758333333333334,0.5039666666666667,0.5166666666666668,0.02,1,*
32,0.5119888888888888,0.5077777777777779,0.49992444444444445,0.5016666666666667,0.466,0,
34,0.4513416666666666,0.46291666666666664,0.5014000000000001,0.50375,0.648,0,
35,0.5235000000000001,0.53125,0.5004083333333333,0.5083333333333333,0.472,0,
36,0.6149999999999999,0.6,0.492,0.5,0.284,0,
37,0.45675000000000004,0.475,0.4985055555555556,0.498611111111111,0.604,0,
38,0.6682222222222224,0.6666666666666667,0.4964888888888889,0.5,0.134,0,
39,0.3702499999999999,0.37499999999999994,0.4983444444444444,0.4972222222222222,0.808,0,
40,0.39525,0.40208333333333335,0.5,0.5083333333333333,0.788,0,
41,0.4191666666666667,0.4225,0.5073249999999999,0.5145833333333333,0.762,0,
42,0.7093333333333335,0.7208333333333334,0.5018250000000001,0.5125,0.058,0,
43,0.5651400000000001,0.5680000000000001,0.508908,0.514,0.326,0,
