subject,auc,minority_ratio,n_trials
03,0.5166666666666667,0.45714285714285713,35
04,0.6889999999999998,0.45098039215686275,51
05,0.43,0.49122807017543857,57
06,0.4800000000000001,0.5,56
07,0.7416666666666667,0.375,32
08,0.663,0.44,50
10,0.5453333333333333,0.44680851063829785,47
12,0.4222222222222222,0.45161290322580644,31
14,0.35,0.42857142857142855,14
17,0.38333333333333336,0.32,25
18,0.7466666666666667,0.4909090909090909,55
19,0.55,0.47368421052631576,19
20,0.5,0.4,15
21,0.4333333333333333,0.4,25
22,0.4225,0.5,44
24,0.7333333333333334,0.48,25
25,0.6224999999999999,0.46511627906976744,43
26,0.2375,0.4878048780487805,41
27,0.8633333333333333,0.43478260869565216,46
28,0.5640000000000001,0.49019607843137253,51
29,0.43200000000000005,0.5,50
30,0.6155555555555556,0.38095238095238093,42
31,0.825,0.36363636363636365,33
32,0.51,0.5,58
33,0.39583333333333337,0.4722222222222222,36
34,0.395,0.4523809523809524,42
35,0.425,0.5,36
36,0.7,0.5,20
37,0.525,0.3103448275862069,29
38,0.6000000000000001,0.48148148148148145,27
39,0.28888888888888886,0.3793103448275862,29
40,0.3125,0.5,38
41,0.635,0.46153846153846156,39
42,0.7633333333333334,0.425,40
43,0.6540000000000001,0.48936170212765956,47
