subject,true_mean,true_median,perm_mean,perm_median,empirical_p,significant,stars
5,0.5851733333333334,0.5893333333333333,0.4995573333333333,0.5006666666666667,0.248,0,
6,0.6395833333333334,0.6416666666666667,0.502,0.51,0.126,0,
8,0.7297333333333335,0.7333333333333334,0.50147,0.505,0.026,1,*
9,0.5083666666666667,0.5066666666666666,0.49545,0.5,0.474,0,
12,0.8090416666666667,0.8145833333333333,0.5015499999999999,0.5083333333333333,0.008,1,**
13,0.786,0.8,0.5157333333333334,0.5333333333333334,0.152,0,
14,0.7711500000000001,0.77,0.4938100000000001,0.50125,0.006,1,**
18,0.5647033333333334,0.5733333333333334,0.49515733333333334,0.4946666666666667,0.288,0,
22,0.6095866666666667,0.6106666666666667,0.49243466666666663,0.49266666666666664,0.156,0,
32,0.51775,0.5205,0.4978,0.5003333333333334,0.438,0,
34,0.62596,0.6206666666666667,0.4943786666666667,0.4966666666666667,0.128,0,
38,0.7027,0.7025,0.4998466666666667,0.5033333333333333,0.044,1,*
43,0.45343666666666665,0.4528333333333333,0.48977599999999993,0.495,0.61,0,
