subject,true_mean,true_median,perm_mean,perm_median,empirical_p,significant,stars
5,0.66096113997114,0.6599242424242424,0.5812429264069263,0.5788845598845599,0.162,0,
6,0.7556089682539684,0.7542499999999999,0.6054363730158729,0.6030496031746031,0.04,1,*
8,0.8204715873015873,0.8221507936507937,0.5829419047619047,0.5815575396825396,0.006,1,**
9,0.6822645238095236,0.6793095238095238,0.6062903174603174,0.5989682539682539,0.226,0,
12,0.8134861111111108,0.817063492063492,0.6193696825396826,0.6173015873015872,0.028,1,*
13,0.7483333333333333,0.7666666666666666,0.5350333333333332,0.5333333333333333,0.144,0,
14,0.8206355158730158,0.8213095238095238,0.6140963174603176,0.6140337301587302,0.008,1,**
18,0.6135879112554111,0.610491341991342,0.5999730928330927,0.5960323472823474,0.424,0,
22,0.6915920586820588,0.6915049302549303,0.5995677267917268,0.5969751082251082,0.116,0,
32,0.5959359920634921,0.5910396825396825,0.560921246031746,0.5602341269841269,0.342,0,
34,0.7202416642616641,0.7195660173160172,0.5778771284271284,0.577439393939394,0.048,1,*
38,0.7241484126984126,0.7197023809523808,0.537933134920635,0.5361507936507937,0.03,1,*
43,0.6263675925925926,0.625547619047619,0.5783642380952381,0.5729067460317461,0.31,0,
