subject,true_mean,true_median,perm_mean,perm_median,empirical_p,significant,stars
5,0.11161233372213257,0.10811198514078321,-0.003761320560382468,0.00150364835669715,0.276,0,
6,0.17689969479047865,0.16674059805115235,-0.002401788153147562,0.0083333333333333,0.178,0,
8,0.3553059645349758,0.3646467616195195,-0.002624082017958795,0.00438645099586955,0.038,1,*
9,0.0720162245862809,0.09051028666923795,-0.0006731818280925856,0.0052275701688575,0.388,0,
12,0.5362673443444992,0.5333495872860393,0.0024306341152477567,-0.0047838343218780995,0.006,1,**
13,0.14340341184434352,0.1333333333333333,0.012921195379174497,-0.0178632794954081,0.25,0,
14,0.44957295846896905,0.45951448889842583,-0.009930100060040836,-0.0005807760973934621,0.01,1,*
18,0.1286864536077465,0.13818759469058634,0.00016981138443557153,0.0115734023056643,0.246,0,
22,0.18200417900916308,0.18485918166020165,-0.01881031929398418,-0.0304585941393281,0.14,0,
32,0.039219155576545046,0.04182178902359915,0.003283317919997972,0.01465488085167095,0.442,0,
34,0.19733153500329198,0.19660442445973547,-0.01679005814931233,-0.0186460864149003,0.138,0,
38,0.31274254583209327,0.3238724505007099,0.002795380929845547,-0.0032880497659921997,0.054,0,
43,-0.09693233075477953,-0.07372437815673649,-0.015513453725532362,-0.00988294367579965,0.638,0,
