subject,true_mean,true_median,perm_mean,perm_median,empirical_p,significant,stars
3,0.6206507936507937,0.621111111111111,0.6058428571428571,0.6018253968253968,0.42,0,
4,0.7875555555555553,0.7888888888888888,0.6694,0.6666666666666666,0.186,0,
5,0.5174619047619047,0.5103869047619047,0.6072318015873016,0.6040039682539682,0.816,0,
6,0.6932555952380953,0.6947777777777777,0.5962564365079365,0.5876388888888888,0.138,0,
8,0.6552889285714286,0.6540952380952381,0.6168692539682541,0.6209226190476191,0.348,0,
9,0.7245555555555555,0.7266666666666666,0.6340866666666666,0.6325000000000001,0.218,0,
10,0.4044499999999999,0.3908333333333333,0.66722,0.6644444444444444,0.998,0,
12,0.7881944444444444,0.79,0.6283944444444444,0.6238888888888888,0.086,0,
18,0.6220393253968254,0.6218809523809524,0.6071195793650794,0.6026785714285714,0.424,0,
22,0.7377544444444443,0.7352857142857142,0.599469373015873,0.5979920634920635,0.058,0,
24,0.9570222222222222,0.961111111111111,0.5816453968253968,0.5849206349206348,0.0,1,***
25,0.6978888888888888,0.6944444444444443,0.6805666666666667,0.6833333333333333,0.478,0,
26,0.822011111111111,0.8297222222222222,0.6353811111111111,0.6355555555555555,0.054,0,
27,0.5982722222222222,0.5983333333333334,0.6510911111111111,0.6488888888888888,0.692,0,
28,0.8244833333333336,0.8259722222222223,0.6155644444444444,0.6094444444444445,0.038,1,*
29,0.5567333333333333,0.5505555555555556,0.6466433333333333,0.6461111111111111,0.79,0,
30,0.7370333333333333,0.7333333333333333,0.6393166666666666,0.64,0.192,0,
31,0.7642222222222221,0.7666666666666666,0.6783333333333332,0.6833333333333332,0.268,0,
32,0.7036304761904763,0.7046666666666667,0.571965238095238,0.5661309523809523,0.092,0,
34,0.705123095238095,0.707281746031746,0.6074607142857141,0.6017460317460317,0.134,0,
37,0.9900047619047618,0.99,0.6354936507936507,0.6305555555555556,0.0,1,***
38,0.6457999999999999,0.64,0.6592966666666666,0.6611111111111112,0.526,0,
39,0.9409599206349207,0.9454166666666667,0.6341108730158729,0.6370238095238095,0.0,1,***
40,0.8335650000000002,0.8360000000000001,0.6162488888888888,0.611111111111111,0.022,1,*
41,0.7846111111111109,0.7888888888888889,0.6642666666666667,0.6583333333333333,0.188,0,
42,0.7974027777777778,0.8015277777777777,0.5791099999999999,0.5666666666666667,0.064,0,
43,0.7794346031746032,0.7788492063492063,0.6129698412698412,0.6098015873015872,0.046,1,*
