subject,true_mean,true_median,perm_mean,perm_median,empirical_p,significant,stars
3,0.5281666666666667,0.5249999999999999,0.49338333333333334,0.4916666666666666,0.356,0,
4,0.4799999999999999,0.4666666666666666,0.5059999999999999,0.5,0.604,0,
5,0.4633,0.4625,0.50456,0.5050000000000001,0.67,0,
6,0.596,0.5999999999999999,0.49695,0.5,0.144,0,
8,0.58095,0.58,0.50507,0.51,0.21,0,
9,0.5531666666666667,0.55,0.5000666666666667,0.5,0.322,0,
10,0.2621666666666666,0.25,0.5049999999999999,0.5166666666666666,0.962,0,
12,0.6565000000000001,0.6666666666666665,0.49249999999999994,0.4999999999999999,0.082,0,
18,0.5582999999999999,0.5625,0.49991,0.505,0.272,0,
22,0.6259333333333333,0.6208333333333333,0.49827999999999995,0.49750000000000005,0.078,0,
24,0.8570833333333333,0.8583333333333332,0.4997333333333333,0.5083333333333333,0.0,1,***
25,0.414,0.4166666666666666,0.498,0.5,0.69,0,
26,0.5050833333333333,0.5083333333333333,0.5050666666666666,0.5166666666666666,0.506,0,
27,0.4796666666666667,0.4833333333333333,0.5050666666666666,0.5,0.604,0,
28,0.52825,0.525,0.4940666666666666,0.49166666666666664,0.39,0,
29,0.3906666666666666,0.3833333333333333,0.5134333333333334,0.5166666666666666,0.854,0,
30,0.6168333333333332,0.6166666666666666,0.4831333333333333,0.4833333333333333,0.142,0,
31,0.45416666666666666,0.45,0.49470000000000003,0.5,0.574,0,
32,0.5250166666666667,0.5258333333333334,0.49577666666666664,0.49083333333333334,0.396,0,
34,0.6059,0.605,0.49443000000000004,0.495,0.106,0,
37,0.8983999999999999,0.8800000000000001,0.5069,0.5166666666666666,0.0,1,***
38,0.5496666666666666,0.55,0.49523333333333325,0.5,0.386,0,
39,0.8245,0.825,0.5022166666666666,0.5083333333333333,0.002,1,**
40,0.49395000000000006,0.4925,0.5017833333333332,0.5,0.512,0,
41,0.38183333333333336,0.3833333333333333,0.49470000000000003,0.5,0.772,0,
42,0.4486666666666666,0.45,0.4956333333333333,0.5,0.642,0,
43,0.5063,0.5033333333333333,0.4972333333333333,0.5,0.484,0,
