subject,auc,minority_ratio,n_trials
03,0.4625,0.4722222222222222,36
04,0.6166666666666666,0.3157894736842105,19
05,0.43,0.4444444444444444,45
06,0.6900000000000001,0.4782608695652174,46
08,0.56,0.4883720930232558,43
09,0.4416666666666667,0.41379310344827586,29
10,0.13333333333333336,0.4166666666666667,24
12,0.7777777777777778,0.4827586206896552,29
18,0.53,0.4666666666666667,45
22,0.6933333333333334,0.46938775510204084,49
24,0.9333333333333332,0.4,35
25,0.41666666666666663,0.4,20
26,0.5666666666666667,0.2916666666666667,24
27,0.30000000000000004,0.5,28
28,0.3833333333333333,0.24,25
29,0.5333333333333333,0.4827586206896552,29
30,0.6333333333333334,0.43478260869565216,23
31,0.5666666666666667,0.3,20
32,0.6816666666666666,0.41025641025641024,39
34,0.728,0.4791666666666667,48
37,0.975,0.3225806451612903,31
38,0.4666666666666667,0.375,24
39,0.9208333333333334,0.5,36
40,0.53,0.27586206896551724,29
41,0.6,0.2631578947368421,19
42,0.25,0.22727272727272727,22
43,0.37,0.2777777777777778,36
