subject,run_idx,mean_auc,mean_auprc,mean_mcc,mean_balanced_accuracy,mean_precision,mean_recall,mean_f1,n_samples,n_positive,n_negative
03,95.0,0.5125,0.6348809523809524,0.10490651907029844,0.5333333333333333,0.5599999999999999,0.6666666666666666,0.5333333333333333,36.0,17.0,19.0
04,95.0,0.4666666666666666,0.7888888888888888,-0.06666666666666667,0.4666666666666666,0.6666666666666666,0.8333333333333333,0.7361904761904763,19.0,13.0,6.0
05,95.0,0.28,0.46198412698412694,-0.30406168124683053,0.37,0.2738095238095238,0.3,0.2693939393939394,45.0,20.0,25.0
06,95.0,0.5840000000000001,0.6838809523809524,0.12164965809277262,0.56,0.5733333333333334,0.5900000000000001,0.5798989898989899,46.0,24.0,22.0
08,95.0,0.5974999999999999,0.6266666666666666,0.04967049050833986,0.525,0.5,0.44000000000000006,0.4438095238095238,43.0,21.0,22.0
09,95.0,0.6666666666666666,0.7908333333333333,0.22277605243332493,0.6,0.74,0.6666666666666666,0.6376190476190476,29.0,17.0,12.0
10,95.0,0.11666666666666667,0.3783333333333333,-0.6637863785973643,0.18333333333333332,0.0,0.0,0.0,24.0,10.0,14.0
12,95.0,0.7777777777777779,0.8011111111111111,0.27475468957064286,0.6333333333333332,0.5166666666666666,0.6666666666666666,0.5714285714285714,29.0,14.0,15.0
18,95.0,0.51,0.6036071428571429,0.13844339250007912,0.565,0.5366666666666666,0.51,0.5097402597402597,45.0,21.0,24.0
22,95.0,0.6699999999999999,0.7082380952380952,0.2720064032402273,0.6299999999999999,0.6347619047619047,0.6399999999999999,0.6322921522921523,49.0,26.0,23.0
24,95.0,1.0,1.0,0.8056038601690775,0.8916666666666666,0.8699999999999999,0.9333333333333332,0.8814285714285713,35.0,14.0,21.0
25,95.0,0.2333333333333333,0.5944444444444443,-0.6130768281804422,0.21666666666666665,0.26666666666666666,0.3333333333333333,0.29333333333333333,20.0,12.0,8.0
26,95.0,0.6833333333333333,0.8866666666666667,0.03501700857389406,0.525,0.7166666666666666,0.7499999999999999,0.7309523809523808,24.0,17.0,7.0
27,95.0,0.35555555555555557,0.5177777777777778,-0.09310503147787023,0.4499999999999999,0.45,0.6,0.49904761904761896,28.0,14.0,14.0
28,95.0,0.4833333333333333,0.8227777777777778,0.12247448713915891,0.575,0.8,0.95,0.8547619047619047,25.0,19.0,6.0
29,95.0,0.3444444444444445,0.5555555555555556,-0.3191137400554463,0.36666666666666664,0.32999999999999996,0.4666666666666666,0.38571428571428573,29.0,15.0,14.0
30,95.0,0.6166666666666667,0.6666666666666666,0.35292753240319,0.65,0.6333333333333333,0.7,0.6266666666666666,23.0,10.0,13.0
31,95.0,0.41666666666666663,0.7833333333333332,-0.06666666666666668,0.45,0.6666666666666666,0.6,0.6133333333333333,20.0,14.0,6.0
32,95.0,0.5608333333333334,0.731452380952381,0.11597445954210746,0.5433333333333333,0.6233333333333333,0.67,0.638888888888889,39.0,23.0,16.0
34,95.0,0.6060000000000001,0.7070238095238095,0.18575297320068515,0.5800000000000001,0.540952380952381,0.64,0.5654545454545454,48.0,23.0,25.0
37,95.0,0.95,0.9833333333333332,0.7970119075176252,0.875,0.9266666666666667,0.95,0.9310245310245311,31.0,21.0,10.0
38,95.0,0.6333333333333334,0.7233333333333334,0.1712778743104174,0.5833333333333333,0.5,0.5,0.4666666666666666,24.0,9.0,15.0
39,95.0,0.9458333333333332,0.9541666666666666,0.7351374061028786,0.85,0.8699999999999999,0.85,0.8014285714285714,36.0,18.0,18.0
40,95.0,0.5,0.837,0.1514213562373095,0.58,0.8033333333333333,0.86,0.8192063492063493,29.0,21.0,8.0
41,95.0,0.2,0.7166666666666666,-0.2333333333333333,0.3833333333333333,0.6666666666666666,0.7666666666666666,0.7095238095238094,19.0,14.0,5.0
42,95.0,0.3833333333333333,0.8063888888888888,-0.05,0.475,0.76,0.95,0.8420634920634921,22.0,17.0,5.0
43,95.0,0.5966666666666666,0.8119523809523809,0.03817446175056498,0.5266666666666666,0.7390476190476191,0.8533333333333333,0.7842424242424244,36.0,26.0,10.0
