feature,true_rank,true_mean,true_std,perm_mean_same_feature,perm_std_same_feature,perm_mean_same_rank,perm_std_same_rank
wsmi_theta_mean_frontal_mid_trimmean,1,0.002942925184174455,0.0006029515431941765,0.0019751035878573307,0.000491911081386092,0.003451697892221775,0.00035891210789517876
P3a_mean_frontocentral_midline_trimmean,2,0.0029200141159188243,0.0005319694760866735,0.0020474662857948123,0.0005246192109371157,0.003166631732051755,0.0002388195603265794
wsmi_beta_mean_posterior_mid_trimmean,3,0.002901929512923396,0.000603282546147893,0.0019276778094951448,0.0004858506669532652,0.003011926072564604,0.0001878318334947909
P3b_mean_centroparietal_midline_trimmean,4,0.0028000802173748095,0.0005108289693272874,0.0020490650027690685,0.000505254697670535,0.0029060535032618766,0.0001569955560461094
wsmi_beta_mean_central_left_trimmean,5,0.0026222098436851286,0.0004698230828062147,0.0019037554417886972,0.00046074713067059046,0.0028257457863593667,0.00013396646482203743
psd_relative_gamma_mean_frontal_right_trimmean,6,0.00257242754866634,0.0004654318525351163,0.0016390047099050884,0.00041327618041175175,0.0027640944887497,0.00012476365821121569
wsmi_theta_mean_posterior_right_trimmean,7,0.0024595073882382095,0.0004904730156325887,0.0019499323166239056,0.0004656377219475059,0.0027088479292529852,0.00011320544773910532
PE_alpha_mean_frontal_mid_trimmean,8,0.0024461168215673523,0.0005152854205555741,0.0018198524475031808,0.0004618066607071384,0.0026651960652835337,0.00010293146832002231
N1_mean_occipitoparietal_lateral_trimmean,9,0.0024443312755357376,0.00046806759142464154,0.002065246858454553,0.0005506561813341984,0.002620193909313869,9.655401769611872e-05
wsmi_alpha_mean_frontal_left_trimmean,10,0.0023765325216808146,0.0004587351066505477,0.0019556891867590553,0.00048116674639455293,0.002581410540254201,9.080440846595193e-05
wsmi_gamma_mean_posterior_right_trimmean,11,0.002334212329100748,0.00046270601034350704,0.0019590091995072634,0.0005211349775110241,0.0025494727770541486,8.645302842562467e-05
wsmi_alpha_mean_posterior_left_trimmean,12,0.002297157805408311,0.000421921886503239,0.001954166296721993,0.00048001310917366176,0.0025178718331513973,8.427563951072876e-05
psd_relative_theta_mean_central_left_trimmean,13,0.0022548018995951396,0.00044161195361990815,0.0018726795284702907,0.0004719172646341247,0.0024892837562099637,7.927573464248448e-05
slowwaves_PTP_mean_posterior_left_trimmean,14,0.0022530212272384876,0.0004735584835801756,0.0014520491653997366,0.0004216638125792453,0.0024634042346377686,7.660318756840181e-05
wsmi_theta_mean_frontal_left_trimmean,15,0.0022512696718650347,0.0004386070116070217,0.001931039417777764,0.0005157098102604507,0.0024372548555924513,7.426298038322774e-05
psd_relative_delta_mean_posterior_left_trimmean,16,0.00224440106456008,0.0003963369418209765,0.0016751229778099428,0.00039029081642745993,0.0024151212181566296,7.320613157191356e-05
psd_relative_gamma_mean_central_right_trimmean,17,0.0022330716412221566,0.00043209990153287,0.0017195849847184482,0.00041652488065517935,0.0023927914111289378,6.987365062333894e-05
PE_alpha_mean_central_left_trimmean,18,0.002230857990864934,0.0004229118033616381,0.0017842372294455322,0.0004614361765380019,0.0023713988595304935,6.8075800067184e-05
psd_relative_beta_mean_central_left_trimmean,19,0.002219727018517132,0.0004382882679153444,0.0017891024397919514,0.00048817663664881385,0.002351448503748385,6.612501871589439e-05
PE_gamma_mean_frontal_right_trimmean,20,0.0022126049700901406,0.00042396349629674916,0.0015623278253863624,0.0003883528563735627,0.002332911279944665,6.389820453703541e-05
