subject,true_mean,true_median,perm_mean,perm_median,empirical_p,significant,stars
3,0.6048333333333332,0.6166666666666666,0.5040666666666666,0.5166666666666666,0.202,0,
4,0.5139999999999999,0.5166666666666666,0.4996999999999999,0.5,0.478,0,
5,0.5058999999999999,0.5066666666666666,0.5046333333333334,0.5083333333333333,0.502,0,
6,0.49495000000000006,0.4925,0.49715,0.495,0.51,0,
8,0.5633,0.5650000000000001,0.50329,0.505,0.274,0,
9,0.5929999999999999,0.6,0.49929999999999997,0.5,0.248,0,
10,0.3596666666666667,0.35,0.4983666666666666,0.49166666666666664,0.85,0,
12,0.5654166666666667,0.5666666666666667,0.4962833333333333,0.5,0.252,0,
15,0.5235000000000001,0.5,0.4984,0.5,0.408,0,
18,0.6478499999999999,0.655,0.50096,0.505,0.066,0,
21,0.39983333333333326,0.4166666666666666,0.4955,0.5,0.788,0,
22,0.60405,0.605,0.49491999999999997,0.495,0.132,0,
24,0.76925,0.775,0.5051333333333333,0.5166666666666666,0.006,1,**
25,0.5128333333333334,0.5333333333333332,0.5005999999999999,0.5,0.478,0,
26,0.4978333333333333,0.4916666666666666,0.5057066666666666,0.51,0.544,0,
27,0.40866666666666673,0.41666666666666663,0.48961666666666653,0.5,0.748,0,
28,0.49516666666666675,0.49583333333333335,0.5021333333333333,0.5,0.564,0,
29,0.3384166666666666,0.32916666666666666,0.5055499999999999,0.5,0.954,0,
30,0.5173333333333333,0.5166666666666666,0.4990833333333333,0.5083333333333333,0.434,0,
31,0.5341666666666667,0.5333333333333333,0.49726666666666663,0.5,0.374,0,
32,0.50795,0.5125,0.49452999999999997,0.495,0.444,0,
34,0.47736666666666666,0.47916666666666663,0.49994999999999995,0.5,0.58,0,
37,0.7413333333333335,0.7450000000000001,0.50645,0.5083333333333333,0.016,1,*
38,0.5496666666666666,0.55,0.49459999999999993,0.5,0.384,0,
39,0.5098333333333332,0.5166666666666666,0.4946166666666666,0.5,0.46,0,
40,0.5410666666666666,0.5416666666666667,0.49400666666666665,0.49499999999999994,0.304,0,
41,0.4528333333333333,0.45,0.49389999999999995,0.5,0.542,0,
42,0.3453333333333333,0.35,0.5048666666666666,0.5,0.918,0,
43,0.4981999999999999,0.5025,0.49886,0.5,0.506,0,
