subject,auc,minority_ratio,n_trials
03,0.5888888888888889,0.4444444444444444,27
04,0.55,0.391304347826087,23
05,0.4366666666666667,0.3888888888888889,36
06,0.45999999999999996,0.48936170212765956,47
08,0.6025,0.5,42
09,0.7,0.4,25
10,0.2166666666666667,0.42857142857142855,21
12,0.75,0.47058823529411764,34
15,0.5,0.4666666666666667,15
18,0.6875,0.46511627906976744,43
21,0.3166666666666667,0.42105263157894735,19
22,0.55,0.4444444444444444,45
24,0.9166666666666666,0.2692307692307692,26
25,0.7000000000000001,0.4642857142857143,28
26,0.5333333333333333,0.5,38
27,0.5055555555555558,0.46875,32
28,0.49722222222222223,0.36666666666666664,30
29,0.28750000000000003,0.5,36
30,0.47777777777777775,0.45161290322580644,31
31,0.4666666666666666,0.36363636363636365,22
32,0.48200000000000004,0.46808510638297873,47
34,0.6308333333333334,0.4,40
37,0.7833333333333334,0.46153846153846156,39
38,0.6,0.375,24
39,0.5833333333333334,0.5,32
40,0.6146666666666667,0.5,52
41,0.55,0.3888888888888889,18
42,0.26666666666666666,0.34782608695652173,23
43,0.4916666666666667,0.4523809523809524,42
