feature,true_rank,true_mean,true_std,perm_mean_same_feature,perm_std_same_feature,perm_mean_same_rank,perm_std_same_rank
psd_relative_delta_mean_central_mid_trimmean,1,0.0052775638398653004,0.0009117601313284682,0.0019917034695038326,0.0005200379012177081,0.004313975419177668,0.0005419517217926828
kolmogorov_complexity_mean_frontal_left_trimmean,2,0.004909013667950372,0.000894988301722583,0.0021545498820641114,0.000609661934837765,0.0039000045042127994,0.0003108824820091956
kolmogorov_complexity_mean_central_mid_trimmean,3,0.004148871194033451,0.0007444331953370646,0.002311473658120159,0.0006213965419784884,0.0037013389410741784,0.0002503321116233803
kolmogorov_complexity_mean_central_right_trimmean,4,0.00399657864679834,0.000716091526663991,0.002114220653786376,0.0005479474118559535,0.0035701683543243176,0.00021910405243166287
psd_relative_beta_mean_frontal_right_trimmean,5,0.003937963200094496,0.0007599522036430531,0.001961542204451308,0.000510501148633734,0.0034656486993183046,0.00019337468021181183
kolmogorov_complexity_mean_posterior_right_trimmean,6,0.003928159038228667,0.000696126963426036,0.002203815018277895,0.0005923699501944026,0.0033730920577073778,0.00017111645209908096
kolmogorov_complexity_mean_frontal_right_trimmean,7,0.003881854955013928,0.0006447390517904378,0.0020928571458791625,0.0005414945374981068,0.0032933597113991987,0.00015354052041667497
wsmi_gamma_mean_central_right_trimmean,8,0.003829644406494072,0.0006395379829952538,0.0022482499344129683,0.0006302604021884328,0.0032344193622490408,0.0001446320907280755
psd_relative_gamma_mean_central_left_trimmean,9,0.0037723530535844325,0.0007110662338215867,0.0020724009342321633,0.0005628577719893081,0.0031804300736466176,0.00013721652113782577
psd_relative_beta_mean_central_mid_trimmean,10,0.0037177069761777344,0.0006054804177160928,0.002126720370960813,0.000596725284621012,0.0031309687604339337,0.00012547440352888152
psd_relative_theta_mean_frontal_right_trimmean,11,0.0036542758348448584,0.0007153897459088515,0.00214322646587613,0.0006256364914707476,0.0030797371006727695,0.0001181325789908254
kolmogorov_complexity_mean_central_left_trimmean,12,0.0035946507030132436,0.0006341914995057552,0.0022599784976656623,0.0006113408910205128,0.0030382956388638306,0.00011379412339102394
psd_relative_theta_mean_frontal_left_trimmean,13,0.003572360847231774,0.000733821635202325,0.002132665429666316,0.0005563767408986582,0.002997970796316082,0.00010812537068202769
psd_relative_gamma_mean_frontal_left_trimmean,14,0.003471333352586848,0.0005987622702632944,0.0019804475505176473,0.0005487721170486538,0.00296029667276436,0.00010279475851279816
kolmogorov_complexity_mean_posterior_mid_trimmean,15,0.0033202980335799276,0.0005894511952422567,0.0022939908402910343,0.0006362764334181561,0.0029270383517229705,9.519185985801864e-05
psd_relative_gamma_mean_central_right_trimmean,16,0.0032933779301593104,0.0006221192783224275,0.0019517038070857974,0.0005297320331317226,0.0028976696536875905,9.289220175814698e-05
wsmi_gamma_mean_frontal_right_trimmean,17,0.003211533938641971,0.0006277319274344405,0.002241944170071456,0.0006241910991017075,0.002867783507387805,8.848256992138232e-05
kolmogorov_complexity_mean_posterior_left_trimmean,18,0.0031999540275305795,0.0005597699098664576,0.0021497228316861576,0.0005904956302079594,0.0028411049418485563,8.725654053360711e-05
psd_relative_delta_mean_posterior_right_trimmean,19,0.00316262078249418,0.000522124830680321,0.001973356750232072,0.000514687135526962,0.002815895760733181,8.561123004673198e-05
PE_gamma_mean_frontal_left_trimmean,20,0.003139667140657199,0.0006497153654872307,0.001903983795007351,0.000531887112347979,0.0027903241334129732,8.363102508717264e-05
