subject,true_mean,true_median,perm_mean,perm_median,empirical_p,significant,stars
2,0.7965833333333334,0.8,0.5049399999999999,0.5058333333333334,0.012,1,*
4,0.8162777777777777,0.8222222222222222,0.5049666666666667,0.5111111111111111,0.002,1,**
6,0.3442666666666668,0.3383333333333333,0.49676666666666663,0.5,0.846,0,
8,0.5593333333333333,0.5644444444444445,0.48822888888888893,0.485,0.282,0,
13,0.6979999999999998,0.7,0.49660000000000004,0.5,0.258,0,
14,0.8562000000000001,0.857,0.5026822222222223,0.5111111111111111,0.0,1,***
18,0.6213599999999999,0.627,0.501068,0.502,0.156,0,
24,0.8524266666666668,0.8556666666666667,0.501726,0.5083333333333333,0.0,1,***
26,0.7136133333333333,0.712,0.49383733333333335,0.496,0.006,1,**
27,0.2675833333333333,0.2645833333333334,0.5032166666666666,0.5020833333333333,0.932,0,
34,0.5625600000000001,0.562,0.4968266666666666,0.496,0.29,0,
35,0.7893733333333331,0.7866666666666667,0.49889066666666665,0.5033333333333333,0.002,1,**
40,0.7917416666666667,0.7908333333333333,0.49831833333333325,0.505,0.01,1,*
43,0.43793333333333345,0.44799999999999995,0.5011253333333333,0.5006666666666666,0.706,0,
