subject,true_mean,true_median,perm_mean,perm_median,empirical_p,significant,stars
2,0.5008882519042949,0.5075377943140699,0.00932449795531507,0.0053098916595399,0.006,1,**
4,0.4483588248645999,0.45211324516190976,0.009734944407982586,0.00515668461264165,0.004,1,**
6,-0.14576257759075867,-0.1465767578911449,-0.0060771616719269604,0.01189441091615,0.72,0,
8,0.06115242481519135,0.0719375946616619,-0.018058578854736114,-0.02211872509567315,0.332,0,
13,0.2825692193816531,0.3,0.002478460969082656,0.0,0.206,0,
14,0.4711521083989727,0.46983088332815837,-0.005606119032556121,0.00325862277345195,0.002,1,**
18,0.22341324069585192,0.23746842257861106,0.001183375017760704,0.0057173773496224,0.116,0,
24,0.5869273473722547,0.595054879373527,-0.0033195940325877835,0.00138324352560865,0.0,1,***
26,0.379250335375714,0.39230077272497643,-0.016429831225598348,-0.0152052447473883,0.012,1,*
27,-0.3255344530364264,-0.3295897515454263,0.00641010226965574,0.0093568189080341,0.908,0,
34,0.09794073143274523,0.09333684924478164,0.0003961232777026105,0.00720151659310305,0.304,0,
35,0.4273213435851319,0.4221818958991218,-0.003196355638547083,-0.0037183425122271,0.004,1,**
40,0.500665608550241,0.5000747164173696,-2.2549208281170686e-05,0.0078178855847711,0.004,1,**
43,-0.07969924406327297,-0.06935177393664765,-0.003967112973025603,0.009489540173088399,0.65,0,
