feature,true_rank,true_mean,true_std,perm_mean_same_feature,perm_std_same_feature,perm_mean_same_rank,perm_std_same_rank
wsmi_alpha_mean_central_mid_trimmean,1,0.009854982444788211,0.003497864959312366,0.0061449044931014335,0.002106812103918089,0.013483939523515403,0.0035049999597584537
wsmi_beta_mean_posterior_right_trimmean,2,0.008231568791163452,0.00208909022995533,0.0059468369107460355,0.0020448206749288846,0.011633495169281052,0.001732756622318598
PE_gamma_mean_frontal_mid_trimmean,3,0.008222664797788708,0.002176122320439784,0.005277113169956486,0.0018482618114893624,0.010800897432553275,0.0011828392366913432
wsmi_beta_mean_posterior_left_trimmean,4,0.008199188287892898,0.0016592993593864507,0.005847060831958167,0.00194749634972379,0.010241534678984117,0.0009112305902054851
slowwaves_PTP_mean_frontal_left_trimmean,5,0.00804174543062192,0.0018018732751732332,0.005625544413252508,0.0018610897210142355,0.009842128339838304,0.0007475590307080995
PE_gamma_mean_frontal_right_trimmean,6,0.007988708951703075,0.0020717248328850036,0.005038468577515574,0.001860624761791307,0.009532663154628064,0.0006536991101798983
PE_beta_mean_frontal_mid_trimmean,7,0.00796393793827462,0.002162361341777151,0.005083225875353401,0.0017718284807248033,0.009271980914289131,0.00059812674774981
kolmogorov_complexity_mean_posterior_right_trimmean,8,0.007795718216221405,0.0023182577846542333,0.005888986720176196,0.002174468343037213,0.009051891237629893,0.0005380625138591177
PE_beta_mean_frontal_left_trimmean,9,0.007623712109797095,0.002090079259428437,0.005017118687025825,0.00172460792146565,0.00886197816481799,0.0004944900477381193
PE_theta_mean_frontal_right_trimmean,10,0.0075188504859781,0.0018361111442984277,0.005213946766642317,0.0017972883220905718,0.008699152808635887,0.0004556758074422805
P1_mean_occipitoparietal_lateral_trimmean,11,0.007490339051240602,0.001514876508381659,0.006494196918966787,0.0021067765462543147,0.008545059177416544,0.00041969520428266624
psd_relative_theta_mean_posterior_left_trimmean,12,0.0074724917669917335,0.0018047705075702894,0.0056736734704486294,0.0018944878645833442,0.008401895448421851,0.0003856046165310488
PE_theta_mean_central_mid_trimmean,13,0.007464113563321935,0.001686213788721964,0.005474230352866824,0.0018465517587202749,0.008268964083981218,0.0003569985571027547
wsmi_theta_mean_central_mid_trimmean,14,0.007430769979650451,0.0018116761032781288,0.00589372839577462,0.0019089588004461287,0.008154262224403694,0.0003373614830566363
wsmi_beta_mean_central_mid_trimmean,15,0.007263512819133487,0.0034763967944429932,0.005927235589171697,0.001893479888810349,0.008036419602276296,0.000322709710819854
wsmi_gamma_mean_central_right_trimmean,16,0.007216620760363336,0.0016334061403237969,0.006121314837929192,0.0022066060315751044,0.007932087833868175,0.00030295049195085794
wsmi_alpha_mean_posterior_left_trimmean,17,0.007132862877434956,0.0014859592485099765,0.006057172465056004,0.0021108692375758934,0.007840483483649413,0.00028159209944040735
psd_relative_alpha_mean_frontal_mid_trimmean,18,0.007073920682712434,0.0015830255276140712,0.00511930658488877,0.0018322249605194592,0.0077567676755751795,0.0002708638015427196
wsmi_gamma_mean_frontal_mid_trimmean,19,0.007043427516901228,0.0017496228165044204,0.005989909012512995,0.002100688944066747,0.007678913716902852,0.00026699569412170446
psd_relative_alpha_mean_central_mid_trimmean,20,0.0070298179646607695,0.0015216798998007306,0.005124649484358139,0.001760023213388807,0.0075994356175209535,0.00025369338686566866
