feature,true_rank,true_mean,true_std,perm_mean_same_feature,perm_std_same_feature,perm_mean_same_rank,perm_std_same_rank
wsmi_alpha_mean_central_mid_trimmean,1,0.0032939295577333076,0.0006432429311538575,0.0018476319591892562,0.0005311937793021671,0.003456685425779921,0.0004197356467972294
wsmi_alpha_mean_posterior_left_trimmean,2,0.0031250581239164062,0.0005681923867404042,0.001858818649965841,0.0005196459094613106,0.00314146779956061,0.000260179295309716
slowwaves_PTP_mean_frontal_left_trimmean,3,0.003071394293892166,0.0006445287643291821,0.0017777070543892092,0.0005114813992268618,0.0029769470263104674,0.00020304304406882468
P1_mean_occipitoparietal_lateral_trimmean,4,0.002977733713761817,0.0005146103219306639,0.001983857545637971,0.0005524261934796965,0.00285749840426897,0.00017598081440938493
wsmi_beta_mean_posterior_left_trimmean,5,0.002880505866312948,0.0005053439190212762,0.0017879593832311415,0.0005013647751188484,0.002770427403837692,0.00015556579421580847
wsmi_beta_mean_posterior_right_trimmean,6,0.0027982792366915044,0.0005019880732686997,0.0018065594133264814,0.0005009309505710508,0.002708924201857706,0.0001392710507618943
wsmi_gamma_mean_central_right_trimmean,7,0.0027736411309864256,0.0005051938653991597,0.001842598649952542,0.0005121561581299248,0.0026520745641372525,0.00012813264859480478
wsmi_theta_mean_central_mid_trimmean,8,0.002706375780351769,0.0005084720366284724,0.0018214869106561754,0.0005423596611843933,0.0025995944454659144,0.00012296412947775473
psd_relative_theta_mean_posterior_left_trimmean,9,0.002549665166376596,0.0005219234811538247,0.0017220554634859793,0.0004955635235651915,0.0025554062780733778,0.00011596679984219343
PE_theta_mean_central_mid_trimmean,10,0.002544796080676205,0.00048247015322824106,0.001645953464626612,0.0004816568714081763,0.002515554056295362,0.00011010019707400572
wsmi_theta_mean_central_left_trimmean,11,0.002524242442220341,0.00048222712679249545,0.0018240363022937807,0.0005163908030588888,0.0024768604194307766,0.00010388264887872645
wsmi_gamma_mean_frontal_mid_trimmean,12,0.002384495111684819,0.00044863577229121206,0.001860410383046016,0.0005651369365826514,0.0024442195393536118,9.70816622443159e-05
psd_relative_alpha_mean_central_mid_trimmean,13,0.0023658888340116722,0.0004994488769535693,0.0015274240650136946,0.0004470178032512299,0.002411310141972388,9.07937432015593e-05
PE_gamma_mean_frontal_mid_trimmean,14,0.0023476617976088696,0.00048784098057437145,0.0015780524003548662,0.0004120459931468649,0.002380253677369846,8.540445382992687e-05
psd_relative_gamma_mean_central_right_trimmean,15,0.0023379754785135395,0.00043330447063520455,0.0016532669367522537,0.00048217727249153685,0.0023532796132317976,7.989164299113444e-05
slowwaves_PTP_mean_posterior_left_trimmean,16,0.0023350226290340566,0.0004896936259812069,0.0014526818302723152,0.0004387793538785056,0.0023281358964513466,7.65986205585211e-05
wsmi_beta_mean_central_right_trimmean,17,0.0022476169925926526,0.00041541104139924907,0.0018306414695085124,0.000518445082893274,0.0023035720991917393,7.35851189674149e-05
PE_theta_mean_frontal_right_trimmean,18,0.0022175864842385704,0.0004493978545933951,0.0015887370536507412,0.00045632671449625595,0.0022833876075842355,6.915894416279919e-05
PE_gamma_mean_frontal_right_trimmean,19,0.0022153767061272715,0.0004968947342847131,0.0015047100158886479,0.00041833177403792466,0.0022623699376283736,6.727046991252382e-05
wsmi_theta_mean_frontal_right_trimmean,20,0.002194017399341572,0.0004278049207671853,0.0018049362639186964,0.0005245042775672917,0.002242122171995482,6.452484120852192e-05
