metric,type,value
auc,true,0.6361376811594203
auc,true,0.642671497584541
auc,true,0.6940603864734299
auc,true,0.654367149758454
auc,true,0.6369275362318841
auc,true,0.6656425120772947
auc,true,0.6570410628019323
auc,true,0.6205072463768115
auc,true,0.6425434782608695
auc,true,0.6488429951690822
auc,true,0.6674589371980675
auc,true,0.6546811594202897
auc,true,0.6233937198067633
auc,true,0.6681376811594203
auc,true,0.6256956521739131
auc,true,0.6331980676328502
auc,true,0.6535869565217391
auc,true,0.6559685990338164
auc,true,0.6551400966183575
auc,true,0.6361884057971015
auc,true,0.6527367149758454
auc,true,0.630876811594203
auc,true,0.6729758454106279
auc,true,0.6472729468599034
auc,true,0.6293864734299517
auc,true,0.6581908212560387
auc,true,0.617292270531401
auc,true,0.6521159420289855
auc,true,0.647659420289855
auc,true,0.6572004830917875
auc,true,0.6401328502415459
auc,true,0.6484033816425123
auc,true,0.6383236714975845
auc,true,0.6456473429951692
auc,true,0.6030507246376812
auc,true,0.6450893719806764
auc,true,0.6315144927536233
auc,true,0.6504202898550725
auc,true,0.6402463768115944
auc,true,0.6492391304347825
auc,true,0.6411714975845411
auc,true,0.6458913043478262
auc,true,0.6563985507246377
auc,true,0.6544782608695653
auc,true,0.6662101449275363
auc,true,0.6421521739130435
auc,true,0.6507608695652174
auc,true,0.6387487922705314
auc,true,0.6611714975845411
auc,true,0.6597632850241546
auc,true,0.6299903381642512
auc,true,0.6394299516908213
auc,true,0.6518067632850242
auc,true,0.6502874396135266
auc,true,0.6123695652173913
auc,true,0.6259782608695652
auc,true,0.6507729468599035
auc,true,0.6618840579710145
auc,true,0.6459323671497584
auc,true,0.6317125603864734
auc,true,0.6619903381642513
auc,true,0.6579299516908214
auc,true,0.6367222222222223
auc,true,0.6457053140096618
auc,true,0.6448236714975846
auc,true,0.6644661835748792
auc,true,0.6628985507246378
auc,true,0.6602705314009661
auc,true,0.6768816425120773
auc,true,0.6325434782608695
auc,true,0.6559106280193238
auc,true,0.628415458937198
auc,true,0.6202270531400965
auc,true,0.6465917874396135
auc,true,0.6346280193236715
auc,true,0.613400966183575
auc,true,0.6435676328502414
