feature,true_rank,true_mean,true_std,perm_mean_same_feature,perm_std_same_feature,perm_mean_same_rank,perm_std_same_rank
psd_relative_delta_mean_central_mid_trimmean,1,0.0046098704845469515,0.0008493642601988826,0.001732405228443607,0.0004622440235697903,0.0035929899424953023,0.00039991569996838743
psd_relative_gamma_mean_central_left_trimmean,2,0.0038509017380404485,0.0007656375780731847,0.001749225338216231,0.00043849797608125704,0.0032707693263659943,0.0002446950012265357
kolmogorov_complexity_mean_central_mid_trimmean,3,0.003461004899732489,0.0005917067694574807,0.001987369820511274,0.0005120368681968713,0.003100126155653837,0.00019035952560398552
psd_relative_beta_mean_central_mid_trimmean,4,0.0034452760534370535,0.0005930754782554803,0.0018774028790491239,0.0004533717175930891,0.0029895661025931006,0.00016192743156062052
psd_relative_beta_mean_frontal_right_trimmean,5,0.0032030189621963844,0.0005657789015761637,0.0017444056362120818,0.00044486148716389934,0.0029016269903042466,0.00014080820634243703
slowwaves_Slope_mean_frontal_right_trimmean,6,0.0031523789718645332,0.0006101872953135764,0.0018004244190375003,0.0004869753417473195,0.0028325919354117253,0.00013131251120359906
psd_relative_gamma_mean_frontal_left_trimmean,7,0.003081229186364567,0.000582101735392579,0.0017648819316888888,0.0004586623715903152,0.0027799787680815678,0.00011941103927547174
kolmogorov_complexity_mean_frontal_left_trimmean,8,0.003053001462798187,0.0005452953740159045,0.0019398251475837122,0.000498913721907686,0.0027286766628292743,0.00011260217927025645
kolmogorov_complexity_mean_central_left_trimmean,9,0.003052743064391921,0.0005384041684124964,0.001955931482574395,0.0005091916509408066,0.0026846106754793084,0.00010531186243086306
wsmi_alpha_mean_posterior_left_trimmean,10,0.0030307586480735793,0.0005101712645023447,0.0020127505705025543,0.0005125427458665044,0.0026442016199694817,9.807024109685945e-05
PE_alpha_mean_central_mid_trimmean,11,0.0030159344109453685,0.000539568002055157,0.0018579108821027155,0.0005023093170209215,0.002609215014903517,9.268516880468644e-05
kolmogorov_complexity_mean_central_right_trimmean,12,0.0030067889564926726,0.0004953909868718294,0.0019146962895452038,0.0004820547960230605,0.002575915653624139,8.854426429109445e-05
psd_relative_gamma_mean_central_right_trimmean,13,0.0029902511512932637,0.0005793868163607672,0.0017566158111585455,0.00044444660682598994,0.0025461735016527793,8.445766712564786e-05
kolmogorov_complexity_mean_frontal_right_trimmean,14,0.002974315239321484,0.00055392560951566,0.0018599536773169253,0.0005268609811064731,0.0025182638984302375,8.252012844070911e-05
PE_gamma_mean_posterior_mid_trimmean,15,0.00291152892204625,0.0005697230544561756,0.0015932599619597103,0.00041432162611934115,0.002493248830167896,8.031244592646909e-05
psd_relative_delta_mean_posterior_left_trimmean,16,0.0028852090727351236,0.0005332238835523956,0.001641218590415165,0.0003994509767290614,0.0024679256983923662,7.770766143627761e-05
PE_gamma_mean_central_left_trimmean,17,0.0028377871468724014,0.0005447086976877669,0.0016673234870285033,0.00045480110258717737,0.0024435993098813626,7.562349642954845e-05
psd_relative_beta_mean_central_left_trimmean,18,0.0028185728778773477,0.0005528152585222321,0.0018238765308987955,0.0004710924648268138,0.0024207252509101103,7.24028835347573e-05
psd_relative_theta_mean_posterior_mid_trimmean,19,0.002796702166412677,0.0005413260944314086,0.0018542211941371346,0.0004927129928650161,0.002399047510131676,6.839703405335133e-05
psd_relative_delta_mean_posterior_right_trimmean,20,0.0027564727616083973,0.0004989257097540608,0.0017426515435731767,0.0004409722979496464,0.002377283698905993,6.583283837650104e-05
