feature,true_rank,true_mean,true_std,perm_mean_same_feature,perm_std_same_feature,perm_mean_same_rank,perm_std_same_rank
kolmogorov_complexity_mean_frontal_right_trimmean,1,0.008370701604161184,0.001614324467723956,0.005714827492038077,0.0016178947183490802,0.012014231161769352,0.005464207588617774
psd_relative_beta_mean_frontal_mid_trimmean,2,0.008360800481564618,0.003238355567541568,0.005394603798269093,0.0014312585494637446,0.010381669705017874,0.0029562476904112737
psd_relative_gamma_mean_central_left_trimmean,3,0.008234980933674032,0.00189544970203316,0.005271035091177318,0.0014575172334373812,0.009524191521787018,0.0014505238622717616
kolmogorov_complexity_mean_central_left_trimmean,4,0.007925504347999345,0.0015730540290517481,0.005921822295000893,0.0016963344361337826,0.009053975574993716,0.0009383445200216675
wsmi_beta_mean_posterior_right_trimmean,5,0.007877374384993675,0.0038855877771662227,0.005826371298630001,0.0016239461424935797,0.008744343624164269,0.000597344694558437
wsmi_beta_mean_central_left_trimmean,6,0.007816501453410672,0.001714622719932096,0.005637278903656616,0.001568239045982376,0.008515379151248975,0.0004732243896415572
psd_relative_beta_mean_central_left_trimmean,7,0.007801760532537152,0.0015802855791839478,0.0054359315892244155,0.001585214751905966,0.008323644092620352,0.00038974554629270084
psd_relative_delta_mean_central_mid_trimmean,8,0.007601628533172934,0.0016434406115551148,0.005248381858875016,0.0014897127884642308,0.008173175831000553,0.0003552478258081314
wsmi_gamma_mean_posterior_right_trimmean,9,0.007558095868601185,0.0016757470611334251,0.005948819952628483,0.0018404424556886952,0.00803887917177096,0.00033438902536359386
wsmi_theta_mean_frontal_mid_trimmean,10,0.0074759952669695125,0.0017189556477562589,0.006032047591454848,0.0016567311695948003,0.00790835235883857,0.0003066469025147832
psd_relative_beta_mean_central_mid_trimmean,11,0.00726695385876776,0.0014812878698887263,0.005617271934637895,0.001544529200183953,0.007805455684704217,0.00029096252840798737
psd_relative_beta_mean_frontal_right_trimmean,12,0.007061743813184015,0.0022506056081321333,0.005188507045985844,0.0013764906335661782,0.007700712244546079,0.00027096436670183795
PE_alpha_mean_frontal_right_trimmean,13,0.0070175073269180465,0.00418805798788682,0.005011984538535938,0.0014009894186009033,0.007602652399580174,0.0002546472209150115
wsmi_alpha_mean_central_mid_trimmean,14,0.006886354478475922,0.0013217848873324437,0.006034809293703748,0.0018715876665913549,0.0075152435693901405,0.00024278758356179294
PE_theta_mean_posterior_mid_trimmean,15,0.006876251410136346,0.002745324440445827,0.005147438677877884,0.001504913005812839,0.007434616153245989,0.00023503833345096188
wsmi_alpha_mean_central_left_trimmean,16,0.006861045583372262,0.0012938222262434905,0.005992063651179338,0.001865367070714869,0.007352870837552498,0.0002215833079784914
wsmi_gamma_mean_posterior_left_trimmean,17,0.006802980366926748,0.0015904428296099266,0.005924058666712317,0.001748607496957498,0.00728331073127956,0.00021086095933197318
PE_gamma_mean_central_left_trimmean,18,0.0067500215266258715,0.001624981323741563,0.004881490161171,0.0013997999610696017,0.0072122185328154734,0.00020027824631306166
psd_relative_beta_mean_frontal_left_trimmean,19,0.006724529084392762,0.001472673329050154,0.00518435620245074,0.0014304637110470054,0.007145068058791657,0.00019353774207661007
PE_theta_mean_frontal_right_trimmean,20,0.006711127014054439,0.001557848376401906,0.005159629872569159,0.001498820064215121,0.00708358205089611,0.000183843262892287
