feature,true_rank,true_mean,true_std,perm_mean_same_feature,perm_std_same_feature,perm_mean_same_rank,perm_std_same_rank
kolmogorov_complexity_mean_central_left_trimmean,1,0.0033160778006656377,0.0006057645959988396,0.0019281223839674327,0.0004957106898715743,0.003443444009250749,0.00037988266712086105
kolmogorov_complexity_mean_frontal_right_trimmean,2,0.0032168891555281807,0.0005689589823409828,0.0018613669050674747,0.0004730635610352946,0.003137163708625997,0.00023385520581789665
psd_relative_beta_mean_central_left_trimmean,3,0.003151904133405532,0.000591937115332751,0.001776507038558176,0.00047681825422399017,0.002980196176499424,0.00018662407560503344
psd_relative_gamma_mean_central_left_trimmean,4,0.003088238534550948,0.0006406596935272055,0.001733698038682187,0.0004380430902866788,0.0028747592119751355,0.00016284689520244502
wsmi_beta_mean_posterior_right_trimmean,5,0.0030807087325067594,0.0005894537569523367,0.0019313789678839775,0.0005122310547993935,0.002796570971887906,0.000145332705947738
psd_relative_beta_mean_central_mid_trimmean,6,0.0030553824349385484,0.0005434825200915769,0.0018451583999883998,0.0005035770097190793,0.0027351077456908815,0.00012799006490473187
psd_relative_delta_mean_central_mid_trimmean,7,0.0027657138494072437,0.0005279394988051395,0.0017170124684317218,0.0004361587522208383,0.002681133631356215,0.00011455949653821938
psd_relative_beta_mean_frontal_mid_trimmean,8,0.0027408217891247435,0.0005544001945353098,0.0017631255639705059,0.0004354717025918232,0.002631089214589975,0.00010517244703106574
kolmogorov_complexity_mean_central_mid_trimmean,9,0.0027004438860388736,0.0005118908265387608,0.001976344753156082,0.0005513461227783901,0.002589868450150864,9.821393421763643e-05
wsmi_beta_mean_central_left_trimmean,10,0.0026990492776159253,0.0005078790967434731,0.0018465129164036197,0.00046840630217432364,0.0025544245684536574,9.529230915967857e-05
wsmi_alpha_mean_central_mid_trimmean,11,0.0026125057306139294,0.00043973140246027204,0.0019652687858176484,0.0005239678138533346,0.002520972342457671,8.827070171047417e-05
wsmi_beta_mean_frontal_right_trimmean,12,0.0025687127567933536,0.0005119631046588943,0.0018677003858414499,0.0004531991858187413,0.00249171386191271,8.423171960426172e-05
slowwaves_Slope_mean_frontal_right_trimmean,13,0.0025625698606817605,0.0004773025919999788,0.001704745140480268,0.00042896675872773957,0.002464548561889101,8.01313956725521e-05
wsmi_theta_mean_frontal_mid_trimmean,14,0.0025165330458277796,0.0005005824654730121,0.0019757086420028004,0.0005154266014425417,0.0024374179697074314,7.601661463080868e-05
psd_relative_beta_mean_frontal_right_trimmean,15,0.0025016697690219756,0.0005255638505707931,0.0017042561662190315,0.0004178568473758929,0.0024129370275598125,7.31153284138348e-05
wsmi_gamma_mean_posterior_right_trimmean,16,0.002498130102669334,0.0004935166846074282,0.0019477918628643454,0.0005125888469508177,0.0023885107831952144,7.144271761334863e-05
wsmi_gamma_mean_posterior_left_trimmean,17,0.002469469683784205,0.00047336627460832926,0.0019380954972719104,0.0005182423602769433,0.002365678635279953,6.875147550253442e-05
PE_alpha_mean_frontal_right_trimmean,18,0.0024631126492284886,0.0005188826297155287,0.0016591550880467594,0.000421716259679425,0.002344335109963268,6.700358605032899e-05
wsmi_alpha_mean_posterior_right_trimmean,19,0.002457276989990706,0.00045771076640595623,0.001922344805902478,0.00048283005661400353,0.00232388444447979,6.510743941923533e-05
PE_gamma_mean_central_left_trimmean,20,0.0024561177375909925,0.0005091374308359958,0.0015868065198939097,0.00040919618573384114,0.0023041004540560496,6.2249593397202e-05
