subject,true_mean,true_median,perm_mean,perm_median,empirical_p,significant,stars
2,0.8475,0.85,0.5064,0.5,0.03,1,*
3,0.5990000000000001,0.6,0.48990000000000006,0.5,0.358,0,
4,0.7989333333333333,0.7993333333333333,0.502768,0.51,0.0,1,***
5,0.7074000000000001,0.71,0.5058083333333333,0.5125,0.074,0,
6,0.3718,0.3775,0.5084299999999999,0.5237499999999999,0.834,0,
8,0.62445,0.62625,0.505655,0.5075000000000001,0.172,0,
10,0.515,0.5,0.5038,0.5,0.04,1,*
12,0.8000000000000002,0.8041666666666668,0.5028833333333333,0.5041666666666667,0.01,1,*
15,0.551,0.6,0.4965,0.5,0.374,0,
19,0.494,0.5,0.5024,0.5,0.978,0,
21,0.5343333333333333,0.5333333333333333,0.5019,0.5,0.476,0,
22,0.5063333333333333,0.5166666666666667,0.49920000000000003,0.5,0.472,0,
24,0.47966666666666674,0.4888888888888889,0.505,0.5111111111111112,0.566,0,
25,0.7976666666666667,0.7958333333333334,0.49379166666666663,0.49999999999999994,0.008,1,**
26,0.5922266666666666,0.6026666666666667,0.49915733333333334,0.5108333333333333,0.216,0,
27,0.6853333333333331,0.7,0.49290000000000006,0.5,0.158,0,
28,0.37666666666666665,0.3666666666666667,0.5031666666666668,0.5166666666666667,0.744,0,
29,0.5144333333333333,0.52,0.4988,0.5,0.458,0,
30,0.6064666666666667,0.615,0.5093,0.5166666666666666,0.262,0,
32,0.39338333333333336,0.38708333333333333,0.5005,0.5125,0.768,0,
34,0.42156666666666676,0.4174999999999999,0.494216,0.502,0.736,0,
35,0.7725,0.7666666666666668,0.49706666666666666,0.5,0.006,1,**
36,0.6990277777777777,0.7,0.5101,0.5166666666666667,0.104,0,
37,0.7297222222222223,0.7305555555555555,0.5139555555555556,0.5166666666666667,0.074,0,
38,0.36325,0.3666666666666667,0.5108666666666667,0.5111111111111112,0.844,0,
40,0.6806277777777777,0.6683333333333334,0.499664,0.503,0.042,1,*
42,0.4236666666666667,0.4166666666666666,0.49410000000000004,0.5,0.626,0,
43,0.621825,0.62,0.5006116666666667,0.5029166666666667,0.18,0,
