subject,run_idx,mean_auc,mean_auprc,mean_mcc,mean_balanced_accuracy,mean_precision,mean_recall,mean_f1,n_samples,n_positive,n_negative
02,93.0,0.9,0.95,0.5154700538379251,0.75,0.8,0.8,0.7733333333333333,19.0,9.0,10.0
03,93.0,0.5666666666666667,0.55,0.11547005383792516,0.5833333333333333,0.3,0.5,0.36666666666666664,20.0,8.0,12.0
04,93.0,0.7813333333333333,0.795642857142857,0.4666922040910504,0.7233333333333334,0.7433333333333333,0.72,0.7168831168831169,54.0,28.0,26.0
05,93.0,0.76,0.8994761904761905,0.24830644461609888,0.625,0.7728571428571429,0.75,0.7514285714285714,37.0,24.0,13.0
06,93.0,0.24749999999999997,0.43202380952380953,-0.22175449151692045,0.40499999999999997,0.26666666666666666,0.3,0.2666666666666667,44.0,20.0,24.0
08,93.0,0.5475,0.6821904761904762,0.05576556063408846,0.52,0.5942857142857143,0.49000000000000005,0.5126984126984127,42.0,22.0,20.0
10,93.0,0.7,0.6666666666666666,0.2,0.6,0.2,0.2,0.2,11.0,5.0,6.0
12,93.0,0.7375,0.818095238095238,0.46547005383792517,0.725,0.7466666666666667,0.75,0.7346031746031746,38.0,20.0,18.0
15,93.0,0.3,0.5,-0.1,0.45,0.2,0.1,0.13333333333333333,15.0,6.0,9.0
19,93.0,0.4,0.5333333333333333,-0.2,0.4,0.3333333333333333,0.6,0.42666666666666664,11.0,6.0,5.0
21,93.0,0.5,0.8222222222222222,0.0,0.5166666666666666,0.7166666666666667,0.8333333333333333,0.7542857142857142,20.0,14.0,6.0
22,93.0,0.5333333333333333,0.6783333333333335,0.08164965809277261,0.5333333333333333,0.5666666666666667,0.4666666666666667,0.48,25.0,11.0,14.0
24,93.0,0.32222222222222224,0.5372222222222223,-0.3897376809967488,0.31666666666666665,0.2833333333333333,0.26666666666666666,0.2704761904761905,27.0,13.0,14.0
25,93.0,0.8,0.8400000000000001,0.42650533436326005,0.7083333333333333,0.5700000000000001,0.6833333333333333,0.6198412698412697,37.0,19.0,18.0
26,93.0,0.612,0.728044252044252,0.2236435780471985,0.61,0.6142857142857142,0.6599999999999999,0.6315151515151515,51.0,26.0,25.0
27,93.0,0.4666666666666667,0.5733333333333333,-0.21547005383792514,0.4,0.2,0.3,0.2333333333333333,22.0,10.0,12.0
28,93.0,0.3666666666666667,0.5166666666666666,0.015470053837925168,0.5,0.3,0.2,0.2333333333333333,21.0,8.0,13.0
29,93.0,0.5741666666666667,0.662047619047619,0.26423007008275434,0.625,0.6466666666666667,0.65,0.6322943722943724,40.0,23.0,17.0
30,93.0,0.6466666666666667,0.8094761904761905,0.23614167080687123,0.6133333333333333,0.71,0.86,0.775050505050505,35.0,22.0,13.0
32,93.0,0.44833333333333336,0.5999761904761904,-0.21288848668920562,0.4133333333333333,0.39999999999999997,0.5599999999999999,0.45714285714285713,39.0,21.0,18.0
34,93.0,0.5883333333333333,0.5994047619047619,0.2026913066307264,0.5816666666666668,0.6333333333333333,0.35,0.4276190476190476,47.0,20.0,27.0
35,93.0,0.75,0.8438095238095237,0.3143167672515498,0.65,0.6966666666666667,0.7,0.6896825396825397,35.0,20.0,15.0
36,93.0,0.7222222222222221,0.8063492063492064,0.36705695659153126,0.6583333333333333,0.7333333333333333,0.5666666666666667,0.5714285714285714,33.0,14.0,19.0
37,93.0,0.7555555555555555,0.8174603174603174,0.351245795977378,0.6583333333333333,0.5833333333333333,0.5,0.518095238095238,31.0,13.0,18.0
38,93.0,0.45,0.6882142857142857,-0.09657888653670092,0.4583333333333333,0.6142857142857143,0.65,0.601010101010101,34.0,20.0,14.0
39,93.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,10.0,5.0,5.0
40,93.0,0.7938888888888889,0.7864285714285714,0.22032660601418935,0.5933333333333334,0.6,0.4666666666666666,0.48317460317460315,47.0,19.0,28.0
42,93.0,0.5833333333333333,0.7833333333333333,-0.18213672050459184,0.4333333333333333,0.5666666666666667,0.6666666666666666,0.5866666666666667,20.0,12.0,8.0
43,93.0,0.615,0.7130952380952381,0.19977066230559962,0.595,0.5566666666666666,0.65,0.5909523809523809,42.0,20.0,22.0
