trace_index,trace_type,trace_name,row_label,col_label,x,y
0,scatter,,,,24.99789399996523,0.6273330258590608
1,scatter,,,,14.20622932262293,0.5362223606477925
2,scatter,,,,17.529238247807207,0.516475801006199
3,scatter,,,,10.480013732371146,0.5383130283887032
4,scatter,,,,12.003547181043453,0.6201608968626618
5,scatter,,,,10.480013732371146,0.5488351918779475
5,scatter,,,,24.99789399996523,0.5999023067427036
6,scatter,,,,53.1551724137931,0.6273330258590608
7,scatter,,,,58.01851851851852,0.5362223606477925
8,scatter,,,,50.0,0.516475801006199
9,scatter,,,,55.142857142857146,0.5383130283887032
10,scatter,,,,73.29166666666667,0.6201608968626618
11,scatter,,,,50.0,0.5434995268413972
11,scatter,,,,73.29166666666667,0.6146581456558055
