row_label,col_label,xref,yref,x,y,text
On/Off-Task,,x domain,y domain,0.97,0.68,<b>Full 0.72***</b> p_FDR=<.001 | <i>Res. 0.61***</i> p_FDR=<.001
,,x2 domain,y2 domain,0.97,0.68,<b>Full 0.63***</b> p_FDR=<.001 | <i>Res. 0.59***</i> p_FDR=<.001
Valence,,x3 domain,y3 domain,0.97,0.68,<b>Full 0.65***</b> p_FDR=<.001 | <i>Res. 0.59**</i> p_FDR=0.003
,,x4 domain,y4 domain,0.97,0.68,<b>Full 0.54</b> p_FDR=0.127 | <i>Res. 0.52</i> p_FDR=0.390
Self/Other,,x5 domain,y5 domain,0.97,0.68,<b>Full 0.59***</b> p_FDR=<.001 | <i>Res. 0.54</i> p_FDR=0.052
,,x6 domain,y6 domain,0.97,0.68,<b>Full 0.52</b> p_FDR=0.266 | <i>Res. 0.49</i> p_FDR=0.698
Time,,x7 domain,y7 domain,0.97,0.68,<b>Full 0.55*</b> p_FDR=0.028 | <i>Res. 0.52</i> p_FDR=0.202
,,x8 domain,y8 domain,0.97,0.68,<b>Full 0.54</b> p_FDR=0.127 | <i>Res. 0.51</i> p_FDR=0.390
Confidence,,x9 domain,y9 domain,0.97,0.68,<b>Full 0.64***</b> p_FDR=<.001 | <i>Res. 0.59**</i> p_FDR=0.003
,,x10 domain,y10 domain,0.97,0.68,<b>Full 0.62***</b> p_FDR=<.001 | <i>Res. 0.52</i> p_FDR=0.390
