trace_index,trace_type,trace_name,row_label,col_label,x,y
0,scatter,,,On/Off-Task,84.0,0.6493712885437577
0,scatter,,,On/Off-Task,62.0,0.4823758543186979
0,scatter,,,On/Off-Task,63.0,0.6759817875207504
0,scatter,,,On/Off-Task,59.0,0.8171009160077563
0,scatter,,,On/Off-Task,65.0,0.7399074738981665
0,scatter,,,On/Off-Task,67.0,0.778749151731518
0,scatter,,,On/Off-Task,64.0,0.7352966929558995
0,scatter,,,On/Off-Task,66.0,0.7702162996266126
0,scatter,,,On/Off-Task,61.0,0.772156790861306
0,scatter,,,On/Off-Task,58.0,0.3296271347598093
0,scatter,,,On/Off-Task,67.0,0.5465475894913424
0,scatter,,,On/Off-Task,67.0,0.2867508774430181
0,scatter,,,On/Off-Task,64.0,0.6115857288001605
0,scatter,,,On/Off-Task,63.0,0.460507174790028
0,scatter,,,On/Off-Task,61.0,0.5640968705738043
0,scatter,,,On/Off-Task,62.0,0.4982358867773825
0,scatter,,,On/Off-Task,72.0,0.7765910808572112
0,scatter,,,On/Off-Task,64.0,0.6345872528744834
0,scatter,,,On/Off-Task,65.0,0.563480509105913
0,scatter,,,On/Off-Task,71.0,0.39691340448502477
0,scatter,,,On/Off-Task,58.0,0.5830824851060921
0,scatter,,,On/Off-Task,55.0,0.789567247439104
0,scatter,,,On/Off-Task,67.0,0.6898666799975404
0,scatter,,,On/Off-Task,68.0,0.7184610623559331
0,scatter,,,On/Off-Task,67.0,0.6768757870045188
0,scatter,,,On/Off-Task,67.0,0.1280884410317725
0,scatter,,,On/Off-Task,45.0,0.6848641567982997
0,scatter,,,On/Off-Task,98.0,0.7406018908865782
0,scatter,,,On/Off-Task,98.0,0.7628452489202564
0,scatter,,,On/Off-Task,99.0,0.6788235813608477
0,scatter,,,On/Off-Task,73.0,0.6025897206507232
0,scatter,,,On/Off-Task,23.0,0.3389606002650356
0,scatter,,,On/Off-Task,84.0,0.5913985742441005
0,scatter,,,On/Off-Task,95.0,0.3347846857326967
0,scatter,,,On/Off-Task,75.0,0.5051889680436213
0,scatter,,,On/Off-Task,83.0,0.5204154886486727
0,scatter,,,On/Off-Task,83.0,0.5866920363927031
0,scatter,,,On/Off-Task,69.0,0.3856351981303343
0,scatter,,,On/Off-Task,84.0,0.5365960498593564
0,scatter,,,On/Off-Task,28.0,0.5841118813298816
0,scatter,,,On/Off-Task,98.0,0.4563664391166869
0,scatter,,,On/Off-Task,82.0,0.4599756826026848
0,scatter,,,On/Off-Task,97.0,0.39829195156324604
0,scatter,,,On/Off-Task,87.0,0.36089461647254784
0,scatter,,,On/Off-Task,98.0,0.7029404302552537
0,scatter,,,On/Off-Task,91.0,0.5149896024744947
0,scatter,,,On/Off-Task,79.0,0.5357322906006076
0,scatter,,,On/Off-Task,77.0,0.5723137676094378
0,scatter,,,On/Off-Task,74.0,0.3195767954335344
0,scatter,,,On/Off-Task,93.0,0.5973413253243398
0,scatter,,,On/Off-Task,97.0,0.5133751450502422
0,scatter,,,On/Off-Task,89.0,0.5326106076854781
0,scatter,,,On/Off-Task,91.0,0.4922423112255041
0,scatter,,,On/Off-Task,89.0,0.40542326662441763
0,scatter,,,On/Off-Task,94.0,0.361461164396372
0,scatter,,,On/Off-Task,97.0,0.33579276910401656
0,scatter,,,On/Off-Task,49.0,0.5572116234030481
0,scatter,,,On/Off-Task,73.0,0.46874348881826045
0,scatter,,,On/Off-Task,95.0,0.5824699969200381
0,scatter,,,On/Off-Task,94.0,0.5034497898776535
0,scatter,,,On/Off-Task,88.0,0.3922889313457813
0,scatter,,,On/Off-Task,79.0,0.4231049169276868
0,scatter,,,On/Off-Task,32.0,0.4226713823876951
