trace_index,trace_type,trace_name,row_label,col_label,x,y
0,scatter,,sub-03,Within-Subject,84.0,0.6493712885437577
0,scatter,,sub-03,Within-Subject,62.0,0.4823758543186979
0,scatter,,sub-03,Within-Subject,63.0,0.6759817875207504
0,scatter,,sub-03,Within-Subject,59.0,0.8171009160077563
0,scatter,,sub-03,Within-Subject,65.0,0.7399074738981665
0,scatter,,sub-03,Within-Subject,67.0,0.778749151731518
0,scatter,,sub-03,Within-Subject,64.0,0.7352966929558995
0,scatter,,sub-03,Within-Subject,66.0,0.7702162996266126
0,scatter,,sub-03,Within-Subject,61.0,0.772156790861306
0,scatter,,sub-03,Within-Subject,58.0,0.3296271347598093
0,scatter,,sub-03,Within-Subject,67.0,0.5465475894913424
0,scatter,,sub-03,Within-Subject,67.0,0.2867508774430181
0,scatter,,sub-03,Within-Subject,64.0,0.6115857288001605
0,scatter,,sub-03,Within-Subject,63.0,0.460507174790028
0,scatter,,sub-03,Within-Subject,61.0,0.5640968705738043
0,scatter,,sub-03,Within-Subject,62.0,0.4982358867773825
0,scatter,,sub-03,Within-Subject,72.0,0.7765910808572112
0,scatter,,sub-03,Within-Subject,64.0,0.6345872528744834
0,scatter,,sub-03,Within-Subject,65.0,0.563480509105913
0,scatter,,sub-03,Within-Subject,71.0,0.39691340448502477
0,scatter,,sub-03,Within-Subject,58.0,0.5830824851060921
0,scatter,,sub-03,Within-Subject,55.0,0.789567247439104
0,scatter,,sub-03,Within-Subject,67.0,0.6898666799975404
0,scatter,,sub-03,Within-Subject,68.0,0.7184610623559331
0,scatter,,sub-03,Within-Subject,67.0,0.6768757870045188
0,scatter,,sub-03,Within-Subject,67.0,0.1280884410317725
1,scatter,,sub-03,Within-Subject,55.0,0.6108956373007535
1,scatter,,sub-03,Within-Subject,84.0,0.5875077464743037
2,scatter,,,LOSO,84.0,0.6884725121576112
2,scatter,,,LOSO,62.0,0.5463184661645113
2,scatter,,,LOSO,63.0,0.44403021611301857
2,scatter,,,LOSO,59.0,0.387706374048258
2,scatter,,,LOSO,65.0,0.42751192710240593
2,scatter,,,LOSO,67.0,0.4722432600975441
2,scatter,,,LOSO,64.0,0.3778544664397508
2,scatter,,,LOSO,66.0,0.44616108228374185
