trace_index,trace_type,trace_name,row_label,col_label,x,y
0,scatter,,sub-03,Within-Subject,84.0,0.44273180118695055
0,scatter,,sub-03,Within-Subject,62.0,0.44758551935775526
0,scatter,,sub-03,Within-Subject,63.0,0.2777469982116821
0,scatter,,sub-03,Within-Subject,59.0,0.2342046633365589
0,scatter,,sub-03,Within-Subject,64.0,0.6639554245681616
0,scatter,,sub-03,Within-Subject,66.0,0.610262610481872
0,scatter,,sub-03,Within-Subject,66.0,0.5082700448354918
0,scatter,,sub-03,Within-Subject,61.0,0.3047421776429977
0,scatter,,sub-03,Within-Subject,65.0,0.525184349103324
0,scatter,,sub-03,Within-Subject,56.0,0.661077926252463
0,scatter,,sub-03,Within-Subject,58.0,0.6239539029453443
0,scatter,,sub-03,Within-Subject,61.0,0.5360898858876413
0,scatter,,sub-03,Within-Subject,61.0,0.6644078451982667
0,scatter,,sub-03,Within-Subject,67.0,0.4329892526410142
0,scatter,,sub-03,Within-Subject,64.0,0.4331073562387505
0,scatter,,sub-03,Within-Subject,64.0,0.5753521648654356
0,scatter,,sub-03,Within-Subject,63.0,0.47181870469560394
0,scatter,,sub-03,Within-Subject,69.0,0.5657307022679805
0,scatter,,sub-03,Within-Subject,67.0,0.32026523897002046
0,scatter,,sub-03,Within-Subject,65.0,0.4847978866053842
0,scatter,,sub-03,Within-Subject,61.0,0.5126132424847816
0,scatter,,sub-03,Within-Subject,67.0,0.4712677112575615
0,scatter,,sub-03,Within-Subject,62.0,0.44168998585257313
0,scatter,,sub-03,Within-Subject,66.0,0.5414559930946188
0,scatter,,sub-03,Within-Subject,72.0,0.6532315217854735
0,scatter,,sub-03,Within-Subject,64.0,0.5907011928769881
0,scatter,,sub-03,Within-Subject,65.0,0.4775924514073702
0,scatter,,sub-03,Within-Subject,71.0,0.5019462518702751
0,scatter,,sub-03,Within-Subject,58.0,0.4614763498542266
0,scatter,,sub-03,Within-Subject,65.0,0.5608024417369055
0,scatter,,sub-03,Within-Subject,67.0,0.6207252122613278
0,scatter,,sub-03,Within-Subject,68.0,0.35089247952483615
0,scatter,,sub-03,Within-Subject,67.0,0.5020787542524093
0,scatter,,sub-03,Within-Subject,67.0,0.29923708326401066
0,scatter,,sub-03,Within-Subject,63.0,0.5300169075234943
0,scatter,,sub-03,Within-Subject,39.0,0.6338225026720469
1,scatter,,sub-03,Within-Subject,39.0,0.5720229274296839
1,scatter,,sub-03,Within-Subject,84.0,0.43951457940026406
2,scatter,,,LOSO,84.0,0.5494131151228647
2,scatter,,,LOSO,62.0,0.5663989696160046
2,scatter,,,LOSO,63.0,0.5408323740495053
2,scatter,,,LOSO,59.0,0.46446640590510513
2,scatter,,,LOSO,64.0,0.5269730285701595
2,scatter,,,LOSO,66.0,0.5484000749486186
2,scatter,,,LOSO,66.0,0.3710208394660075
2,scatter,,,LOSO,61.0,0.5195956163471525
2,scatter,,,LOSO,65.0,0.47231771013863977
2,scatter,,,LOSO,56.0,0.6218636800801245
2,scatter,,,LOSO,58.0,0.43836143934876315
2,scatter,,,LOSO,61.0,0.536901799017125
2,scatter,,,LOSO,61.0,0.5382408666883975
2,scatter,,,LOSO,67.0,0.5411741247623267
2,scatter,,,LOSO,64.0,0.4669855822583301
2,scatter,,,LOSO,64.0,0.5977789451643328
2,scatter,,,LOSO,63.0,0.3406695503250746
2,scatter,,,LOSO,69.0,0.5706173432694172
2,scatter,,,LOSO,67.0,0.4350503713246907
2,scatter,,,LOSO,65.0,0.4977317155574351
2,scatter,,,LOSO,61.0,0.5757380959277555
2,scatter,,,LOSO,67.0,0.5200469731350655
2,scatter,,,LOSO,62.0,0.36925316567747957
2,scatter,,,LOSO,66.0,0.4953133348185521
2,scatter,,,LOSO,72.0,0.45378121394756027
2,scatter,,,LOSO,64.0,0.5017177727252201
2,scatter,,,LOSO,65.0,0.4489892266664082
2,scatter,,,LOSO,71.0,0.49903599224985923
2,scatter,,,LOSO,58.0,0.5999807983926104
2,scatter,,,LOSO,65.0,0.5133882345235417
2,scatter,,,LOSO,67.0,0.6171367511147214
2,scatter,,,LOSO,68.0,0.49135205979846874
2,scatter,,,LOSO,67.0,0.4765693848846187
2,scatter,,,LOSO,67.0,0.47481798032832245
2,scatter,,,LOSO,63.0,0.5290897855799462
2,scatter,,,LOSO,39.0,0.4883773866495706
3,scatter,,,LOSO,39.0,0.508295589041522
3,scatter,,,LOSO,84.0,0.5033491024743285
4,scatter,,sub-04,Within-Subject,98.0,0.4605610900406197
4,scatter,,sub-04,Within-Subject,96.0,0.5424734305665626
4,scatter,,sub-04,Within-Subject,99.0,0.48078019630928504
4,scatter,,sub-04,Within-Subject,100.0,0.47223128075222376
4,scatter,,sub-04,Within-Subject,100.0,0.3572101660017236
4,scatter,,sub-04,Within-Subject,74.0,0.4868853323824795
4,scatter,,sub-04,Within-Subject,100.0,0.4718201886153922
4,scatter,,sub-04,Within-Subject,99.0,0.3094625971489693
4,scatter,,sub-04,Within-Subject,99.0,0.399015090337843
4,scatter,,sub-04,Within-Subject,99.0,0.5514264612853171
4,scatter,,sub-04,Within-Subject,100.0,0.4993946149295895
4,scatter,,sub-04,Within-Subject,100.0,0.5951659564670532
4,scatter,,sub-04,Within-Subject,71.0,0.5344393026581661
4,scatter,,sub-04,Within-Subject,73.0,0.6283767991271693
4,scatter,,sub-04,Within-Subject,78.0,0.7422475068673378
4,scatter,,sub-04,Within-Subject,98.0,0.6200954645478021
4,scatter,,sub-04,Within-Subject,87.0,0.4937202397510837
4,scatter,,sub-04,Within-Subject,93.0,0.5305643754278163
4,scatter,,sub-04,Within-Subject,100.0,0.6034584973208156
5,scatter,,sub-04,Within-Subject,71.0,0.5982313520423997
5,scatter,,sub-04,Within-Subject,100.0,0.48732786806702133
6,scatter,,,LOSO,98.0,0.517622275736786
6,scatter,,,LOSO,96.0,0.5698700252034967
6,scatter,,,LOSO,99.0,0.4985493565225636
6,scatter,,,LOSO,100.0,0.5578127690547752
6,scatter,,,LOSO,100.0,0.47993405860070537
6,scatter,,,LOSO,74.0,0.3952334747895867
6,scatter,,,LOSO,100.0,0.47375733462227015
6,scatter,,,LOSO,99.0,0.5428994059151044
6,scatter,,,LOSO,99.0,0.4531730686448582
