trace_index,trace_type,trace_name,row_label,col_label,x,y
0,scatter,,sub-03,Within-Subject,47.0,0.5572681988130495
0,scatter,,sub-03,Within-Subject,48.0,0.5524144806422447
0,scatter,,sub-03,Within-Subject,67.0,0.2777469982116821
0,scatter,,sub-03,Within-Subject,61.0,0.2342046633365589
0,scatter,,sub-03,Within-Subject,39.0,0.3360445754318384
0,scatter,,sub-03,Within-Subject,49.0,0.389737389518128
0,scatter,,sub-03,Within-Subject,50.0,0.4917299551645082
0,scatter,,sub-03,Within-Subject,62.0,0.3047421776429977
0,scatter,,sub-03,Within-Subject,36.0,0.474815650896676
0,scatter,,sub-03,Within-Subject,50.0,0.338922073747537
0,scatter,,sub-03,Within-Subject,48.0,0.3760460970546557
0,scatter,,sub-03,Within-Subject,48.0,0.4639101141123588
0,scatter,,sub-03,Within-Subject,45.0,0.3355921548017334
0,scatter,,sub-03,Within-Subject,48.0,0.5670107473589858
0,scatter,,sub-03,Within-Subject,40.0,0.5668926437612495
0,scatter,,sub-03,Within-Subject,64.0,0.5753521648654356
0,scatter,,sub-03,Within-Subject,49.0,0.5281812953043961
0,scatter,,sub-03,Within-Subject,72.0,0.5657307022679805
0,scatter,,sub-03,Within-Subject,39.0,0.6797347610299795
0,scatter,,sub-03,Within-Subject,62.0,0.4847978866053842
0,scatter,,sub-03,Within-Subject,67.0,0.5126132424847816
0,scatter,,sub-03,Within-Subject,62.0,0.4712677112575615
0,scatter,,sub-03,Within-Subject,49.0,0.5583100141474269
0,scatter,,sub-03,Within-Subject,37.0,0.4585440069053813
0,scatter,,sub-03,Within-Subject,67.0,0.6532315217854735
0,scatter,,sub-03,Within-Subject,64.0,0.5907011928769881
0,scatter,,sub-03,Within-Subject,63.0,0.4775924514073702
0,scatter,,sub-03,Within-Subject,68.0,0.5019462518702751
0,scatter,,sub-03,Within-Subject,36.0,0.5385236501457734
0,scatter,,sub-03,Within-Subject,71.0,0.5608024417369055
0,scatter,,sub-03,Within-Subject,78.0,0.6207252122613278
0,scatter,,sub-03,Within-Subject,31.0,0.6491075204751638
0,scatter,,sub-03,Within-Subject,73.0,0.5020787542524093
0,scatter,,sub-03,Within-Subject,48.0,0.7007629167359893
0,scatter,,sub-03,Within-Subject,61.0,0.5300169075234943
0,scatter,,sub-03,Within-Subject,64.0,0.6338225026720469
1,scatter,,sub-03,Within-Subject,31.0,0.4998562404375794
1,scatter,,sub-03,Within-Subject,78.0,0.5035239258538552
2,scatter,,,LOSO,47.0,0.45058688487713533
2,scatter,,,LOSO,48.0,0.4336010303839954
2,scatter,,,LOSO,67.0,0.5408323740495053
2,scatter,,,LOSO,61.0,0.46446640590510513
2,scatter,,,LOSO,39.0,0.4730269714298405
2,scatter,,,LOSO,49.0,0.4515999250513814
2,scatter,,,LOSO,50.0,0.6289791605339925
2,scatter,,,LOSO,62.0,0.5195956163471525
2,scatter,,,LOSO,36.0,0.5276822898613602
2,scatter,,,LOSO,50.0,0.3781363199198755
2,scatter,,,LOSO,48.0,0.5616385606512369
2,scatter,,,LOSO,48.0,0.4630982009828751
2,scatter,,,LOSO,45.0,0.4617591333116025
2,scatter,,,LOSO,48.0,0.45882587523767326
2,scatter,,,LOSO,40.0,0.5330144177416699
2,scatter,,,LOSO,64.0,0.5977789451643328
2,scatter,,,LOSO,49.0,0.6593304496749254
2,scatter,,,LOSO,72.0,0.5706173432694172
2,scatter,,,LOSO,39.0,0.5649496286753093
2,scatter,,,LOSO,62.0,0.4977317155574351
2,scatter,,,LOSO,67.0,0.5757380959277555
2,scatter,,,LOSO,62.0,0.5200469731350655
2,scatter,,,LOSO,49.0,0.6307468343225204
2,scatter,,,LOSO,37.0,0.5046866651814479
2,scatter,,,LOSO,67.0,0.45378121394756027
2,scatter,,,LOSO,64.0,0.5017177727252201
2,scatter,,,LOSO,63.0,0.4489892266664082
2,scatter,,,LOSO,68.0,0.49903599224985923
2,scatter,,,LOSO,36.0,0.4000192016073896
2,scatter,,,LOSO,71.0,0.5133882345235417
2,scatter,,,LOSO,78.0,0.6171367511147214
2,scatter,,,LOSO,31.0,0.5086479402015313
2,scatter,,,LOSO,73.0,0.4765693848846187
2,scatter,,,LOSO,48.0,0.5251820196716775
2,scatter,,,LOSO,61.0,0.5290897855799462
2,scatter,,,LOSO,64.0,0.4883773866495706
3,scatter,,,LOSO,31.0,0.4903325588977311
3,scatter,,,LOSO,78.0,0.5335277566719081
4,scatter,,sub-04,Within-Subject,61.0,0.4605610900406197
4,scatter,,sub-04,Within-Subject,58.0,0.5424734305665626
4,scatter,,sub-04,Within-Subject,38.0,0.519219803690715
4,scatter,,sub-04,Within-Subject,36.0,0.5277687192477762
4,scatter,,sub-04,Within-Subject,40.0,0.6427898339982764
4,scatter,,sub-04,Within-Subject,69.0,0.4868853323824795
4,scatter,,sub-04,Within-Subject,62.0,0.4718201886153922
4,scatter,,sub-04,Within-Subject,36.0,0.6905374028510307
4,scatter,,sub-04,Within-Subject,37.0,0.600984909662157
4,scatter,,sub-04,Within-Subject,63.0,0.5514264612853171
4,scatter,,sub-04,Within-Subject,65.0,0.4993946149295895
4,scatter,,sub-04,Within-Subject,56.0,0.5951659564670532
4,scatter,,sub-04,Within-Subject,71.0,0.5344393026581661
4,scatter,,sub-04,Within-Subject,71.0,0.6283767991271693
4,scatter,,sub-04,Within-Subject,64.0,0.7422475068673378
4,scatter,,sub-04,Within-Subject,55.0,0.6200954645478021
4,scatter,,sub-04,Within-Subject,63.0,0.4937202397510837
4,scatter,,sub-04,Within-Subject,30.0,0.4694356245721837
4,scatter,,sub-04,Within-Subject,55.0,0.6034584973208156
5,scatter,,sub-04,Within-Subject,30.0,0.5768301275013074
5,scatter,,sub-04,Within-Subject,71.0,0.5519652992367945
6,scatter,,,LOSO,61.0,0.517622275736786
6,scatter,,,LOSO,58.0,0.5698700252034967
6,scatter,,,LOSO,38.0,0.5014506434774364
6,scatter,,,LOSO,36.0,0.4421872309452249
6,scatter,,,LOSO,40.0,0.5200659413992946
6,scatter,,,LOSO,69.0,0.3952334747895867
6,scatter,,,LOSO,62.0,0.47375733462227015
6,scatter,,,LOSO,36.0,0.45710059408489556
6,scatter,,,LOSO,37.0,0.5468269313551418
6,scatter,,,LOSO,63.0,0.5555381869396321
6,scatter,,,LOSO,65.0,0.5217965796618453
6,scatter,,,LOSO,56.0,0.5780587021562423
6,scatter,,,LOSO,71.0,0.4758535135205087
6,scatter,,,LOSO,71.0,0.46933861938454846
6,scatter,,,LOSO,64.0,0.6118918954695128
6,scatter,,,LOSO,55.0,0.564237755633156
6,scatter,,,LOSO,63.0,0.45625882959975583
6,scatter,,,LOSO,30.0,0.46497284806188893
6,scatter,,,LOSO,55.0,0.5235548172282922
7,scatter,,,LOSO,30.0,0.5008761695398836
7,scatter,,,LOSO,71.0,0.5123712306235377
8,scatter,,sub-05,Within-Subject,0.0,0.3606232896309007
8,scatter,,sub-05,Within-Subject,3.0,0.4183576428964579
8,scatter,,sub-05,Within-Subject,52.0,0.3779229847914608
8,scatter,,sub-05,Within-Subject,99.0,0.2567734898632595
8,scatter,,sub-05,Within-Subject,43.0,0.3451766454888557
8,scatter,,sub-05,Within-Subject,52.0,0.4356015003882136
8,scatter,,sub-05,Within-Subject,99.0,0.4942703763995666
8,scatter,,sub-05,Within-Subject,10.0,0.4024904003173086
8,scatter,,sub-05,Within-Subject,96.0,0.4251975145110772
8,scatter,,sub-05,Within-Subject,47.0,0.4332467841203048
8,scatter,,sub-05,Within-Subject,94.0,0.4281711952112793
8,scatter,,sub-05,Within-Subject,96.0,0.5292271518757289
8,scatter,,sub-05,Within-Subject,96.0,0.4316126592587714
8,scatter,,sub-05,Within-Subject,17.0,0.4685739928408498
8,scatter,,sub-05,Within-Subject,7.0,0.582776707967349
8,scatter,,sub-05,Within-Subject,70.0,0.6029637185196537
8,scatter,,sub-05,Within-Subject,83.0,0.6508483695125014
8,scatter,,sub-05,Within-Subject,96.0,0.5414361716406738
8,scatter,,sub-05,Within-Subject,97.0,0.5162589280431144
8,scatter,,sub-05,Within-Subject,96.0,0.5817061010282967
8,scatter,,sub-05,Within-Subject,70.0,0.5318978324316741
8,scatter,,sub-05,Within-Subject,83.0,0.4670047732730167
8,scatter,,sub-05,Within-Subject,95.0,0.4219823338509556
8,scatter,,sub-05,Within-Subject,100.0,0.5214616793099925
8,scatter,,sub-05,Within-Subject,75.0,0.4187859925590689
8,scatter,,sub-05,Within-Subject,49.0,0.4617754959521269
8,scatter,,sub-05,Within-Subject,2.0,0.5452805940017097
8,scatter,,sub-05,Within-Subject,50.0,0.5260769226201342
8,scatter,,sub-05,Within-Subject,95.0,0.3539072576487284
8,scatter,,sub-05,Within-Subject,82.0,0.5859196570943519
8,scatter,,sub-05,Within-Subject,98.0,0.5174108453852899
8,scatter,,sub-05,Within-Subject,98.0,0.4191905556021937
8,scatter,,sub-05,Within-Subject,94.0,0.5495121577918192
8,scatter,,sub-05,Within-Subject,9.0,0.558530873563776
8,scatter,,sub-05,Within-Subject,99.0,0.4071777811172884
8,scatter,,sub-05,Within-Subject,95.0,0.4415836481670553
8,scatter,,sub-05,Within-Subject,96.0,0.5168509743338771
8,scatter,,sub-05,Within-Subject,95.0,0.5154594423415492
8,scatter,,sub-05,Within-Subject,53.0,0.4159227107924516
8,scatter,,sub-05,Within-Subject,95.0,0.5348248050041466
8,scatter,,sub-05,Within-Subject,5.0,0.5780949796715842
8,scatter,,sub-05,Within-Subject,35.0,0.5141316659965
8,scatter,,sub-05,Within-Subject,1.0,0.5121443739880748
8,scatter,,sub-05,Within-Subject,78.0,0.4718901367110358
