trace_index,trace_type,trace_name,row_label,col_label,x,y
0,scatter,,sub-02,Within-Subject,97.0,0.4536918713992597
0,scatter,,sub-02,Within-Subject,97.0,0.7032476526487669
0,scatter,,sub-02,Within-Subject,97.0,0.2625467798957112
0,scatter,,sub-02,Within-Subject,97.0,0.5873374197483743
0,scatter,,sub-02,Within-Subject,96.0,0.6652259667381781
0,scatter,,sub-02,Within-Subject,96.0,0.6421649764348146
0,scatter,,sub-02,Within-Subject,96.0,0.6657515958141101
0,scatter,,sub-02,Within-Subject,96.0,0.6315930902417581
0,scatter,,sub-02,Within-Subject,96.0,0.5791899518636997
0,scatter,,sub-02,Within-Subject,96.0,0.3978050631215018
0,scatter,,sub-02,Within-Subject,97.0,0.4745062013522374
0,scatter,,sub-02,Within-Subject,96.0,0.560061449915899
0,scatter,,sub-02,Within-Subject,94.0,0.3034370159222476
0,scatter,,sub-02,Within-Subject,93.0,0.6145346668317483
0,scatter,,sub-02,Within-Subject,95.0,0.5771525330107066
0,scatter,,sub-02,Within-Subject,95.0,0.6740063835973079
0,scatter,,sub-02,Within-Subject,95.0,0.6491873174608057
0,scatter,,sub-02,Within-Subject,96.0,0.7389873566478466
0,scatter,,sub-02,Within-Subject,93.0,0.5540147442705664
0,scatter,,sub-02,Within-Subject,96.0,0.7459176751352459
0,scatter,,sub-02,Within-Subject,93.0,0.562919072490556
1,scatter,,sub-02,Within-Subject,93.0,0.5777985340968365
1,scatter,,sub-02,Within-Subject,97.0,0.5710955391714866
2,scatter,,,LOSO,97.0,0.48916313883729096
2,scatter,,,LOSO,97.0,0.62739141932427
2,scatter,,,LOSO,97.0,0.44811280899877015
2,scatter,,,LOSO,97.0,0.59406137470045
2,scatter,,,LOSO,96.0,0.6747516206615889
2,scatter,,,LOSO,96.0,0.4488439995823104
2,scatter,,,LOSO,96.0,0.5739976481668979
2,scatter,,,LOSO,96.0,0.5021709837964974
2,scatter,,,LOSO,96.0,0.516156974777231
2,scatter,,,LOSO,96.0,0.44958532392518635
2,scatter,,,LOSO,97.0,0.4903077917882355
2,scatter,,,LOSO,96.0,0.48964750834949167
2,scatter,,,LOSO,94.0,0.37441971412867836
2,scatter,,,LOSO,93.0,0.5164419887228863
2,scatter,,,LOSO,95.0,0.5599234884863626
2,scatter,,,LOSO,95.0,0.5041487804379996
2,scatter,,,LOSO,95.0,0.6018743800869513
2,scatter,,,LOSO,96.0,0.5187420541800396
2,scatter,,,LOSO,93.0,0.5494113051810045
2,scatter,,,LOSO,96.0,0.5458818451961722
2,scatter,,,LOSO,93.0,0.4697358022580089
3,scatter,,,LOSO,93.0,0.49790399505789285
3,scatter,,,LOSO,97.0,0.5341103695297873
4,scatter,,sub-03,Within-Subject,62.0,0.5432572892993383
4,scatter,,sub-03,Within-Subject,63.0,0.5882828610423463
4,scatter,,sub-03,Within-Subject,59.0,0.6158205608766838
4,scatter,,sub-03,Within-Subject,61.0,0.5721494458742412
4,scatter,,sub-03,Within-Subject,56.0,0.49078281777830735
4,scatter,,sub-03,Within-Subject,58.0,0.3946337667607721
4,scatter,,sub-03,Within-Subject,67.0,0.5940884363914358
4,scatter,,sub-03,Within-Subject,64.0,0.5183618907224379
4,scatter,,sub-03,Within-Subject,69.0,0.4879222387371232
4,scatter,,sub-03,Within-Subject,67.0,0.5970175639864173
4,scatter,,sub-03,Within-Subject,65.0,0.5463460204916883
4,scatter,,sub-03,Within-Subject,72.0,0.49826539820331195
4,scatter,,sub-03,Within-Subject,66.0,0.46600806186849375
4,scatter,,sub-03,Within-Subject,65.0,0.5085332739955367
4,scatter,,sub-03,Within-Subject,65.0,0.4892972813681394
4,scatter,,sub-03,Within-Subject,55.0,0.567048139598086
4,scatter,,sub-03,Within-Subject,67.0,0.4262816921383624
4,scatter,,sub-03,Within-Subject,68.0,0.4291210493001792
4,scatter,,sub-03,Within-Subject,67.0,0.5231103151358437
4,scatter,,sub-03,Within-Subject,63.0,0.4528344872345389
4,scatter,,sub-03,Within-Subject,57.0,0.3446065702946088
5,scatter,,sub-03,Within-Subject,55.0,0.4997293023744654
5,scatter,,sub-03,Within-Subject,72.0,0.5147056271865095
6,scatter,,,LOSO,62.0,0.5884928581645358
6,scatter,,,LOSO,63.0,0.490016504421925
6,scatter,,,LOSO,59.0,0.542515532874539
6,scatter,,,LOSO,61.0,0.6300262163754461
6,scatter,,,LOSO,56.0,0.5759447767471085
6,scatter,,,LOSO,58.0,0.5500158359885988
6,scatter,,,LOSO,67.0,0.5901109107346636
6,scatter,,,LOSO,64.0,0.4368360420744487
6,scatter,,,LOSO,69.0,0.52970404241436
6,scatter,,,LOSO,67.0,0.5493226349715938
6,scatter,,,LOSO,65.0,0.571716004458265
6,scatter,,,LOSO,72.0,0.45521968747471175
6,scatter,,,LOSO,66.0,0.6045765039487012
6,scatter,,,LOSO,65.0,0.5257904348150328
6,scatter,,,LOSO,65.0,0.4820329541652877
6,scatter,,,LOSO,55.0,0.5636771563919724
6,scatter,,,LOSO,67.0,0.45266780229548076
