dimension,marker,family,cluster_stat,cbpt_significant,y_value
onoff,N1,evoked,-2.777406072524141,False,0.0372130960036464
onoff,P1,evoked,-54.47785834206822,True,0.0329022140296991
onoff,P3a,evoked,55.503146001435944,True,0.0237906762371189
onoff,P3b,evoked,100.3501179877593,True,0.1062640327097271
onoff,PE_alpha,sleep,17.12678100757502,True,0.0765857852324125
onoff,PE_beta,sleep,-75.61956507643157,True,0.0486903476417833
onoff,PE_gamma,sleep,-74.1595933440282,True,0.0541078399637972
onoff,PE_theta,sleep,-5.497904533339437,False,0.0241403932491803
onoff,kolmogorov_complexity,sleep,-3.109948824359,False,0.0377852876822683
onoff,psd_relative_alpha,sleep,-58.40606047624926,True,0.0513595908535937
onoff,psd_relative_beta,sleep,-8.772426932314298,True,0.0365774255445179
onoff,psd_relative_delta,sleep,34.13968066293575,True,0.0376730320465113
onoff,psd_relative_gamma,sleep,-55.906915823062974,True,0.055008980476336
onoff,psd_relative_theta,sleep,61.588844114702376,True,0.0650507848662941
onoff,slowwaves_Density,sleep,-30.63691400317057,True,0.0430346159443162
onoff,slowwaves_Duration,sleep,-6.074239439088434,True,0.0301505302003739
onoff,slowwaves_Frequency,sleep,5.315528589320701,True,0.0321046599113844
onoff,slowwaves_PTP,sleep,-42.452148191469774,True,0.0328583109418588
onoff,slowwaves_Slope,sleep,-2.667608115874049,False,0.0329438042573941
onoff,wsmi_alpha,sleep,5.498470455371601,True,0.0286300247002806
onoff,wsmi_beta,sleep,8.285195098459747,True,0.0369184044452559
onoff,wsmi_gamma,sleep,30.063678541225684,True,0.0306016966588882
onoff,wsmi_theta,sleep,5.8854071759047475,True,0.0456084664033605
valence,N1,evoked,-5.125323028896635,False,0.0275582079811385
valence,P1,evoked,0.0,False,0.0340296344169873
valence,P3a,evoked,0.0,False,0.053492515225342
valence,P3b,evoked,-2.3716328064518675,False,0.0568801908399421
valence,PE_alpha,sleep,-2.581975014522704,False,0.0497261208260137
valence,PE_beta,sleep,-2.838626920736902,False,0.0470670423816281
valence,PE_gamma,sleep,-2.708310348561176,False,0.0420930647582351
valence,PE_theta,sleep,-12.434823944924222,False,0.0586179995594132
valence,kolmogorov_complexity,sleep,2.5219492353855797,False,0.0448275758835361
valence,psd_relative_alpha,sleep,-5.357599003306564,False,0.0559928148915184
valence,psd_relative_beta,sleep,-7.000178525429762,False,0.0502427774736343
valence,psd_relative_delta,sleep,52.81551113144849,True,0.0496948111901077
valence,psd_relative_gamma,sleep,-3.378027316249653,False,0.0403811045712432
valence,psd_relative_theta,sleep,15.25865838781137,False,0.0399583676190001
valence,slowwaves_Density,sleep,23.431048475036413,False,0.0474431087696778
valence,slowwaves_Duration,sleep,2.5556078596771905,False,0.0313971488708837
valence,slowwaves_Frequency,sleep,-3.031375881373755,False,0.034542283573343
valence,slowwaves_PTP,sleep,2.6460194773492183,False,0.0530673407802726
valence,slowwaves_Slope,sleep,5.783196065899062,False,0.0350671370719738
valence,wsmi_alpha,sleep,-4.850131134635552,False,0.0513415835101545
valence,wsmi_beta,sleep,-2.7047910714855243,False,0.0309216185570847
valence,wsmi_gamma,sleep,-2.8297317312438004,False,0.0317214795342127
valence,wsmi_theta,sleep,3.3547450208131524,False,0.0339360717146567
selfother,N1,evoked,0.0,False,0.0282294529618088
selfother,P1,evoked,0.0,False,0.0323610428835008
selfother,P3a,evoked,26.550209124879142,False,0.0399288190938467
selfother,P3b,evoked,25.221291094115173,False,0.0826418775511325
selfother,PE_alpha,sleep,5.723326997514689,False,0.0413967005642761
selfother,PE_beta,sleep,7.548979625099959,False,0.0570005230580437
selfother,PE_gamma,sleep,4.8926832890939185,False,0.0580808036084335
selfother,PE_theta,sleep,-3.6118359020863995,False,0.0453276546178062
selfother,kolmogorov_complexity,sleep,-2.4745917750427426,False,0.0442236109702499
selfother,psd_relative_alpha,sleep,-12.488539594803562,False,0.0352742429018808
selfother,psd_relative_beta,sleep,11.016474663201688,False,0.0488211033437688
selfother,psd_relative_delta,sleep,4.008527501899619,False,0.053103191770371
selfother,psd_relative_gamma,sleep,2.7084205627806863,False,0.0514906431087707
selfother,psd_relative_theta,sleep,10.552235420760956,False,0.032676514069201
selfother,slowwaves_Density,sleep,-18.734927710114476,False,0.0455529335951524
selfother,slowwaves_Duration,sleep,0.0,False,0.0304205339725323
selfother,slowwaves_Frequency,sleep,-2.319408146771229,False,0.0308952686004015
selfother,slowwaves_PTP,sleep,-8.12163546336942,False,0.0513384741504301
selfother,slowwaves_Slope,sleep,-4.681426834895936,False,0.0339549802292619
