dimension,marker,family,cluster_stat,cbpt_significant,y_value
onoff,N1,evoked,-2.777406072524141,False,-0.0310659081420146
onoff,P1,evoked,-54.47785834206822,True,-0.0335474306106442
onoff,P3a,evoked,55.503146001435944,True,0.0420396726362506
onoff,P3b,evoked,100.3501179877593,True,0.0508112009516554
onoff,PE_alpha,sleep,17.12678100757502,True,0.0426351334752482
onoff,PE_beta,sleep,-75.61956507643157,True,0.0577766961841209
onoff,PE_gamma,sleep,-74.1595933440282,True,0.0581934920243821
onoff,PE_theta,sleep,-5.497904533339437,False,-0.061418859089602
onoff,kolmogorov_complexity,sleep,-3.109948824359,False,0.0509976652652754
onoff,psd_relative_alpha,sleep,-58.40606047624926,True,-0.0483285893184858
onoff,psd_relative_beta,sleep,-8.772426932314298,True,0.0470400777165555
onoff,psd_relative_delta,sleep,34.13968066293575,True,0.0527262714125974
onoff,psd_relative_gamma,sleep,-55.906915823062974,True,0.0504979532093649
onoff,psd_relative_theta,sleep,61.588844114702376,True,0.0466654360360494
onoff,slowwaves_Density,sleep,-30.63691400317057,True,-0.0449903135334959
onoff,slowwaves_Duration,sleep,-6.074239439088434,True,0.0256238013903256
onoff,slowwaves_Frequency,sleep,5.315528589320701,True,-0.0291110047555271
onoff,slowwaves_PTP,sleep,-42.452148191469774,True,-0.0325145299395945
onoff,slowwaves_Slope,sleep,-2.667608115874049,False,-0.0304744995514186
onoff,wsmi_alpha,sleep,5.498470455371601,True,0.0374812948851909
onoff,wsmi_beta,sleep,8.285195098459747,True,0.0402538520307151
onoff,wsmi_gamma,sleep,30.063678541225684,True,0.0446730495223133
onoff,wsmi_theta,sleep,5.8854071759047475,True,0.0411332683191716
valence,N1,evoked,-5.125323028896635,False,0.042315307169564
valence,P1,evoked,0.0,False,0.0426514517046986
valence,P3a,evoked,0.0,False,-0.0446943057705744
valence,P3b,evoked,-2.3716328064518675,False,-0.0409594053209695
valence,PE_alpha,sleep,-2.581975014522704,False,0.0457267985657785
valence,PE_beta,sleep,-2.838626920736902,False,0.048021224416205
valence,PE_gamma,sleep,-2.708310348561176,False,0.0508343309058813
valence,PE_theta,sleep,-12.434823944924222,False,-0.0442041697511317
valence,kolmogorov_complexity,sleep,2.5219492353855797,False,0.0613347223671084
valence,psd_relative_alpha,sleep,-5.357599003306564,False,-0.0397279640907171
valence,psd_relative_beta,sleep,-7.000178525429762,False,0.0463749884687724
valence,psd_relative_delta,sleep,52.81551113144849,True,0.0499115393625721
valence,psd_relative_gamma,sleep,-3.378027316249653,False,-0.0518925709710413
valence,psd_relative_theta,sleep,15.25865838781137,False,0.0428821995211039
valence,slowwaves_Density,sleep,23.431048475036413,False,-0.0425976511807776
valence,slowwaves_Duration,sleep,2.5556078596771905,False,-0.0345988327365897
valence,slowwaves_Frequency,sleep,-3.031375881373755,False,0.0321713788452852
valence,slowwaves_PTP,sleep,2.6460194773492183,False,-0.0364661513272345
valence,slowwaves_Slope,sleep,5.783196065899062,False,-0.0346083515264882
valence,wsmi_alpha,sleep,-4.850131134635552,False,-0.0430014597917254
valence,wsmi_beta,sleep,-2.7047910714855243,False,0.0408872114613784
valence,wsmi_gamma,sleep,-2.8297317312438004,False,0.0431829061433421
valence,wsmi_theta,sleep,3.3547450208131524,False,0.0409550786010597
selfother,N1,evoked,0.0,False,-0.0530685735583094
selfother,P1,evoked,0.0,False,0.0412741800965548
selfother,P3a,evoked,26.550209124879142,False,0.0430205237287937
selfother,P3b,evoked,25.221291094115173,False,0.0485661141926558
selfother,PE_alpha,sleep,5.723326997514689,False,0.0413565605243502
selfother,PE_beta,sleep,7.548979625099959,False,0.0446645783117047
selfother,PE_gamma,sleep,4.8926832890939185,False,0.046092116764558
selfother,PE_theta,sleep,-3.6118359020863995,False,-0.0430166550615296
selfother,kolmogorov_complexity,sleep,-2.4745917750427426,False,0.0513447662728781
selfother,psd_relative_alpha,sleep,-12.488539594803562,False,-0.0434003906643303
selfother,psd_relative_beta,sleep,11.016474663201688,False,0.0381891144362091
selfother,psd_relative_delta,sleep,4.008527501899619,False,0.0471212815900796
selfother,psd_relative_gamma,sleep,2.7084205627806863,False,0.0485466999330994
selfother,psd_relative_theta,sleep,10.552235420760956,False,0.0451675037102886
selfother,slowwaves_Density,sleep,-18.734927710114476,False,-0.0424668398829596
selfother,slowwaves_Duration,sleep,0.0,False,-0.0323892337122121
selfother,slowwaves_Frequency,sleep,-2.319408146771229,False,0.032072815020379
selfother,slowwaves_PTP,sleep,-8.12163546336942,False,-0.0431149691666511
selfother,slowwaves_Slope,sleep,-4.681426834895936,False,-0.0377836826554242
selfother,wsmi_alpha,sleep,0.0,False,-0.0410758850076118
selfother,wsmi_beta,sleep,0.0,False,0.0457473844271621
selfother,wsmi_gamma,sleep,2.273467644263122,False,0.0455109052919845
selfother,wsmi_theta,sleep,-2.4306179170685662,False,-0.0450092259902729
time,N1,evoked,2.409770662696871,False,0.0546584773965162
time,P1,evoked,2.3471012720866478,False,0.0487051640768079
time,P3a,evoked,0.0,False,0.0552859819108582
time,P3b,evoked,0.0,False,0.0444010757431292
time,PE_alpha,sleep,-21.75653621660703,False,0.0451963682328557
time,PE_beta,sleep,-2.9651167079850085,False,-0.0395918911478908
time,PE_gamma,sleep,-2.994473984562037,False,-0.0418184885506116
time,PE_theta,sleep,0.0,False,-0.0372689151412546
time,kolmogorov_complexity,sleep,-9.555387107891125,False,-0.0514702763685179
time,psd_relative_alpha,sleep,15.949214994716197,False,-0.0395684575217478
time,psd_relative_beta,sleep,-4.728719949950355,False,0.0428043554322626
time,psd_relative_delta,sleep,0.0,False,0.0434671228345328
time,psd_relative_gamma,sleep,-20.863623956333548,False,-0.0495494418567817
time,psd_relative_theta,sleep,5.079927325246864,False,0.0409313692149727
time,slowwaves_Density,sleep,0.0,False,-0.0456369067299381
time,slowwaves_Duration,sleep,2.259940271745968,False,0.0316804874596558
time,slowwaves_Frequency,sleep,0.0,False,-0.033672710620867
time,slowwaves_PTP,sleep,-2.3000473638125256,False,-0.0396111122536142
time,slowwaves_Slope,sleep,-10.65962016943556,False,-0.0374271024941292
time,wsmi_alpha,sleep,0.0,False,0.0424566021444501
time,wsmi_beta,sleep,2.386841617365601,False,0.0421117585757772
time,wsmi_gamma,sleep,3.1454015573400547,False,0.0445014340415084
time,wsmi_theta,sleep,-3.001053796316145,False,0.0481845002513188
confidence,N1,evoked,5.102260890964555,False,0.0534092074678432
confidence,P1,evoked,0.0,False,0.0338617732843092
confidence,P3a,evoked,-2.507107142851181,False,-0.0327251714799928
confidence,P3b,evoked,-2.317050939219581,False,-0.0495426348737292
confidence,PE_alpha,sleep,23.12997211535159,True,0.0512882535897173
