predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,significant_05,significant_01
Intercept,-6.905743028337493,8.182668114732826,-0.843947589161506,0.398698693554395,-22.943477830658093,9.131991773983106,False,False
group_bdi3[T.Controls High BDI],-5.402098950363933,10.953447402414636,-0.49318709917510223,0.6218803925072921,-26.870461365650424,16.06626346492256,False,False
group_bdi3[T.Risk of Depression],-2.733580621682855,10.521833677322057,-0.2598007824030332,0.7950174474033175,-23.355995680554724,17.888834437189015,False,False
inclusion_exclusion[T.inclusion],18.92899876602448,9.685773839026744,1.9543093903095432,0.05066463900485011,-0.054769120868193966,37.912766652917156,False,False
group_bdi3[T.Controls High BDI]:inclusion_exclusion[T.inclusion],-11.827781245086463,13.19140996127939,-0.8966275235023722,0.3699177062566973,-37.68246967449698,14.026907184324052,False,False
group_bdi3[T.Risk of Depression]:inclusion_exclusion[T.inclusion],-10.01327691386184,11.964963890991042,-0.8368831703204125,0.40265824118979776,-33.46417521652651,13.437621388802832,False,False
probe_number,0.5572125899897548,0.6890076404442493,0.8087175776896792,0.4186776150564021,-0.7932175703538972,1.9076427503334066,False,False
group_bdi3[T.Controls High BDI]:probe_number,0.4504807229046897,0.9299262519679404,0.4844262885915605,0.6280833652669997,-1.3721412392307932,2.2731026850401728,False,False
group_bdi3[T.Risk of Depression]:probe_number,-0.3159049357707559,0.87185978813396,-0.36233456350462806,0.7171020324745404,-2.0247187200820393,1.3929088485405277,False,False
inclusion_exclusion[T.inclusion]:probe_number,-2.9992737269768344,1.0579063012338947,-2.83510337681004,0.004581085918545558,-5.07273197641325,-0.9258154775404193,True,True
group_bdi3[T.Controls High BDI]:inclusion_exclusion[T.inclusion]:probe_number,1.6835356786635147,1.404029658008655,1.199074157059677,0.2304991117863111,-1.0683118842595385,4.4353832415865675,False,False
group_bdi3[T.Risk of Depression]:inclusion_exclusion[T.inclusion]:probe_number,1.9056527483617445,1.2930173885740472,1.4738028778277434,0.14053467325843838,-0.6286147646274207,4.43992026135091,False,False
subject_id Var,0.3859639976288494,0.16219292264906826,2.3796599218077326,0.017328622062141023,0.06807171068938483,0.7038562845683141,True,False
