predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,significant_05,significant_01
Intercept,4.293341018506393,5.871635149177305,0.7312002379963863,0.46465685482645014,-7.214852404240592,15.801534441253377,False,False
group_bdi3[T.Controls High BDI],-7.231256684074369,7.882045116984975,-0.917434063970501,0.3589152295605933,-22.67978123788472,8.217267869735979,False,False
group_bdi3[T.Risk of Depression],-11.112826661806688,7.477298596786483,-1.4862087581446386,0.13722391167096099,-25.768062613160076,3.5424092895467023,False,False
inclusion_exclusion[T.inclusion],-16.359552687547865,7.582413285118872,-2.157565417814256,0.030961635849095146,-31.22080964227889,-1.498295732816839,True,False
group_bdi3[T.Controls High BDI]:inclusion_exclusion[T.inclusion],13.12758153100854,10.334516342240919,1.2702656898757176,0.20399000534235512,-7.127698297424276,33.38286135944136,False,False
group_bdi3[T.Risk of Depression]:inclusion_exclusion[T.inclusion],30.24624417849784,9.377830176176623,3.2252923768373623,0.001258440775960238,11.866034780058747,48.62645357693693,True,True
probe_number,-0.4739085595901604,0.5391120839501694,-0.8790538622650577,0.3793720721602085,-1.5305488277628265,0.5827317085825057,False,False
group_bdi3[T.Controls High BDI]:probe_number,0.6853974298336158,0.7277284185227412,0.9418313376093578,0.34627899822708963,-0.7409240609972481,2.1117189206644795,False,False
group_bdi3[T.Risk of Depression]:probe_number,0.9372556472069871,0.6831560764344258,1.3719495142292737,0.17007915481124225,-0.4017056584241798,2.276216952838154,False,False
inclusion_exclusion[T.inclusion]:probe_number,1.2269519168272862,0.8283069283777417,1.481276897236994,0.13853280220599473,-0.3964998309380856,2.8504036645926583,False,False
group_bdi3[T.Controls High BDI]:inclusion_exclusion[T.inclusion]:probe_number,-0.6050805200357428,1.1021132710777046,-0.549018450203456,0.5829927881666979,-2.7651828382316737,1.555021798160188,False,False
group_bdi3[T.Risk of Depression]:inclusion_exclusion[T.inclusion]:probe_number,-2.9317219023096754,1.0138397574940143,-2.8917014554215528,0.0038316185373277797,-4.918811313092766,-0.9446324915265849,True,True
subject_id Var,0.20763458426034695,0.12439818904885493,1.6691125959944848,0.09509506746209855,-0.036181386017413664,0.45145055453810756,False,False
