mood,dimension,a_coeff,a_se,b_coeff,b_se,ab_effect,ci_lower,ci_upper,is_significant
EVAaverage,valence,-1.9425225519932405,0.636781328486699,0.16199346100158668,0.04501613298562925,-0.3126400546412819,-0.6156339962031435,-0.08437532107766828,True
EVAaverage,time,-1.9425225519932405,0.636781328486699,0.007417573921178041,0.05649673310649037,-0.012564578015301475,-0.2480954840559087,0.22023314487387913,False
EVAaverage,selfother,-1.9425225519932405,0.636781328486699,0.17556269203979663,0.050913440145560894,-0.33875965234401034,-0.6746195445225841,-0.08853716963102057,True
EVAaverage,onoff,-1.9425225519932405,0.636781328486699,0.05913820204146643,0.041621241629112814,-0.11332386238436427,-0.31835463222509564,0.042581684292638276,False
EVAaverage,confidence,-1.9425225519932405,0.636781328486699,0.12338562688021557,0.04885849972011761,-0.2376599796294513,-0.5179516159035653,-0.03692253675401344,True
EVAaverage,pca1,-1.9425225519932405,0.636781328486699,0.17324445038944988,0.046625806923694946,-0.334402747239039,-0.6535888038376356,-0.0918390949569485,True
EVAmood,valence,-2.0433572709991843,0.5815577642997944,0.1967243325202623,0.04513004711955982,-0.39987856046999876,-0.722092048008788,-0.14589157987420873,True
EVAmood,time,-2.0433572709991843,0.5815577642997944,0.011118486845568824,0.05980647133109673,-0.02076392266354617,-0.2784965808605752,0.2324637778758216,False
EVAmood,selfother,-2.0433572709991843,0.5815577642997944,0.18414103485079183,0.05273242579376502,-0.37396424955104884,-0.7110786551941055,-0.11792116782509311,True
EVAmood,onoff,-2.0433572709991843,0.5815577642997944,0.07795331302156118,0.04324364239001508,-0.15764108477611,-0.38050860378809753,0.012548320538979788,False
EVAmood,confidence,-2.0433572709991843,0.5815577642997944,0.13498932364642094,0.05039605085363688,-0.27376758574834137,-0.5640096953083906,-0.058707176105452424,True
EVAmood,pca1,-2.0433572709991843,0.5815577642997944,0.20433892103692233,0.046613657944920533,-0.41536506190405664,-0.7491681810509339,-0.15171850482882496,True
EVAfeel,valence,-2.1493587273722627,0.6961222881546747,0.10504473599253666,0.0389641660236095,-0.22398186560549613,-0.476391250844084,-0.04163299006103335,True
EVAfeel,time,-2.1493587273722627,0.6961222881546747,-0.029321070145054053,0.04875716820270505,0.06463228824373458,-0.14589241883398885,0.30895797822941956,False
EVAfeel,selfother,-2.1493587273722627,0.6961222881546747,0.09340267238319894,0.044438161983021564,-0.19881117721910133,-0.46405524888241445,-0.010091979922364517,True
EVAfeel,onoff,-2.1493587273722627,0.6961222881546747,0.02826299461254793,0.03461860811359079,-0.059408901784782815,-0.2316597224658535,0.08902659536433796,False
EVAfeel,confidence,-2.1493587273722627,0.6961222881546747,0.09015521980102639,0.04077122053609091,-0.19197401323623622,-0.43875738813278437,-0.01662003738716035,True
EVAfeel,pca1,-2.1493587273722627,0.6961222881546747,0.09079685176759834,0.04076389056861043,-0.193350824652542,-0.44068890096799973,-0.017787432223178766,True
EVAtense,valence,-2.2859615048456297,0.7878823949896779,0.09860258093467836,0.036646419217167644,-0.22354359061585843,-0.4847342071789143,-0.036740669048256354,True
EVAtense,time,-2.2859615048456297,0.7878823949896779,-0.004636493530724103,0.045104348481422675,0.01232006373007656,-0.205171698582796,0.24077766249995905,False
EVAtense,selfother,-2.2859615048456297,0.7878823949896779,0.14807074208397836,0.04093719069408708,-0.3362380625586923,-0.6724732362427277,-0.08348819639362282,True
EVAtense,onoff,-2.2859615048456297,0.7878823949896779,0.033460774864468315,0.03321177857924709,-0.07505708126292274,-0.260226985313245,0.07441301520119982,False
EVAtense,confidence,-2.2859615048456297,0.7878823949896779,0.05360800807330712,0.03967849190704431,-0.12077265655388905,-0.35245960428444384,0.05459601096989266,False
EVAtense,pca1,-2.2859615048456297,0.7878823949896779,0.11916536959953165,0.03756934561457394,-0.2704213579342992,-0.5588452429247174,-0.0591697337485131,True
EVAhurt,valence,-1.3234752676779495,0.8649525881124348,0.09176345933510432,0.03542624232571149,-0.11991315362448081,-0.34036392558365597,0.03374801785164976,False
EVAhurt,time,-1.3234752676779495,0.8649525881124348,0.04137434219630888,0.0429730421227391,-0.053242469670155584,-0.23443410376900117,0.06991764332997517,False
EVAhurt,selfother,-1.3234752676779495,0.8649525881124348,0.09933820996969135,0.040089052462416494,-0.12975850505271655,-0.37307460644327894,0.03688975864944808,False
EVAhurt,onoff,-1.3234752676779495,0.8649525881124348,0.03949765921014989,0.03251583734515801,-0.05108712151834267,-0.19695247934595866,0.04205561003498551,False
EVAhurt,confidence,-1.3234752676779495,0.8649525881124348,0.08971082220615144,0.03794270016730665,-0.11712985738721055,-0.34216604858763755,0.03403618743343334,False
EVAhurt,pca1,-1.3234752676779495,0.8649525881124348,0.10598117050255987,0.03672043676066653,-0.13862036035771344,-0.3809502448605394,0.03887730451279375,False
