marker,predictor,estimate,std_error,t_value,p_value,p_fdr,significant_fdr
Omission Rate,On/Off Task,-0.0006471737006935171,9.125684526777038e-05,-7.091782526500317,1.3239545546004757e-12,9.26768188220333e-12,True
Omission Rate,Valence,-0.00010058355871597406,0.00013047581905160612,-0.7708980824729753,0.44076734381108096,0.6170959953271246,False
Omission Rate,Self/Other,9.338018104566003e-05,8.13045310223533e-05,1.148523703063815,0.2507524336630914,0.5850890118805466,False
Omission Rate,Time (probe dim.),7.949724024539744e-05,0.00012041723443205098,0.6601815813188778,0.5091373105801323,0.6170959953271246,False
Omission Rate,Present,0.00039742757740070613,0.0001742197777793278,2.2811851930158027,0.022537490568372908,0.07888121698930518,False
Omission Rate,Confidence,-1.4851659324873678e-05,0.00012379601750940201,-0.11996879724944083,0.9045078655892038,0.9045078655892038,False
Omission Rate,Time on Task,6.139262495047123e-05,9.750652330213689e-05,0.6296258226768894,0.5289394245661068,0.6170959953271246,False
Commission Rate,On/Off Task,-0.00153784766633863,0.00026550437033785095,-5.792174585984172,6.948086002194108e-09,4.863660201535876e-08,True
Commission Rate,Valence,-0.0016593927646308573,0.00038301739677279646,-4.332421395509611,1.4747832386817615e-05,5.1617413353861655e-05,True
Commission Rate,Self/Other,-0.00015605487430300852,0.00023776555805531506,-0.6563392762996526,0.5116058517449633,0.5116058517449633,False
Commission Rate,Time (probe dim.),-0.0004630969695208026,0.0003619509394078178,-1.2794467954095332,0.20073976401041327,0.23419639134548215,False
Commission Rate,Present,-0.0009569823002086227,0.0005165676218035194,-1.8525789457485946,0.06394273249696829,0.09205072042009314,False
Commission Rate,Confidence,-0.0007462325072297885,0.0003685868073763632,-2.0245773649402814,0.04291078044942516,0.09205072042009314,False
Commission Rate,Time on Task,0.0005402571481599129,0.0002935987511947314,1.8401207292655803,0.06575051458578082,0.09205072042009314,False
Total Errors,On/Off Task,-0.002195575988981644,0.0002809928728767874,-7.813635863797807,5.556146228923951e-15,3.889302360246766e-14,True
Total Errors,Valence,-0.0017341097870596615,0.0004050581807477351,-4.281137548829417,1.859403785770648e-05,6.507913250197268e-05,True
Total Errors,Self/Other,-8.1295118770411e-05,0.00025123656023475296,-0.3235799705840967,0.7462560539562229,0.7462560539562229,False
Total Errors,Time (probe dim.),-0.00038870293402571484,0.00037964417932113514,-1.023861171059644,0.30590085251363897,0.3568843279325788,False
Total Errors,Present,-0.0005808478734920526,0.0005458083435462552,-1.0641974978215551,0.2872392403014128,0.3568843279325788,False
Total Errors,Confidence,-0.0007749605311719743,0.0003875392473480857,-1.9996956088318685,0.04553314264956839,0.09274364976905275,False
Total Errors,Time on Task,0.000595236298531795,0.0003076235289037533,1.9349504917682274,0.05299637129660157,0.09274364976905275,False
RTCV (RT Variability),On/Off Task,-0.00028558714823451707,0.00012485259869420858,-2.287394505371752,0.022172806722356112,0.0776048235282464,False
RTCV (RT Variability),Valence,-0.0001418808382378616,0.00017797819561448796,-0.7971810128089201,0.4253459116092555,0.5954842762529576,False
RTCV (RT Variability),Self/Other,2.1167825963432465e-05,0.00011134850766649492,0.19010426279652712,0.8492274297673,0.8492274297673,False
RTCV (RT Variability),Time (probe dim.),7.159587469652115e-05,0.00016451102284829338,0.4352041185869016,0.6634142733484167,0.7739833189064862,False
RTCV (RT Variability),Present,-0.00025511030478764864,0.00023908089751481797,-1.0670459557390493,0.28595108444466977,0.5004143977781721,False
RTCV (RT Variability),Confidence,-0.00027016007231102704,0.0001692280314350947,-1.5964262540904375,0.11039365841817506,0.25758520297574183,False
RTCV (RT Variability),Time on Task,0.0007405233972246673,0.00013329212280768283,5.555642611327548,2.7659228137477096e-08,1.936145969623397e-07,True
