marker,moderator,interaction_term,estimate,std_error,t_value,p_value,n_obs,n_subjects,converged,p_fdr,significant_fdr,marker_label,moderator_label
omission_rate,valence,onoff:valence,-2.7565478780340317e-06,2.943035628803831e-06,-0.9366342191223844,0.3489467437535876,2460,42,True,0.6442093730835463,False,Omission Rate,Valence
omission_rate,selfother,onoff:selfother,-6.290248167844435e-07,2.0329865769712595e-06,-0.30940923265787806,0.7570102480957424,2460,42,True,0.9084122977148907,False,Omission Rate,Self/Other
omission_rate,time,onoff:time,-8.54571664851733e-06,3.1188370531428586e-06,-2.740033064537884,0.006143300380741718,2460,42,True,0.07371960456890062,False,Omission Rate,Time (probe dim.)
omission_rate,present,onoff:present,8.611730433201699e-06,4.057576789002675e-06,2.1223826143086755,0.03380562095762262,2460,42,True,0.270444967660981,False,Omission Rate,Present
omission_rate,confidence,onoff:confidence,2.239641433775372e-06,3.484788030338252e-06,0.6426908650618788,0.5204247096166099,2460,42,True,0.7794122700736118,False,Omission Rate,Confidence
omission_rate,time_on_task,onoff:time_on_task,-1.2864634133102009e-05,2.9770021432873486e-06,-4.321338552647551,1.5508550574751085e-05,2460,42,True,0.00037220521379402607,True,Omission Rate,Time on Task
commission_rate,valence,onoff:valence,9.962265697280626e-06,8.650080881155879e-06,1.1516962481799828,0.2494459145354797,2460,42,True,0.6442093730835463,False,Commission Rate,Valence
commission_rate,selfother,onoff:selfother,1.0653126266725894e-05,5.953672107176946e-06,1.7893370805362152,0.07356054572224366,2460,42,True,0.29424218288897463,False,Commission Rate,Self/Other
commission_rate,time,onoff:time,-1.4194624947549575e-06,9.085206359214822e-06,-0.15623888315043544,0.8758447287359243,2460,42,True,0.9204178278403478,False,Commission Rate,Time (probe dim.)
commission_rate,present,onoff:present,6.493698933161252e-06,1.18771822471418e-05,0.5467373319731569,0.5845592025552089,2460,42,True,0.7794122700736118,False,Commission Rate,Present
commission_rate,confidence,onoff:confidence,4.4078171772376e-06,1.0432157679509143e-05,0.4225221006671937,0.6726439726849409,2460,42,True,0.8496555444441359,False,Commission Rate,Confidence
commission_rate,time_on_task,onoff:time_on_task,-5.170298603253007e-06,9.055888148781457e-06,-0.5709322507421553,0.5680455683652341,2460,42,True,0.7794122700736118,False,Commission Rate,Time on Task
total_errors,valence,onoff:valence,7.694624799601314e-06,9.1446920868803e-06,0.8414307148340875,0.40010668453626264,2460,42,True,0.6858971734907359,False,Total Errors,Valence
total_errors,selfother,onoff:selfother,8.93754621016391e-06,6.299040461588407e-06,1.41887423404646,0.15593568536911756,2460,42,True,0.48403589417765547,False,Total Errors,Self/Other
total_errors,time,onoff:time,-9.239319361802727e-06,9.65925401811046e-06,-0.95652514619448,0.3388069862109885,2460,42,True,0.6442093730835463,False,Total Errors,Time (probe dim.)
total_errors,present,onoff:present,1.3844859462731327e-05,1.2573721366672191e-05,1.1010948198222688,0.27085539134589953,2460,42,True,0.6442093730835463,False,Total Errors,Present
total_errors,confidence,onoff:confidence,7.2396521950408836e-06,1.095240319095329e-05,0.6610103799886451,0.508605656861338,2460,42,True,0.7794122700736118,False,Total Errors,Confidence
total_errors,time_on_task,onoff:time_on_task,-1.779516449111324e-05,9.475959279376631e-06,-1.8779274969915112,0.06039108419294136,2460,42,True,0.2898772041261185,False,Total Errors,Time on Task
rtcv,valence,onoff:valence,-5.693908984407868e-06,4.065447868616112e-06,-1.4005613079835377,0.1613452980592185,2445,42,True,0.48403589417765547,False,RTCV (RT Variability),Valence
rtcv,selfother,onoff:selfother,-5.32057662298952e-06,2.795110744179569e-06,-1.9035298097110762,0.056971447775503045,2445,42,True,0.2898772041261185,False,RTCV (RT Variability),Self/Other
rtcv,time,onoff:time,-4.347445602414919e-07,4.3514743245372105e-06,-0.09990741707702205,0.9204178278403478,2445,42,True,0.9204178278403478,False,RTCV (RT Variability),Time (probe dim.)
rtcv,present,onoff:present,-1.3832608467718198e-06,5.635291198447043e-06,-0.24546395173917804,0.8060972168189852,2445,42,True,0.9204178278403478,False,RTCV (RT Variability),Present
rtcv,confidence,onoff:confidence,-6.563112119820175e-07,4.808494287214979e-06,-0.13648996396378063,0.8914339579008381,2445,42,True,0.9204178278403478,False,RTCV (RT Variability),Confidence
rtcv,time_on_task,onoff:time_on_task,-3.838219794481562e-06,4.07381938712058e-06,-0.9421673937278937,0.34610694473829473,2445,42,True,0.6442093730835463,False,RTCV (RT Variability),Time on Task
