predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,p_fdr,significant_fdr
Intercept,0.511619414659114,0.054514846220411056,9.384955661262731,6.294291831160177e-21,0.40477227944436883,0.6184665498738592,,
onoff,-0.0015095566752503843,0.0002653265445671097,-5.689429520567884,1.2746448477930003e-08,-0.0020295871467443808,-0.0009895262037563878,1.0197158782344003e-07,True
valence,-0.002409376320783953,0.00047259324349013153,-5.098203061454188,3.428928835032569e-07,-0.0033356420573615792,-0.0014831105842063271,1.3715715340130276e-06,True
selfother,-8.771685290451211e-05,0.00023886168359155463,-0.36722864707972563,0.7134484725491523,-0.0005558771500305612,0.000380443444221537,0.7134484725491523,False
time,-0.0005185691224188023,0.0003619639223237303,-1.432654169204766,0.15195669305643092,-0.0012280053738761673,0.00019086712903856277,0.1927662593942567,False
present,-0.0007199040436096276,0.0005230004443758098,-1.376488397574534,0.16867047696997461,-0.0017449660784846588,0.00030515799126540366,0.1927662593942567,False
confidence,-0.0009181103849892531,0.0003734733444659865,-2.4583023088355067,0.01395956093477553,-0.001650104689328308,-0.00018611608065019817,0.02791912186955106,True
time_on_task,0.000665218261015921,0.0002967922910668895,2.241359634458961,0.025002788985213485,8.351605963568881e-05,0.0012469204623961532,0.040004462376341574,True
valence_sq,0.0016906857042897573,0.000626357935718305,2.699232512079351,0.0069499600726198995,0.00046304670885102513,0.0029183246997284895,0.018533226860319732,True
subject Var,0.2146362339403525,0.052429400292676114,4.09381440074063,4.243340217609658e-05,0.11187649763567355,0.31739597024503147,,
