marker,predictor,estimate,std_error,t_value,p_value,p_fdr,significant_fdr
Omission Rate,On/Off Task,-0.02120139292814098,0.00297533713458893,-7.125711127545936,1.0354467867660801e-12,8.283574294128641e-12,True
Omission Rate,Valence,-0.0021441813478181543,0.003228424958994089,-0.6641570967430004,0.5065897696139016,0.7441172868706163,False
Omission Rate,Valence² (curvature),-0.00017785074868676776,0.0022606843458400716,-0.07867119928265719,0.9372941541009842,0.9737122306915256,False
Omission Rate,Self/Other,0.002708532820944631,0.0025090227298622584,1.0795170520808017,0.2803572963526998,0.5607145927053996,False
Omission Rate,Time (probe dim.),-0.0040852045374071624,0.0028240902019799974,-1.4465559685533365,0.14802132588223318,0.39472353568595514,False
Omission Rate,Time² (curvature),-0.006371705359148085,0.002361300393827441,-2.698388301549454,0.006967611593252341,0.027870446373009363,True
Omission Rate,Confidence,7.970940026555341e-05,0.0024188964362367306,0.032952795775566014,0.9737122306915256,0.9737122306915256,False
Omission Rate,Time on Task,0.0010027797087185809,0.0017121517831601599,0.5856838853782731,0.5580879651529622,0.7441172868706163,False
Commission Rate,On/Off Task,-0.049719468213288626,0.008628148363308755,-5.762472563026491,8.289052121351357e-09,6.631241697081086e-08,True
Commission Rate,Valence,-0.03115516119750404,0.00936970120870876,-3.3250965536175876,0.0008838791959603925,0.00353551678384157,True
Commission Rate,Valence² (curvature),0.016210361217585737,0.00668833077456352,2.42367815886672,0.015364214996061257,0.030728429992122514,True
Commission Rate,Self/Other,-0.0023763998865135674,0.0073285627530108996,-0.3242654755923645,0.74573705520889,0.8452680302480426,False
Commission Rate,Time (probe dim.),0.0016101399150965164,0.00825037649593889,0.1951595682801968,0.8452680302480426,0.8452680302480426,False
Commission Rate,Time² (curvature),0.015041118681330054,0.006915525175095058,2.1749785158035095,0.029631726389969883,0.039508968519959844,True
Commission Rate,Confidence,-0.018484700242364472,0.007198256687675612,-2.567941245275787,0.010230449455153409,0.027281198547075756,True
Commission Rate,Time on Task,0.011348332237327242,0.005138026621643533,2.208694713554672,0.0271958823840555,0.039508968519959844,True
Total Errors,On/Off Task,-0.07106190351600172,0.009131692515667195,-7.781898415226006,7.144422798852825e-15,5.71553823908226e-14,True
Total Errors,Valence,-0.03235581115602927,0.00992246925741097,-3.260862827250698,0.001110737601639659,0.004442950406558636,True
Total Errors,Valence² (curvature),0.016365218683068547,0.007040080108368878,2.3245784751247975,0.020094510874940213,0.03544278965419277,True
Total Errors,Self/Other,-0.00023435072640273107,0.007741225903249995,-0.030273076813885993,0.9758492683184905,0.9758492683184905,False
Total Errors,Time (probe dim.),-0.001782481069907879,0.008757780405472884,-0.20353114458019256,0.8387199052303476,0.9585370345489687,False
Total Errors,Time² (curvature),0.00947166167382422,0.007329047987322389,1.292345430157924,0.19623754565308005,0.2616500608707734,False
Total Errors,Confidence,-0.018728100983694592,0.007566572934971888,-2.47511008545696,0.013319511306617453,0.03544278965419277,True
Total Errors,Time on Task,0.012329536045897543,0.0053893583412065,2.2877558450005324,0.022151743533870484,0.03544278965419277,True
RTCV (RT Variability),On/Off Task,-0.009278336670467133,0.004071821944825639,-2.278669547979079,0.02268671626053756,0.09074686504215024,False
RTCV (RT Variability),Valence,-0.0014293467954106175,0.0044059626623640475,-0.3244119174273012,0.7456261984209003,0.7531512854951858,False
RTCV (RT Variability),Valence² (curvature),0.0035400689403657947,0.003096965395401317,1.1430766858494583,0.25300675315514287,0.38784038381043623,False
RTCV (RT Variability),Self/Other,0.0010796490622977106,0.0034330496995335327,0.31448687225367244,0.7531512854951858,0.7531512854951858,False
RTCV (RT Variability),Time (probe dim.),0.004447061860003217,0.00388548942874664,1.1445306805113933,0.25240362166766617,0.38784038381043623,False
RTCV (RT Variability),Time² (curvature),0.003437511953704856,0.0032546264379015232,1.0561924753248337,0.29088028785782716,0.38784038381043623,False
RTCV (RT Variability),Confidence,-0.005960259833277675,0.003303922295314198,-1.8039951610638179,0.07123206553722815,0.18995217476594173,False
RTCV (RT Variability),Time on Task,0.013316367481259443,0.0023426237041666723,5.684381771419152,1.312867073909333e-08,1.0502936591274664e-07,True
