predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,p_fdr,significant_fdr
Intercept,0.03941546834360009,0.009957309927553153,3.9584454667351907,7.543916022802802e-05,0.019899499502692774,0.0589314371845074,,
onoff,-0.02120139292814098,0.00297533713458893,-7.125711127545936,1.0354467867660801e-12,-0.027032946553799887,-0.015369839302482074,8.283574294128641e-12,True
valence,-0.0021441813478181543,0.003228424958994089,-0.6641570967430004,0.5065897696139016,-0.008471777994236769,0.004183415298600461,0.7441172868706163,False
valence_sq,-0.00017785074868676776,0.0022606843458400716,-0.07867119928265719,0.9372941541009842,-0.0046087106469468,0.004253009149573264,0.9737122306915256,False
selfother,0.002708532820944631,0.0025090227298622584,1.0795170520808017,0.2803572963526998,-0.002209061365977765,0.007626127007867026,0.5607145927053996,False
time,-0.0040852045374071624,0.0028240902019799974,-1.4465559685533365,0.14802132588223318,-0.009620319622380405,0.0014499105475660797,0.39472353568595514,False
time_sq,-0.006371705359148085,0.002361300393827441,-2.698388301549454,0.006967611593252341,-0.010999769087730114,-0.0017436416305660549,0.027870446373009363,True
confidence,7.970940026555341e-05,0.0024188964362367306,0.032952795775566014,0.9737122306915256,-0.004661240497090726,0.004820659297621832,0.9737122306915256,False
time_on_task,0.0010027797087185809,0.0017121517831601599,0.5856838853782731,0.5580879651529622,-0.0023529761223413646,0.004358535539778526,0.7441172868706163,False
subject Var,0.6250202557723978,0.1449122089947576,4.31309590895139,1.609842398631134e-05,0.3409975452225317,0.909042966322264,,
