marker,predictor,estimate,std_error,t_value,p_value,p_fdr,significant_fdr
Omission Rate,On/Off Task,-0.487414919251486,0.03779868366122,-12.8950236368034,4.80115907545253e-38,3.840927260362024e-37,True
Omission Rate,Valence,-0.0094411608658861,0.0371843716820613,-0.253901314955951,0.799571798886665,0.799571798886665,False
Omission Rate,Valence² (curvature),0.0188631073979509,0.0259949567692552,0.725644884328515,0.468056497797485,0.6091027583162251,False
Omission Rate,Self/Other,-0.0485884327596575,0.0272639609163708,-1.78214870937855,0.0747249843658747,0.11955997498539953,False
Omission Rate,Time (probe dim.),-0.0872112974512232,0.0299545712718262,-2.91145203380861,0.003597531387228,0.009593417032608,True
Omission Rate,Time² (curvature),-0.117158689221145,0.0246794365666088,-4.74721896121647,2.06232654539486e-06,8.24930618157944e-06,True
Omission Rate,Confidence,0.0165950572057457,0.0266165489248823,0.623486435171615,0.532964913526697,0.6091027583162251,False
Omission Rate,Time on Task,0.0551935941715807,0.0233393423607243,2.36483073595343,0.0180383130395239,0.0360766260790478,True
Commission Rate,On/Off Task,-0.379755987974533,0.0624876516538261,-6.07729652057233,1.22225625893613e-09,9.77805007148904e-09,True
Commission Rate,Valence,-0.2433070701242,0.0694094831201314,-3.50538657236639,0.0004559447351963,0.0018237789407852,True
Commission Rate,Valence² (curvature),0.088591144931623,0.0455047638202651,1.94685429599285,0.0515522053358331,0.08248352853733296,False
Commission Rate,Self/Other,0.0163545776003529,0.0518465914136514,0.315441712838361,0.75242629991891,0.75242629991891,False
Commission Rate,Time (probe dim.),0.029008688330281,0.0564797274295368,0.513612399537017,0.607523008686429,0.6943120099273473,False
Commission Rate,Time² (curvature),0.0789128525965958,0.0459224232935848,1.7183947826991,0.0857246313380597,0.11429950845074627,False
Commission Rate,Confidence,-0.130888818677225,0.046751515827391,-2.79967005049576,0.0051154864729964,0.013641297261323732,True
Commission Rate,Time on Task,0.0875621572383738,0.0382372752005947,2.28996853931192,0.0220231404692538,0.0440462809385076,True
Total Errors,On/Off Task,-0.441711882783745,0.0317090569882436,-13.9301488198628,4.1548886278548503e-44,3.3239109022838802e-43,True
Total Errors,Valence,-0.0617800137450751,0.0321855549813763,-1.91949505860077,0.0549217110572662,0.08787473769162592,False
Total Errors,Valence² (curvature),0.0346285563800025,0.021788273761575,1.58932078598499,0.111987988280731,0.14931731770764134,False
Total Errors,Self/Other,-0.0292014939704279,0.0235036522069337,-1.24242367583253,0.214080284725246,0.2446631825431383,False
Total Errors,Time (probe dim.),-0.0545355662096295,0.0256028845451334,-2.13005554563561,0.0331670278429693,0.0663340556859386,False
Total Errors,Time² (curvature),-0.0704811112516577,0.0209262797730225,-3.36806694816914,0.0007569721226306,0.0030278884905224,True
Total Errors,Confidence,-0.0227410543850418,0.0222819786057864,-1.02060300781082,0.307442563856298,0.307442563856298,False
Total Errors,Time on Task,0.0572329263685387,0.0193309384874607,2.96069052238016,0.0030695020488578,0.008185338796954133,True
RTCV (RT Variability),On/Off Task,-0.0411763322625132,0.0103428276790022,-3.98114843836263,6.8583101335268e-05,0.000274332405341072,True
RTCV (RT Variability),Valence,-0.0140776833118139,0.0112003406078972,-1.25689778593768,0.208790650375979,0.417581300751958,False
RTCV (RT Variability),Valence² (curvature),0.0070276030811455,0.0078258505881484,0.897998626729252,0.369186281594315,0.45190077664574285,False
RTCV (RT Variability),Self/Other,0.0050675999072509,0.0087030941380008,0.582275662758141,0.560381015750679,0.560381015750679,False
RTCV (RT Variability),Time (probe dim.),0.0083866346191021,0.009848482186837,0.851566206852795,0.39445490228995,0.45190077664574285,False
RTCV (RT Variability),Time² (curvature),0.0069764059889057,0.0082090666195202,0.849841560831851,0.395413179565025,0.45190077664574285,False
RTCV (RT Variability),Confidence,-0.0250306601539778,0.0084010628440152,-2.97946350583595,0.0028875362366425,0.007700096631046666,True
RTCV (RT Variability),Time on Task,0.0397058893677416,0.0059121616420879,6.71596816384047,1.86821582861937e-11,1.494572662895496e-10,True
