marker,predictor,estimate__glmm,estimate__sensitivity_gaussian,estimate__sensitivity_olre,estimate__sensitivity_transformed,p_fdr__glmm,p_fdr__sensitivity_gaussian,p_fdr__sensitivity_olre,p_fdr__sensitivity_transformed,significant_fdr__glmm,significant_fdr__sensitivity_gaussian,significant_fdr__sensitivity_olre,significant_fdr__sensitivity_transformed
commission_rate,confidence,-0.099446412417227,-0.012814157446828022,-0.0994463677507748,-0.031845553671184204,0.0581200023569212,0.10380551206009407,0.0567522448083576,0.2768675532089402,False,False,False,False
commission_rate,onoff,-0.404992374990427,-0.05489580740330931,-0.404992187446177,-0.1817666920704102,3.2931460302604805e-10,7.303908487465006e-10,3.200914130562468e-10,2.0140894985067478e-09,True,True,True,True
commission_rate,selfother,0.0086477750482579,-0.0053891180021072285,0.0086475513298555,-0.020291948143871637,0.867473675163174,0.49934842781598276,0.86760555440839,0.4963616053588731,False,False,False,False
commission_rate,time,-0.0108312006462967,-0.004825115264615339,-0.0108311309004185,-0.011758532523509576,0.867473675163174,0.49934842781598276,0.86760555440839,0.6288482380111857,False,False,False,False
commission_rate,time_on_task,0.0775931765081389,0.009567091194898228,0.0775931390928058,0.03241100530623689,0.060432362893918797,0.10380551206009407,0.06101728607172945,0.12377716491370408,False,False,False,False
commission_rate,valence,-0.288694999327076,-0.0344432781679776,-0.288694829626609,-0.1106070963178391,5.324621915624371e-06,0.00017377287673834803,4.63548325207413e-06,0.0004272906907166409,True,True,True,True
omission_rate,confidence,-0.0226734563257286,-0.0009563355565504773,-0.0179726806761696,-0.002785851972652245,0.41944935054313437,0.8233399408258608,0.0,0.9084582340904063,False,False,True,False
omission_rate,onoff,-0.473135943363577,-0.01966291475843706,-0.512241763758563,-0.25088659508550615,5.843605419637321e-35,1.0018434027325543e-10,0.0,3.3512205517618635e-16,True,True,True,True
omission_rate,selfother,-0.0322117233984765,0.0030599071773698477,0.0263941123005899,0.05967968040917733,0.3404894151260745,0.4403086927318878,0.0,0.05886225441798786,False,False,True,False
omission_rate,time,-0.004635396698548,-0.00024417441626094623,-0.0001126024808778,-0.016300350714286357,0.840702601824594,0.9185653607654779,0.748973656780626,0.605730507461658,False,False,False,False
omission_rate,time_on_task,0.0534963313748188,0.0009913078073603809,0.0500643503109524,0.012922996969774997,0.06315398645211241,0.8233399408258608,0.0,0.605730507461658,False,False,True,False
omission_rate,valence,-0.0608451599073997,-0.0036261009589235726,-0.0633202806768017,-0.027734933733534976,0.124491927721679,0.4403086927318878,0.0,0.605730507461658,False,False,True,False
rtcv,confidence,-0.0226853110952278,-0.00479484801758963,,-0.02276294867316153,0.0116543959754798,0.2766315373794,,0.01107654381389358,True,False,,True
rtcv,onoff,-0.0438559756398516,-0.01057645843206547,,-0.04783992807152254,4.50539842435116e-05,0.02411694585348086,,7.2089816601267465e-06,True,True,,True
rtcv,selfother,0.0040541935139821,0.0005591561909732188,,0.006535652563495761,0.639861572842048,0.8700635709512173,,0.4508875575712191,False,False,,False
rtcv,time,0.0047415813062196,0.0027003086031746394,,0.006722353345332222,0.639861572842048,0.6134119416858093,,0.4508875575712191,False,False,,False
rtcv,time_on_task,0.0387572309295651,0.012865602787528565,,0.038633901596606034,1.633960338810816e-10,1.5053933084042506e-07,,2.3829594818433204e-10,True,True,,True
rtcv,valence,-0.0163751670287337,-0.0024055568406789016,,-0.014615831117370092,0.15569587107806102,0.6557160638872449,,0.22343500310449357,False,False,,False
total_errors,confidence,-0.0367494461536975,-0.0020499432340579785,-0.0530114774270156,-0.028847951324726586,0.116115535482681,0.42908867949153207,0.17589899537682152,0.2521704420490079,False,False,False,False
total_errors,onoff,-0.431346447594465,-0.022443588956923673,-0.467196054694491,-0.31735082107005075,1.271254986887208e-41,1.9436892221869867e-15,8.626887929682362e-25,3.63275899727822e-28,True,True,True,True
total_errors,selfother,-0.0250589439259183,0.0024667804550150213,0.0064171530594153,0.04264811334675552,0.3335208492631068,0.42908867949153207,0.918554109143372,0.15797646685384722,False,False,False,False
total_errors,time,-0.0017285244991215,-0.0004913662310547731,-0.0034113626207575,-0.018362614389359027,0.931629467978711,0.8271003498883869,0.918554109143372,0.4292206081759804,False,False,False,False
total_errors,time_on_task,0.0538826052813287,0.0017175145287645353,0.0502486545635554,0.02371730151897366,0.0100171901005672,0.42908867949153207,0.1403542297095584,0.2232683921090233,True,False,False,False
total_errors,valence,-0.104674982384914,-0.006670405013099318,-0.125603717731126,-0.09103692041748865,0.0005595481073937,0.04615107902258122,0.012057855451309201,0.004190602053940344,True,True,True,True
