marker,predictor,estimate,std_error,t_value,p_value,p_fdr,significant_fdr
Omission Rate,On/Off-Task,-0.01966291475843706,0.0029206725240120894,-6.732324352278417,1.669739004554257e-11,1.0018434027325543e-10,True
Omission Rate,Valence,-0.0036261009589235726,0.0029215653660954652,-1.241150035869191,0.21455032838296673,0.4403086927318878,False
Omission Rate,Self/Other,0.0030599071773698477,0.0024956061841599738,1.2261178052817732,0.2201543463659439,0.4403086927318878,False
Omission Rate,Time,-0.00024417441626094623,0.002388223349514584,-0.1022410304758873,0.9185653607654779,0.9185653607654779,False
Omission Rate,Confidence,-0.0009563355565504773,0.002366401707132065,-0.4041306907733336,0.686116617354884,0.8233399408258608,False
Omission Rate,Time on Task,0.0009913078073603809,0.0016907067247011794,0.5863274764791555,0.5576554700970404,0.8233399408258608,False
Commission Rate,On/Off-Task,-0.05489580740330931,0.00852795812309246,-6.437157243380395,1.2173180812441677e-10,7.303908487465006e-10,True
Commission Rate,Valence,-0.0344432781679776,0.008565612309433996,-4.021111033713544,5.792429224611601e-05,0.00017377287673834803,True
Commission Rate,Self/Other,-0.0053891180021072285,0.007308254168839143,-0.7374015568704894,0.46087818898224053,0.49934842781598276,False
Commission Rate,Time,-0.004825115264615339,0.007142865889307349,-0.6755153098756045,0.49934842781598276,0.49934842781598276,False
Commission Rate,Confidence,-0.012814157446828022,0.007052029978892544,-1.8170877726246375,0.06920367470672938,0.10380551206009407,False
Commission Rate,Time on Task,0.009567091194898228,0.005087447073564486,1.8805288893541467,0.06003603293596272,0.10380551206009407,False
Total Errors,On/Off-Task,-0.022443588956923673,0.002749072067560864,-8.164059873787494,3.239482036978311e-16,1.9436892221869867e-15,True
Total Errors,Valence,-0.006670405013099318,0.002752705321613397,-2.4232179742326014,0.015383693007527073,0.04615107902258122,True
Total Errors,Self/Other,0.0024667804550150213,0.0023492397250860692,1.0500335187906997,0.29370270228026174,0.42908867949153207,False
Total Errors,Time,-0.0004913662310547731,0.0022496190887402057,-0.2184219690854152,0.8271003498883869,0.8271003498883869,False
Total Errors,Confidence,-0.0020499432340579785,0.002228204452604902,-0.9199978178220919,0.3575738995762767,0.42908867949153207,False
Total Errors,Time on Task,0.0017175145287645353,0.0015918026308776216,1.078974550894921,0.28059907271368545,0.42908867949153207,False
RTCV (RT Variability),On/Off-Task,-0.01057645843206547,0.00399047163534497,-2.650428169539201,0.008038981951160287,0.02411694585348086,True
RTCV (RT Variability),Valence,-0.0024055568406789016,0.003988532930551209,-0.6031182097690384,0.5464300532393708,0.6557160638872449,False
RTCV (RT Variability),Self/Other,0.0005591561909732188,0.003418290270273574,0.1635777382148615,0.8700635709512173,0.8700635709512173,False
RTCV (RT Variability),Time,0.0027003086031746394,0.003270096189892564,0.8257581570600085,0.4089412944572062,0.6134119416858093,False
RTCV (RT Variability),Confidence,-0.00479484801758963,0.00323518879277775,-1.4820921821606425,0.1383157686897,0.2766315373794,False
RTCV (RT Variability),Time on Task,0.012865602787528565,0.002308706222264399,5.572646126846694,2.5089888473404175e-08,1.5053933084042506e-07,True
Total Errors (legacy sum-of-rates),On/Off-Task,-0.07507450725923706,0.009006530407328513,-8.33556362593855,7.712988648659629e-17,4.627793189195778e-16,True
Total Errors (legacy sum-of-rates),Valence,-0.03760732993566788,0.009068612161390195,-4.146977427900365,3.368932610630093e-05,0.00010106797831890279,True
Total Errors (legacy sum-of-rates),Self/Other,-0.0028163261372104276,0.007715117830541245,-0.3650399383482717,0.7150815938038472,0.7150815938038472,False
Total Errors (legacy sum-of-rates),Time,-0.005287020194812595,0.0075091050631680345,-0.7040812653887734,0.481382166490569,0.5776585997886827,False
Total Errors (legacy sum-of-rates),Confidence,-0.013986973103302514,0.007410214075941523,-1.8875261847985632,0.0590895878445455,0.08863438176681826,False
Total Errors (legacy sum-of-rates),Time on Task,0.010425911117686228,0.005327970916905802,1.9568258311254139,0.05036794899376695,0.08863438176681826,False
