marker,predictor,estimate,std_error,t_value,p_value,p_fdr,significant_fdr
Omission Rate,On/Off Task,-0.53737237311365,0.0659613788917141,-8.1467728865376,3.73764715186659e-16,2.990117721493272e-15,True
Omission Rate,Valence,0.0110214922118873,0.07105021656902,0.155122570262411,0.876724689061265,0.876724689061265,False
Omission Rate,Valence² (curvature),0.0726448790870018,0.0486510636498787,1.49318172383232,0.135389624782534,0.34144306034074556,False
Omission Rate,Self/Other,0.0397325621489461,0.0529159965193574,0.750861077224756,0.452736267072712,0.6036483560969493,False
Omission Rate,Time (probe dim.),-0.074591476354377,0.0589306112071761,-1.26575093701546,0.205602265581926,0.34144306034074556,False
Omission Rate,Time² (curvature),-0.100873758001987,0.0484818002445717,-2.08065206929442,0.0374657642162203,0.1498630568648812,False
Omission Rate,Confidence,-0.0176649229416035,0.0522039600870513,-0.338382814486618,0.735074723161177,0.8400853978984879,False
Omission Rate,Time on Task,0.052859729551881,0.0424826816895046,1.24426536766722,0.213401912712966,0.34144306034074556,False
Commission Rate,On/Off Task,-0.379756288230706,0.0624361766855702,-6.08231170436919,1.18461980043748e-09,9.47695840349984e-09,True
Commission Rate,Valence,-0.243306544664435,0.0694667046420191,-3.50249153055785,0.00046092843715,0.0018437137486,True
Commission Rate,Valence² (curvature),0.0885912494142524,0.0455272327450532,1.94589576551582,0.0516672617116217,0.08266761873859471,False
Commission Rate,Self/Other,0.0163543893644954,0.0519145074583122,0.315025417078802,0.752742355633089,0.752742355633089,False
Commission Rate,Time (probe dim.),0.0290084373354078,0.0561771584610579,0.516374236968866,0.605593055881323,0.6921063495786548,False
Commission Rate,Time² (curvature),0.0789127788006836,0.0457838893676484,1.72359272859078,0.0847813921388797,0.11304185618517293,False
Commission Rate,Confidence,-0.130888695139402,0.0466407475277276,-2.80631640952131,0.0050111459079729,0.0133630557545944,True
Commission Rate,Time on Task,0.087561953266097,0.0383208739819082,2.28496754294894,0.0223147309872745,0.044629461974549,True
Total Errors,On/Off Task,-0.473332036124505,0.0452420127914405,-10.4622232062597,1.28797561422461e-25,1.030380491379688e-24,True
Total Errors,Valence,-0.0671799785561149,0.0492681061721397,-1.36355918210845,0.172706346109267,0.23027512814568932,False
Total Errors,Valence² (curvature),0.0744799850717506,0.0332778861279013,2.23812248126253,0.0252130689855182,0.0877521714892272,False
Total Errors,Self/Other,0.0122812760107529,0.0365959865554825,0.335590789228581,0.73717947072665,0.73717947072665,False
Total Errors,Time (probe dim.),-0.0497467420305167,0.0406554768447091,-1.22361723170862,0.221096656050351,0.25268189262897256,False
Total Errors,Time² (curvature),-0.0555820944197296,0.0333076264490108,-1.66874978332118,0.0951669784912594,0.15615025816711986,False
Total Errors,Confidence,-0.0579624366317387,0.0349881197731506,-1.65663193699875,0.0975939113544499,0.15615025816711986,False
Total Errors,Time on Task,0.0598949795021677,0.0280773244203282,2.13321535220084,0.0329070643084602,0.0877521714892272,False
