predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,p_fdr,significant_fdr
Intercept,-1.1266465270080321,0.05828541293545585,-19.329819765636024,3.0146918727439576e-83,-1.2408838371855706,-1.0124092168304937,,
onoff,-0.16386540647370673,0.02926237452839876,-5.599867034531919,2.145162813989342e-08,-0.22121860665149054,-0.10651220629592292,1.7161302511914736e-07,True
valence,-0.09778793858842116,0.03179696144650334,-3.075386267739578,0.0021023009056338935,-0.16010883784137633,-0.035467039335465994,0.008409203622535574,True
valence_sq,0.06027301391133817,0.022767616721265493,2.6473132717067287,0.008113415343618391,0.015649305123845894,0.10489672269883045,0.021635774249649044,True
selfother,-0.009262771549584872,0.024890883887725875,-0.3721350993948634,0.7097922644364076,-0.05804800751289591,0.039522464413726165,0.7504016386351449,False
time,0.008908868071262793,0.02800563719357598,0.3181098151662957,0.7504016386351449,-0.04598117219224152,0.0637989083347671,0.7504016386351449,False
time_sq,0.051245263562767825,0.023496878961467783,2.180939164167473,0.02918791646454322,0.005192227049194059,0.09729830007634159,0.04326036161122659,True
confidence,-0.052406812720335455,0.024501971748737805,-2.138881444226428,0.03244527120841994,-0.10042979489807943,-0.00438383054259147,0.04326036161122659,True
time_on_task,0.03894658830692605,0.017521843779763038,2.2227448661485987,0.026233008689650276,0.0046044055558533276,0.07328877105799878,0.04326036161122659,True
subject Var,0.19029980441580088,0.046673717616405874,4.077236914783712,4.55740501846838e-05,0.0988209988630527,0.2817786099685491,,
