marker,moderator,interaction_term,estimate,std_error,t_value,p_value,n_obs,n_subjects,converged,p_fdr,significant_fdr,marker_label,moderator_label
omission_rate,valence,onoff:valence,-0.03436513686043276,0.022765997140871828,-1.5094940339220626,0.13117257879389654,2460,42,True,0.2914946195419923,False,Omission Rate,Valence
omission_rate,selfother,onoff:selfother,-0.004811007767720808,0.021158904925425707,-0.2273750831943876,0.8201320936407094,2460,42,True,0.9348726350702747,False,Omission Rate,Self/Other
omission_rate,time,onoff:time,-0.07823052505092046,0.02220514944125515,-3.523080322331686,0.0004265620641747086,2460,42,True,0.002843747094498057,True,Omission Rate,Time
omission_rate,confidence,onoff:confidence,-0.009558651975189713,0.022716540504775284,-0.42077938642023294,0.6739161853982967,2460,42,True,0.8733965975051505,False,Omission Rate,Confidence
omission_rate,time_on_task,onoff:time_on_task,-0.07992491250210818,0.017443579818816425,-4.5819099824849605,4.60748235076686e-06,2460,42,True,9.214964701533718e-05,True,Omission Rate,Time on Task
commission_rate,valence,onoff:valence,0.034773217659390857,0.022160734256273847,1.5691365302819935,0.11661612943694316,2460,42,True,0.2914946195419923,False,Commission Rate,Valence
commission_rate,selfother,onoff:selfother,0.038016822995521025,0.020527981376859007,1.8519513583725782,0.06403280802299033,2460,42,True,0.18295088006568666,False,Commission Rate,Self/Other
commission_rate,time,onoff:time,-0.00238379848644082,0.021384474935533956,-0.11147332322290185,0.9112410187207944,2460,42,True,0.9348726350702747,False,Commission Rate,Time
commission_rate,confidence,onoff:confidence,0.0018477594241220958,0.022611994076516373,0.08171589899897778,0.9348726350702747,2460,42,True,0.9348726350702747,False,Commission Rate,Confidence
commission_rate,time_on_task,onoff:time_on_task,-0.010844647182911567,0.017690328135276774,-0.6130269093927068,0.5398585469675891,2460,42,True,0.7712264956679844,False,Commission Rate,Time on Task
total_errors,valence,onoff:valence,-0.024537184844727587,0.021637626757803233,-1.1340053657168607,0.2567922972709086,2460,42,True,0.4668950859471065,False,Total Errors,Valence
total_errors,selfother,onoff:selfother,-0.0017711907505366484,0.02013136998737073,-0.08798163024413104,0.9298912764580378,2460,42,True,0.9348726350702747,False,Total Errors,Self/Other
total_errors,time,onoff:time,-0.06509102475763626,0.021145055034034903,-3.0783095457952836,0.00208178550142334,2460,42,True,0.0104089275071167,True,Total Errors,Time
total_errors,confidence,onoff:confidence,-0.00836994302403059,0.021624821346870434,-0.3870525859970582,0.6987172780041204,2460,42,True,0.8733965975051505,False,Total Errors,Confidence
total_errors,time_on_task,onoff:time_on_task,-0.07085402854713124,0.01662583003653217,-4.261683680841359,2.0289249232566343e-05,2460,42,True,0.00020289249232566343,True,Total Errors,Time on Task
rtcv,valence,onoff:valence,-0.022427168468237096,0.00780589136503132,-2.8731079411002165,0.0040645521764757775,2445,42,True,0.01625820870590311,True,RTCV (RT Variability),Valence
rtcv,selfother,onoff:selfother,-0.013628416515230715,0.007224308583886409,-1.8864665534399325,0.05923211142606501,2445,42,True,0.18295088006568666,False,RTCV (RT Variability),Self/Other
rtcv,time,onoff:time,-0.0071750281413376265,0.007705852752225279,-0.9311140988601992,0.35179454629636375,2445,42,True,0.5412223789174827,False,RTCV (RT Variability),Time
rtcv,confidence,onoff:confidence,-0.008214232910548873,0.007781787632456118,-1.0555714571661041,0.2911640469492378,2445,42,True,0.48527341158206305,False,RTCV (RT Variability),Confidence
rtcv,time_on_task,onoff:time_on_task,-0.00794594297729227,0.005919457075334079,-1.3423432041432317,0.17948474100024558,2445,42,True,0.35896948200049117,False,RTCV (RT Variability),Time on Task
