predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,p_fdr,significant_fdr
Intercept,-3.34472263468545,0.10800541340244932,-30.968101776735566,1.4497869665448767e-210,-3.55640935508961,-3.13303591428129,,
onoff,-0.26850148217106484,0.03048646501973514,-8.807235669903113,1.282698269969442e-18,-0.32825385562568593,-0.20874910871644378,1.0261586159755536e-17,True
valence,-0.003485833717426843,0.03309531002765009,-0.10532712080698257,0.9161162433712742,-0.06835144942880833,0.06137978199395464,0.9161162433712742,False
valence_sq,0.009631689215291273,0.023135792803036147,0.4163111805715727,0.6771823122568066,-0.035713631432440565,0.054977009863023105,0.8620951797622723,False
selfother,0.05671913756040694,0.025691195958652685,2.2077266333451546,0.02726333508020797,0.006365318761686688,0.1070729563591272,0.05452667016041594,False
time,-0.06546946283552696,0.02888795664686041,-2.2663237706929436,0.02343156705555071,-0.12208881745032782,-0.008850108220726093,0.05452667016041594,False
time_sq,-0.07914298622523853,0.024149430930574946,-3.2772195110004736,0.0010483483240090025,-0.12647500109630302,-0.03181097135417404,0.00419339329603601,True
confidence,0.007742640347792344,0.024742345036836515,0.3129307402457231,0.7543332822919883,-0.04075146481747058,0.05623674551305527,0.8620951797622723,False
time_on_task,0.01453655641319613,0.017502284177901787,0.8305519591294171,0.4062267835447195,-0.0197672902226766,0.04884040304906886,0.6499628536715513,False
subject Var,0.7064343004734894,0.1631691025189473,4.329461212740677,1.4947459344127259e-05,0.3866287361466289,1.02623986480035,,
