predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,p_fdr,significant_fdr
Intercept,0.2136309052079509,0.0238935202866859,8.94095565009697,3.858192061190104e-19,0.16680046598216938,0.26046134443373237,,
onoff,-0.0854514501062548,0.015738303456188606,-5.429521062681863,5.650548437811781e-08,-0.11629795805814672,-0.05460494215436287,4.5204387502494246e-07,True
valence,-0.02873994498213773,0.016836629809410062,-1.7069891841462745,0.08782406274057854,-0.06173913302961492,0.004259243065339466,0.2189393759577231,False
valence_sq,0.01778592299911016,0.011955531304292584,1.4876731570034194,0.13683710997357693,-0.005646487773344484,0.0412183337715648,0.2189393759577231,False
selfother,-0.01272504414162289,0.012942312967354005,-0.9832125195643808,0.32550285432543835,-0.03809151143428246,0.012641423151036677,0.37200326208621526,False
time,-0.0036084499529844233,0.015080783065349962,-0.2392747072448314,0.8108925765407446,-0.033166241619731904,0.025949341713763056,0.8108925765407446,False
time_sq,0.012769367368295263,0.012572253039769733,1.0156785206201306,0.3097824997238213,-0.01187179579417763,0.037410530530768156,0.37200326208621526,False
confidence,-0.023958612451864397,0.013375227807801772,-1.791267617729048,0.0732503599694561,-0.05017357724017449,0.002256352336445694,0.2189393759577231,False
time_on_task,0.014570807668684694,0.009521515094691532,1.5303034783622054,0.12594162770869732,-0.00409101899516519,0.03323263433253458,0.2189393759577231,False
subject Var,0.1539906187191617,0.04447903220692581,3.462094633776314,0.0005359886562583756,0.06681331752638998,0.24116791991193343,,
