marker,predictor,estimate,std_error,t_value,p_value,p_fdr,significant_fdr
Omission Rate,On/Off Task,-0.613157018893355,0.0649901766308199,-9.43461074704298,3.9244867151022004e-21,3.1395893720817603e-20,True
Omission Rate,Valence,0.0288644876708475,0.0627745134722442,0.459812208399034,0.645651019486715,0.702286189007826,False
Omission Rate,Valence² (curvature),0.10912763971339,0.0423640327980636,2.57595022252882,0.0099965036297845,0.039986014519138,True
Omission Rate,Self/Other,-0.0562933035016171,0.0454953975624258,-1.23734062163926,0.215960653011311,0.28794753734841466,False
Omission Rate,Time (probe dim.),-0.0192446140116187,0.0503474424930878,-0.382236178416824,0.702286189007826,0.702286189007826,False
Omission Rate,Time² (curvature),-0.0926903955851789,0.0414646938533389,-2.23540528028558,0.0253907537735166,0.0666687340113848,False
Omission Rate,Confidence,-0.0775018443541309,0.0426302346800847,-1.81800182278464,0.0690638541823718,0.11050216669179488,False
Omission Rate,Time on Task,0.0839163977098591,0.0394337902369631,2.12803276595006,0.0333343670056924,0.0666687340113848,False
Commission Rate,On/Off Task,-0.443548501002258,0.119520394454549,-3.71106958796835,0.0002063853533511,0.0016510828268088,True
Commission Rate,Valence,-0.211823113937654,0.126925722279389,-1.66887459951883,0.0951422344718503,0.2970005268142336,False
Commission Rate,Valence² (curvature),0.0709498974027388,0.0837067238686947,0.847600934830914,0.396660253558492,0.5288803380779893,False
Commission Rate,Self/Other,-0.06367582085885,0.095199076651642,-0.66887015188032,0.503578311832909,0.5755180706661818,False
Commission Rate,Time (probe dim.),0.0277274075251571,0.107795861862703,0.257221446593868,0.797007828881604,0.797007828881604,False
Commission Rate,Time² (curvature),0.121856938065754,0.0862393713839492,1.41300818999747,0.157653316015374,0.2970005268142336,False
Commission Rate,Confidence,-0.135591943268876,0.092696888209733,-1.46274536165756,0.143537068798795,0.2970005268142336,False
Commission Rate,Time on Task,0.0971946171942118,0.0734302475266397,1.32363188832981,0.185625329258896,0.2970005268142336,False
Total Errors,On/Off Task,-0.588859079063411,0.0564214225820724,-10.4367995721277,1.68392368494529e-25,1.347138947956232e-24,True
Total Errors,Valence,-0.0173354183859217,0.0559791727181206,-0.309676216067234,0.756807191078079,0.859048852481339,False
Total Errors,Valence² (curvature),0.0943543644684131,0.0369818628244316,2.55136862402937,0.0107300769336659,0.0319193078621584,True
Total Errors,Self/Other,-0.0556420438912303,0.0404057616945015,-1.37708191994812,0.16848692187182,0.23002581012591602,False
Total Errors,Time (probe dim.),-0.0078993639232791,0.0444821404805762,-0.177585067578493,0.859048852481339,0.859048852481339,False
Total Errors,Time² (curvature),-0.0493835435442023,0.0362008782840233,-1.36415318868098,0.172519357594437,0.23002581012591602,False
Total Errors,Confidence,-0.0945803635489753,0.0376359093694355,-2.51303516066454,0.0119697404483094,0.0319193078621584,True
Total Errors,Time on Task,0.079910283476146,0.033704526787232,2.37090655449931,0.0177445167095891,0.0354890334191782,True
RTCV (RT Variability),On/Off Task,-0.0798152081482182,0.015515321347238,-5.14428327727976,2.68544061803604e-07,1.074176247214416e-06,True
RTCV (RT Variability),Valence,-0.011300834690954,0.0170593065437688,-0.662443966403887,0.507686734405867,0.654051802220848,False
RTCV (RT Variability),Valence² (curvature),0.0162640905838256,0.0120329252585569,1.3516323117074,0.17649296841582,0.35298593683164,False
RTCV (RT Variability),Self/Other,0.0100314452754048,0.0132451441534474,0.757367768835785,0.448829560419221,0.654051802220848,False
RTCV (RT Variability),Time (probe dim.),0.0022040043147016,0.0147881803595271,0.149038236018113,0.881523461902701,0.881523461902701,False
RTCV (RT Variability),Time² (curvature),0.0069554629654342,0.012317654850088,0.564674286630509,0.572295326943242,0.654051802220848,False
RTCV (RT Variability),Confidence,-0.0201829966286494,0.0127961902997787,-1.57726605777334,0.114734318917025,0.30595818377873335,False
RTCV (RT Variability),Time on Task,0.0527927725266203,0.009129197682666,5.78284909164142,7.34459453588826e-09,5.875675628710608e-08,True
