marker,predictor,estimate,std_error,t_value,p_value,p_fdr,significant_fdr
Omission Rate,On/Off Task,-0.0024682558912228424,0.0005339095870508314,-4.6229847732399865,3.782574984580779e-06,2.2695449907484676e-05,True
Omission Rate,Valence,0.00019637285372821906,0.0010698047225563103,0.18355953155542623,0.8543590127299575,0.8543590127299575,False
Omission Rate,Self/Other,-0.00023295941708633986,0.0006357492563957107,-0.36643285814767584,0.7140421049143391,0.8543590127299575,False
Omission Rate,Time (probe dim.),0.0018231246061833706,0.0010643088439545717,1.7129657585192326,0.08671883922489801,0.17343767844979602,False
Omission Rate,Confidence,-0.0011708998552772093,0.001154755952191359,-1.0139803592743681,0.3105921242872465,0.4658881864308697,False
Omission Rate,Time on Task,0.0030847181183400823,0.0011229336237733318,2.7470173241181204,0.006013995771608488,0.018041987314825467,True
Commission Rate,On/Off Task,-0.0018704351092983143,0.0007919483416110668,-2.3618145414551575,0.01818573731450812,0.06743736080378489,False
Commission Rate,Valence,-0.0007410280850874854,0.0013062806683612213,-0.5672809090998286,0.5705233453854937,0.6846280144625924,False
Commission Rate,Self/Other,-0.0010182879574785469,0.0007860077620749676,-1.295518958731892,0.19514126551967215,0.3902825310393443,False
Commission Rate,Time (probe dim.),-0.0004003508001297216,0.0013493215118932527,-0.29670526749994786,0.7666915351621113,0.7666915351621113,False
Commission Rate,Confidence,-0.0011995133646318362,0.0014750792438006511,-0.8131857116646838,0.41611159022360555,0.6241673853354084,False
Commission Rate,Time on Task,0.0031946384510396168,0.0013998230003105401,2.282173139268972,0.022479120267928292,0.06743736080378489,False
Total Errors,On/Off Task,-0.0025256388438840917,0.0007549299040194061,-3.345527618441206,0.000821261796929113,0.004927570781574678,True
Total Errors,Valence,-0.0005517378043388923,0.001337354794192723,-0.4125590357433471,0.6799297192704545,0.7978005085250722,False
Total Errors,Self/Other,-0.0010954750642322164,0.0008045303192103403,-1.3616330398926957,0.17331372277091728,0.34662744554183456,False
Total Errors,Time (probe dim.),-0.0003538749866953359,0.0013812736967564923,-0.2561946901083437,0.7978005085250722,0.7978005085250722,False
Total Errors,Confidence,-0.0013804701205199406,0.001506527385051873,-0.9163259388560056,0.3594959671206023,0.5392439506809035,False
Total Errors,Time on Task,0.003941736502141437,0.0014295646988375997,2.7572984317159777,0.005828113340010982,0.01748434002003295,True
RTCV (RT Variability),On/Off Task,-0.0019049147797673793,0.0006296307359065,-3.025447569716893,0.0024826544411144153,0.007447963323343246,True
RTCV (RT Variability),Valence,-9.987254254754511e-05,0.0011052558007714323,-0.090361473314899,0.9279999712456686,0.9279999712456686,False
RTCV (RT Variability),Self/Other,-0.00015660162046606348,0.0006608575839017654,-0.23696727446399687,0.8126821784377074,0.9279999712456686,False
RTCV (RT Variability),Time (probe dim.),0.0002247099492867162,0.0011139913806403117,0.20171605740571802,0.8401387086447486,0.9279999712456686,False
RTCV (RT Variability),Confidence,-0.0006422604315990235,0.001202866420012308,-0.5339416089048789,0.5933819332547732,0.9279999712456686,False
RTCV (RT Variability),Time on Task,0.00750896251500095,0.001162589254391017,6.458826697941799,1.0551786355829514e-10,6.331071813497708e-10,True
