marker,predictor,estimate__glmm,estimate__sensitivity_gaussian,estimate__sensitivity_olre,estimate__sensitivity_transformed,p_fdr__glmm,p_fdr__sensitivity_gaussian,p_fdr__sensitivity_olre,p_fdr__sensitivity_transformed,significant_fdr__glmm,significant_fdr__sensitivity_gaussian,significant_fdr__sensitivity_olre,significant_fdr__sensitivity_transformed
commission_rate,confidence,-0.105516513074219,-0.011269682447963265,-0.105506957580543,-0.02476202325341183,0.36718493754671555,0.44649632297306036,0.35430797821900656,0.4464963229736575,False,False,False,False
commission_rate,onoff,-0.484272796515192,-0.0624213597237732,-0.484254814103758,-0.13715374573578096,0.00026968872961208285,0.00015515870774114888,0.0001696535904468942,0.00015515870774142386,True,True,True,True
commission_rate,selfother,-0.0732071908505369,-0.013228415371354513,-0.0732144851530539,-0.02906579937316094,0.5320585380853332,0.4231507090988663,0.5324848386353076,0.42315070909855557,False,False,False,False
commission_rate,time,-0.0384711514055946,-0.008340429321788924,-0.0384636723872406,-0.018325796291335968,0.676827464556138,0.5090884594428584,0.672868087496241,0.5090884594436226,False,False,False,False
commission_rate,time_on_task,0.0899353743343204,0.01077536739175985,0.089938557355982,0.023675902063013322,0.36718493754671555,0.4231507090988663,0.35430797821900656,0.42315070909855557,False,False,False,False
commission_rate,valence,-0.221372835572739,-0.031127142312926608,-0.221364583297508,-0.06839332211217704,0.1372429199524257,0.09903004154604483,0.1318438053571035,0.09903004154617974,False,False,False,False
omission_rate,confidence,-0.0804093344102029,-0.003797644804331922,-0.13419551157062,-0.035262346295236474,0.0953982084793392,0.37222335411587026,0.1071345089777298,0.17944494150219334,False,False,False,False
omission_rate,onoff,-0.59995466087356,-0.02618512803405806,-0.688219034278364,-0.1961913587966866,1.532169180219852e-19,1.2054615210529477e-13,6.96820851409278e-13,1.239447550710116e-16,True,True,True,True
omission_rate,selfother,-0.0600224236587781,0.0028406612416528093,-0.0421359594956734,0.029777047053898827,0.21291968699259,0.37222335411587026,0.62059230618567,0.19751291201574958,False,False,False,False
omission_rate,time,0.060217891610758,0.0025022858834687577,0.080381583853772,0.012947141456105562,0.188641830238437,0.37222335411587026,0.31816942982594104,0.4933279911758923,False,False,False,False
omission_rate,time_on_task,0.0777843473980367,0.0022252662312659504,0.116082065462214,0.020872058740470913,0.0953982084793392,0.37222335411587026,0.1071345089777298,0.19751291201574958,False,False,False,False
omission_rate,valence,-0.0621065612815161,-0.004173314767157061,-0.0440034768071996,-0.01934496395538112,0.261223308380623,0.37222335411587026,0.62059230618567,0.48386791291207515,False,False,False,False
rtcv,confidence,-0.0164240627956119,-0.002334286444314238,,-0.017162887293210662,0.3526599849492825,0.893434320933658,,0.3503231523177075,False,False,,False
rtcv,onoff,-0.0827347778379892,-0.018533471803868135,,-0.07529181603923037,1.970069909886882e-07,0.00017788189731826208,,4.866386592059776e-06,True,True,,True
rtcv,selfother,0.0076181316711615,0.001302959618462987,,0.010140807605110344,0.6755459273396339,0.893434320933658,,0.5015913654570354,False,False,,False
rtcv,time,-0.000243230749096,0.0005249909854310648,,-0.008612667892464836,0.984597682537596,0.893434320933658,,0.5015913654570354,False,False,,False
rtcv,time_on_task,0.0506294532470329,0.0113689024751631,,0.03998136180672649,1.0538514281601721e-07,0.00017788189731826208,,3.525154970867823e-05,True,True,,True
rtcv,valence,-0.018225427545434,-0.0014525745378600322,,-0.01324994089380467,0.3526599849492825,0.893434320933658,,0.5015913654570354,False,False,,False
total_errors,confidence,-0.0854201210726012,-0.004494660125566841,-0.123895760809186,-0.04658483449144712,0.048928874018549104,0.19090870527511716,0.0,0.04622724229158933,True,False,True,True
total_errors,onoff,-0.58081497864918,-0.029828468304587533,-0.628187481245031,-0.2418479499928024,2.8418168751909544e-24,1.4618242802839776e-18,0.0,9.905373721577486e-24,True,True,True,True
total_errors,selfother,-0.0650701950775893,0.0021408730790654033,-0.0622391614754382,0.020401365178305906,0.12145931478932159,0.5408726241287067,0.0,0.3764689696446041,False,False,True,False
total_errors,time,0.0404699937305321,0.0012640390765304218,0.0375240870742281,0.0012649174907741329,0.25129553621301,0.642338516930695,0.0,0.9480302145304118,False,False,True,False
total_errors,time_on_task,0.0724588413694402,0.0024878276857770187,0.10027697671368,0.025129658427404725,0.0615368669075962,0.29537438458007476,0.0,0.10116188847706514,False,False,True,False
total_errors,valence,-0.0905145139758746,-0.006640311830699083,-0.106650005282336,-0.04953703209875329,0.09531651066774106,0.1382611255059112,0.0,0.07447618750723206,False,False,True,False
