marker,moderator,interaction_term,estimate,std_error,t_value,p_value,n_obs,n_subjects,converged,p_fdr,significant_fdr,marker_label,moderator_label
omission_rate,valence,onoff:valence,5.3627833556777665e-05,2.4925769120185244e-05,2.1515016567071177,0.031436625196269,2460,42,True,0.20957750130845998,False,Omission Rate,Valence
omission_rate,selfother,onoff:selfother,-3.1697898279652734e-06,1.7177775527314444e-05,-0.18452853938654507,0.8535988403680365,2460,42,True,0.9464702924620546,False,Omission Rate,Self/Other
omission_rate,time,onoff:time,-3.2039622380394092e-06,2.527995227387541e-05,-0.12673925185176954,0.8991467778389518,2460,42,True,0.9464702924620546,False,Omission Rate,Time (probe dim.)
omission_rate,confidence,onoff:confidence,7.6871703682359e-05,3.5018767531991843e-05,2.1951573142067855,0.028152315063598214,2460,42,True,0.20957750130845998,False,Omission Rate,Confidence
omission_rate,time_on_task,onoff:time_on_task,-0.00011783966638639254,3.458678103074427e-05,-3.4070723806775947,0.0006566371134220675,2460,42,True,0.013132742268441348,True,Omission Rate,Time on Task
commission_rate,valence,onoff:valence,4.103986296454134e-05,3.105150149478917e-05,1.3216708045963041,0.18627779458647253,1613,42,True,0.39017298207156625,False,Commission Rate,Valence
commission_rate,selfother,onoff:selfother,2.7773813982627266e-05,2.1435740140841313e-05,1.2956778632387915,0.19508649103578313,1613,42,True,0.39017298207156625,False,Commission Rate,Self/Other
commission_rate,time,onoff:time,4.816873132864034e-05,3.1380828348985685e-05,1.534973226103424,0.12479040481059687,1613,42,True,0.3565440137445625,False,Commission Rate,Time (probe dim.)
commission_rate,confidence,onoff:confidence,4.2567457218832396e-05,4.3459122547703923e-05,0.9794826660871312,0.32734154922751735,1613,42,True,0.545569248712529,False,Commission Rate,Confidence
commission_rate,time_on_task,onoff:time_on_task,2.9121270715794472e-05,4.3523770122433255e-05,0.6690888825548831,0.5034387813593985,1613,42,True,0.702817638941125,False,Commission Rate,Time on Task
total_errors,valence,onoff:valence,4.9788133520926905e-05,3.179404606307693e-05,1.5659577715321635,0.11735850353771038,1613,42,True,0.3565440137445625,False,Total Errors,Valence
total_errors,selfother,onoff:selfother,3.4674659416859726e-05,2.190049372103605e-05,1.5832820875427902,0.11335718376035593,1613,42,True,0.3565440137445625,False,Total Errors,Self/Other
total_errors,time,onoff:time,3.712187314020259e-05,3.214042947101312e-05,1.1549899535002213,0.24809454059217828,1613,42,True,0.4510809828948696,False,Total Errors,Time (probe dim.)
total_errors,confidence,onoff:confidence,5.795420895293341e-05,4.448335825959332e-05,1.3028289953903145,0.19263314931295117,1613,42,True,0.39017298207156625,False,Total Errors,Confidence
total_errors,time_on_task,onoff:time_on_task,-1.2678557986136604e-08,4.4542701663061436e-05,-0.00028463827995980613,0.9997728915140732,1613,42,True,0.9997728915140732,False,Total Errors,Time on Task
rtcv,valence,onoff:valence,1.6574396413793654e-05,2.620794239767998e-05,0.6324188355687503,0.5271132292058438,2444,42,True,0.702817638941125,False,RTCV (RT Variability),Valence
rtcv,selfother,onoff:selfother,-3.6190223136070727e-06,1.793191510409068e-05,-0.2018201788598414,0.840057305695326,2444,42,True,0.9464702924620546,False,RTCV (RT Variability),Self/Other
rtcv,time,onoff:time,2.3314676147661915e-05,2.6463843846244122e-05,0.8810011230084721,0.3783172121611076,2444,42,True,0.5820264802478579,False,RTCV (RT Variability),Time (probe dim.)
rtcv,confidence,onoff:confidence,6.489453945281488e-05,3.650195770182793e-05,1.7778372322634386,0.07543059154649386,2444,42,True,0.3565440137445625,False,RTCV (RT Variability),Confidence
rtcv,time_on_task,onoff:time_on_task,-1.1751278984523352e-05,3.584483774633393e-05,-0.327837416023043,0.7430345954347579,2444,42,True,0.9287932442934473,False,RTCV (RT Variability),Time on Task
