predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,p_fdr,significant_fdr
Intercept,0.042409740814674544,0.010960745059091807,3.869238868893878,0.00010917564136486852,0.020927075255129258,0.06389240637421983,,
onoff,-0.02769657489838176,0.0034869977384366225,-7.9428141272037,1.976450092943281e-15,-0.03453096487989016,-0.02086218491687336,1.5811600743546248e-14,True
valence,-0.000920909498275848,0.003785013439889134,-0.24330415542799821,0.8077697855361073,-0.008339399521458611,0.006497580524906916,0.8077697855361073,False
valence_sq,0.0027084822907029555,0.0026535605759991023,1.020697366097691,0.3073978428046661,-0.002492400869050646,0.007909365450456557,0.46378461785322883,False
selfother,0.0027629622434785367,0.0029431093307615685,0.938790215708223,0.34783846338992164,-0.0030054260473779187,0.008531350534334993,0.46378461785322883,False
time,-0.0024691290638883014,0.003312151307287566,-0.7454759263127854,0.45598405912389606,-0.008960826337519188,0.004022568209742586,0.5211246389987384,False
time_sq,-0.0077232054392225805,0.0027713348649140487,-2.7868178389413476,0.0053228390834267015,-0.013154921963554292,-0.002291488914890869,0.021291356333706806,True
confidence,-0.0031151712531852804,0.002840554977728278,-1.0966769795375078,0.2727826231196764,-0.00868255670563868,0.00245221419926812,0.46378461785322883,False
time_on_task,0.0026051584201494584,0.002012125107966988,1.294729840522521,0.19541344213892642,-0.0013385343238546052,0.006548851164153522,0.46378461785322883,False
subject Var,0.5457099106687876,0.12721404006780584,4.289698765780263,1.7891562592248086e-05,0.2963749738080528,0.7950448475295224,,
