marker,predictor,estimate,std_error,t_value,p_value,p_fdr,significant_fdr
Omission Rate,On/Off-Task,-0.688219034278364,0.0927379327826062,-7.42111683567143,1.16136808568213e-13,6.96820851409278e-13,True
Omission Rate,Valence,-0.0440034768071996,0.088893924698291,-0.495011070290224,0.62059230618567,0.62059230618567,False
Omission Rate,Self/Other,-0.0421359594956734,0.0715000449400043,-0.589313748418335,0.555650823800838,0.62059230618567,False
Omission Rate,Time,0.080381583853772,0.0644198622359493,1.24777640100129,0.212112953217294,0.31816942982594104,False
Omission Rate,Confidence,-0.13419551157062,0.0667124504265217,-2.01155122788399,0.0442672650487838,0.1071345089777298,False
Omission Rate,Time on Task,0.116082065462214,0.0601361907396171,1.93031956355262,0.0535672544888649,0.1071345089777298,False
Commission Rate,On/Off-Task,-0.484254814103758,0.115658750661079,-4.18692758944628,2.82755984078157e-05,0.0001696535904468942,True
Commission Rate,Valence,-0.221364583297508,0.109880872566085,-2.01458705348717,0.0439479351190345,0.1318438053571035,False
Commission Rate,Self/Other,-0.0732144851530539,0.0955930744155003,-0.765897379080238,0.443737365529423,0.5324848386353076,False
Commission Rate,Time,-0.0384636723872406,0.0910997278614008,-0.422215008652488,0.672868087496241,0.672868087496241,False
Commission Rate,Confidence,-0.105506957580543,0.0890711132793928,-1.184524967703,0.236205318812671,0.35430797821900656,False
Commission Rate,Time on Task,0.089938557355982,0.073047794976515,1.23122891505346,0.218237259749867,0.35430797821900656,False
Total Errors,On/Off-Task,-0.628187481245031,0.0004139912527118,-1517.39312637665,0.0,0.0,True
Total Errors,Valence,-0.106650005282336,0.0004137020636169,-257.794230828587,0.0,0.0,True
Total Errors,Self/Other,-0.0622391614754382,0.0004136775184265,-150.453333099089,0.0,0.0,True
Total Errors,Time,0.0375240870742281,0.0004135525694629,90.7359543744626,0.0,0.0,True
Total Errors,Confidence,-0.123895760809186,0.0004137005185521,-299.481763384738,0.0,0.0,True
Total Errors,Time on Task,0.10027697671368,0.0004140763331594,242.170268338083,0.0,0.0,True
