predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,p_fdr,significant_fdr
Intercept,-0.7251136826999675,0.046039887378251806,-15.749684110706461,6.902524360248652e-56,-0.8153502038136212,-0.6348771615863137,,
onoff,-0.12273111590640412,0.03294936375222256,-3.7248402375637815,0.0001954389563343129,-0.18731068217426988,-0.05815154963853837,0.0015635116506745033,True
valence,-0.06877167184843515,0.035062182082353996,-1.9614201901896566,0.049830026655179945,-0.13749228594923457,-5.105774763572435e-05,0.19932010662071978,False
valence_sq,0.031014751667823654,0.025236726523294728,1.2289530355371379,0.21908941498543133,-0.018448323405520748,0.08047782674116806,0.2921192199805751,False
selfother,-0.022110405587242768,0.02709325531958387,-0.8160852332595361,0.41445138900820455,-0.07521221023757538,0.03099139906308985,0.4736587302950909,False
time,-0.0003537266266170542,0.031330342046376525,-0.011290225497489072,0.9909918947639595,-0.06176006866083598,0.061052615407601867,0.9909918947639595,False
time_sq,0.042139065949062034,0.026126123735092172,1.612909223592995,0.10676423101189188,-0.009067195627355702,0.09334532752547978,0.28470461603171165,False
confidence,-0.037378056049588895,0.02833075182090139,-1.319345716127898,0.18705356075865331,-0.09290530927349817,0.018149197174320383,0.2921192199805751,False
time_on_task,0.02619491014478974,0.020272887485711964,1.292115401086872,0.19631718311602253,-0.01353921918983848,0.06592903947941796,0.2921192199805751,False
subject Var,0.12066290512997525,0.03561451365633061,3.388026193319279,0.0007039754110882688,0.050859741036657344,0.19046606922329318,,
