marker,predictor,estimate,std_error,t_value,p_value,p_fdr,significant_fdr
Omission Rate,On/Off Task,-0.20734356401914442,0.02352452413065065,-8.813932340037928,1.208309971457393e-18,9.666479771659144e-18,True
Omission Rate,Valence,0.00729189389384936,0.02554042185432392,0.2855040506159401,0.7752580015496231,0.7752580015496231,False
Omission Rate,Valence² (curvature),0.02419464466148081,0.017883420875389723,1.352909201772256,0.17608463935636876,0.23477951914182502,False
Omission Rate,Self/Other,0.029580832040021262,0.019846084798014016,1.4905122265214445,0.13608960408953902,0.21774336654326243,False
Omission Rate,Time (probe dim.),-0.025572341836205086,0.022319858069690442,-1.1457215254845818,0.25191039434648477,0.28789759353883976,False
Omission Rate,Time² (curvature),-0.05911866204551848,0.01867029975706491,-3.1664548943917072,0.0015430927519170337,0.006172371007668135,True
Omission Rate,Confidence,-0.030709576728384726,0.019137487069971214,-1.6046817754129994,0.10856385464560293,0.21712770929120587,False
Omission Rate,Time on Task,0.024206894644662216,0.013548756461160303,1.7866506578707193,0.07399396865150124,0.19731724973733664,False
Commission Rate,On/Off Task,-0.12273111590640412,0.03294936375222256,-3.7248402375637815,0.0001954389563343129,0.0015635116506745033,True
Commission Rate,Valence,-0.06877167184843515,0.035062182082353996,-1.9614201901896566,0.049830026655179945,0.19932010662071978,False
Commission Rate,Valence² (curvature),0.031014751667823654,0.025236726523294728,1.2289530355371379,0.21908941498543133,0.2921192199805751,False
Commission Rate,Self/Other,-0.022110405587242768,0.02709325531958387,-0.8160852332595361,0.41445138900820455,0.4736587302950909,False
Commission Rate,Time (probe dim.),-0.0003537266266170542,0.031330342046376525,-0.011290225497489072,0.9909918947639595,0.9909918947639595,False
Commission Rate,Time² (curvature),0.042139065949062034,0.026126123735092172,1.612909223592995,0.10676423101189188,0.28470461603171165,False
Commission Rate,Confidence,-0.037378056049588895,0.02833075182090139,-1.319345716127898,0.18705356075865331,0.2921192199805751,False
Commission Rate,Time on Task,0.02619491014478974,0.020272887485711964,1.292115401086872,0.19631718311602253,0.2921192199805751,False
Total Errors,On/Off Task,-0.2486740343935257,0.024122309513628155,-10.308881670431873,6.424453043571815e-25,5.139562434857452e-24,True
Total Errors,Valence,-0.022158738652209638,0.026220378146350292,-0.84509607483651,0.39805719969067177,0.39805719969067177,False
Total Errors,Valence² (curvature),0.03302153971386067,0.01835421769932137,1.7991254247290314,0.07199884267505077,0.11519814828008124,False
Total Errors,Self/Other,0.02202952973460031,0.020354485501682822,1.0822936169415338,0.27912208136704486,0.3189966644194798,False
Total Errors,Time (probe dim.),-0.029723979128119197,0.022932983629669366,-1.2961235052583404,0.19493293810335766,0.2599105841378102,False
Total Errors,Time² (curvature),-0.04494278276437787,0.01917866691578547,-2.343373653743713,0.01911023360824027,0.05096062295530739,False
Total Errors,Confidence,-0.046069436240954074,0.01964546634484718,-2.3450416209151306,0.019024955707304537,0.05096062295530739,False
Total Errors,Time on Task,0.029455757338562986,0.01391753929070053,2.116448656857383,0.0343066675436647,0.0686133350873294,False
RTCV (RT Variability),On/Off Task,-0.07408782231004213,0.015517317072805814,-4.774525258614548,1.8013167509923243e-06,1.4410534007938594e-05,True
RTCV (RT Variability),Valence,-0.010024188270315494,0.01686340252423501,-0.5944345013356213,0.5522215383021248,0.6409261701765461,False
RTCV (RT Variability),Valence² (curvature),0.007976442949514996,0.012118504797744166,0.6582035558544973,0.5104073402227608,0.6409261701765461,False
RTCV (RT Variability),Self/Other,0.011155610481500083,0.013176409087103996,0.8466351042802923,0.3971985409337151,0.6409261701765461,False
RTCV (RT Variability),Time (probe dim.),-0.008717781573231635,0.014988323329158872,-0.5816382114116607,0.5608103989044778,0.6409261701765461,False
RTCV (RT Variability),Time² (curvature),0.0016287751920915625,0.012638365566392851,0.12887546127188307,0.897456193791331,0.897456193791331,False
RTCV (RT Variability),Confidence,-0.018914794376714037,0.012924926322003897,-1.4634353732843146,0.14334828538369287,0.3822620943565143,False
RTCV (RT Variability),Time on Task,0.04094710554340327,0.00924839316383379,4.427483219844996,9.533898679297301e-06,3.8135594717189205e-05,True
