row_variable,column_variable,correlation_type,control_variables,partial_correlation,p_value,sample_size,abs_correlation,data_level,p_fdr_corrected,significant_fdr,significant_uncorrected
PC1,valence,simple,,0.7377582829285957,2.2906365984552795e-153,888,0.7377582829285957,probe,1.1453182992276396e-152,True,True
PC2,time,simple,,0.7073774248404665,1.1866269032707435e-135,888,0.7073774248404665,probe,5.933134516353717e-135,True,True
PC2,selfother,simple,,-0.6673415279124437,1.6047354042573556e-115,888,0.6673415279124437,probe,4.0118385106433887e-115,True,True
PC1,selfother,simple,,0.5799239141135176,6.221283703415766e-81,888,0.5799239141135176,probe,1.5553209258539415e-80,True,True
PC3,valence,simple,,0.5604809155301068,1.3524297249272033e-74,888,0.5604809155301068,probe,6.762148624636016e-74,True,True
PC1,mwq,partial,"onoff, valence, time, selfother, confidence",-0.5317615227525906,0.003588002197399322,33,0.5317615227525906,subject,0.0322920197765939,True,True
onoff,confidence,simple,,0.512455902695109,7.863303074912225e-165,2460,0.512455902695109,probe,3.14532122996489e-164,True,True
confidence,onoff,simple,,0.512455902695109,7.863303074912225e-165,2460,0.512455902695109,probe,3.14532122996489e-164,True,True
PC1,time,simple,,0.48717098428245587,4.098254686678967e-54,888,0.48717098428245587,probe,6.830424477798278e-54,True,True
valence,time,simple,,0.483098522117204,4.656696871744176e-144,2460,0.483098522117204,probe,1.8626787486976704e-143,True,True
time,valence,simple,,0.483098522117204,4.656696871744176e-144,2460,0.483098522117204,probe,1.8626787486976704e-143,True,True
valence,confidence,simple,,0.4824551771150475,1.2617469761306087e-143,2460,0.4824551771150475,probe,2.5234939522612174e-143,True,True
confidence,valence,simple,,0.4824551771150474,1.2617469761309328e-143,2460,0.4824551771150474,probe,2.5234939522618657e-143,True,True
PC1,rrs_tot,partial,"onoff, valence, time, selfother, confidence",-0.4737050570150897,0.010886000056621693,33,0.4737050570150897,subject,0.04898700025479762,True,True
valence,self-esteem,partial,"onoff, time, selfother, confidence",0.4607921534541606,0.004103286429765231,41,0.4607921534541606,subject,0.03559607046000321,True,True
valence,rrs_tot,partial,"onoff, time, selfother, confidence",-0.42994151416363,0.007910237880000713,41,0.42994151416363,subject,0.03559607046000321,True,True
onoff,valence,simple,,0.4248249602472006,2.211752956730893e-108,2460,0.4248249602472006,probe,4.423505913461786e-108,True,True
valence,onoff,simple,,0.4248249602472006,2.211752956730893e-108,2460,0.4248249602472006,probe,2.9490039423078573e-108,True,True
PC3,selfother,simple,,-0.4170112147684143,1.125887350248465e-38,888,0.4170112147684143,probe,2.8147183756211625e-38,True,True
valence,fne,partial,"onoff, time, selfother, confidence",-0.40545010661877645,0.012789818053219213,41,0.40545010661877645,subject,0.038369454159657645,True,True
PC3,time,simple,,-0.36534311918141305,1.9914733573373736e-29,888,0.36534311918141305,probe,3.319122262228956e-29,True,True
PC1,confidence,simple,,0.2965993536679491,1.7170922506555658e-19,888,0.2965993536679491,probe,2.1463653133194572e-19,True,True
confidence,time,simple,,0.24830702826311163,6.946261514114079e-36,2460,0.24830702826311163,probe,9.261682018818772e-36,True,True
time,confidence,simple,,0.2483070282631116,6.9462615141143e-36,2460,0.2483070282631116,probe,1.0096134473346291e-35,True,True
onoff,time,simple,,0.24817516677423426,7.572100855009719e-36,2460,0.24817516677423426,probe,1.0096134473346291e-35,True,True
time,onoff,simple,,0.24817516677423426,7.572100855009719e-36,2460,0.24817516677423426,probe,1.0096134473346291e-35,True,True
PC1,onoff,simple,,-0.23241173027871315,2.346076806990545e-12,888,0.23241173027871315,probe,2.346076806990545e-12,True,True
PC3,confidence,simple,,0.14007753816476398,2.8017822809755988e-05,888,0.14007753816476398,probe,3.502227851219498e-05,True,True
selfother,confidence,simple,,0.12830319666301332,1.6938189881616374e-10,2460,0.12830319666301332,probe,3.508867511079851e-10,True,True
confidence,selfother,simple,,0.12830319666301332,1.6938189881616374e-10,2460,0.12830319666301332,probe,1.6938189881616374e-10,True,True
onoff,selfother,simple,,0.12819598751435293,1.7544337555398964e-10,2460,0.12819598751435293,probe,1.7544337555398964e-10,True,True
selfother,onoff,simple,,0.1281959875143529,1.7544337555399254e-10,2460,0.1281959875143529,probe,3.508867511079851e-10,True,True
selfother,valence,simple,,0.09485721505926818,2.4409167977056454e-06,2460,0.09485721505926818,probe,3.2545557302741937e-06,True,True
valence,selfother,simple,,0.09485721505926817,2.4409167977056607e-06,2460,0.09485721505926817,probe,2.4409167977056607e-06,True,True
selfother,self-esteem,partial,"onoff, valence, time, confidence",-0.4150587512335351,0.010635749029852879,41,0.4150587512335351,subject,0.09572174126867591,False,True
time,ctq_tot,partial,"onoff, valence, selfother, confidence",-0.4103592607191846,0.027031240997677702,33,0.4103592607191846,subject,0.24328116897909932,False,True
PC1,fne,partial,"onoff, valence, time, selfother, confidence",-0.394405253390657,0.03781192514249523,33,0.394405253390657,subject,0.11343577542748569,False,True
PC1,self-esteem,partial,"onoff, valence, time, selfother, confidence",0.34566985460247796,0.07158898964625564,33,0.34566985460247796,subject,0.1610752267040752,False,False
PC2,age,partial,"onoff, valence, time, selfother, confidence",-0.32995398553084876,0.08639129107831463,33,0.32995398553084876,subject,0.6975311633403778,False,False
PC1,bdi,partial,"onoff, valence, time, selfother, confidence",-0.30849642432705904,0.11021634808484178,33,0.30849642432705904,subject,0.1983894265527152,False,False
confidence,rrs_tot,partial,"onoff, valence, time, selfother",-0.2974664965215289,0.07377022471367703,41,0.2974664965215289,subject,0.6639320224230933,False,False
selfother,sris,partial,"onoff, valence, time, confidence",0.2899610397880049,0.08171045260195545,41,0.2899610397880049,subject,0.36769703670879955,False,False
valence,mwq,partial,"onoff, time, selfother, confidence",-0.2857026372462393,0.08650147954217077,41,0.2857026372462393,subject,0.19462832896988425,False,False
PC1,ctq_tot,partial,"onoff, valence, time, selfother, confidence",0.2813444083814504,0.1829222872543459,29,0.2813444083814504,subject,0.27438343088151884,False,False
onoff,a_rsq,partial,"valence, time, selfother, confidence",-0.2657633295985414,0.1118729498406115,41,0.2657633295985414,subject,0.7638526494127975,False,False
time,fne,partial,"onoff, valence, selfother, confidence",0.2503432986881436,0.13506427873135415,41,0.2503432986881436,subject,0.5833041903735302,False,False
PC1,sris,partial,"onoff, valence, time, selfother, confidence",0.23671939407204048,0.22519780821998858,33,0.23671939407204048,subject,0.28954003913998533,False,False
PC2,fne,partial,"onoff, valence, time, selfother, confidence",0.2282988450616425,0.24261431361555097,33,0.2282988450616425,subject,0.6975311633403778,False,False
onoff,age,partial,"valence, time, selfother, confidence",0.22739949126690487,0.16974503320284387,42,0.22739949126690487,subject,0.7638526494127975,False,False
selfother,age,partial,"onoff, valence, time, confidence",-0.21948504072040353,0.18549925934917164,42,0.21948504072040353,subject,0.556497778047515,False,False
selfother,ctq_tot,partial,"onoff, valence, time, confidence",0.21849477911588136,0.2548289103311079,33,0.21849477911588136,subject,0.568125720157224,False,False
time,a_rsq,partial,"onoff, valence, selfother, confidence",0.21822765868378402,0.19443473012451007,41,0.21822765868378402,subject,0.5833041903735302,False,False
PC3,age,partial,"onoff, valence, time, selfother, confidence",-0.20828357585547674,0.2875079650190459,33,0.20828357585547674,subject,0.8905815757290241,False,False
PC3,self-esteem,partial,"onoff, valence, time, selfother, confidence",0.19273185905329554,0.3258056374797451,33,0.19273185905329554,subject,0.8905815757290241,False,False
valence,a_rsq,partial,"onoff, time, selfother, confidence",-0.189178157917944,0.2621206844453704,41,0.189178157917944,subject,0.4581327716770704,False,False
confidence,ctq_tot,partial,"onoff, valence, time, selfother",-0.1874136349473057,0.3302942573032647,33,0.1874136349473057,subject,0.6957985331973481,False,False
PC3,bdi,partial,"onoff, valence, time, selfother, confidence",-0.1806358297878407,0.3576486607000971,33,0.1806358297878407,subject,0.8905815757290241,False,False
PC2,ctq_tot,partial,"onoff, valence, time, selfother, confidence",-0.18056755203071032,0.398475957276598,29,0.18056755203071032,subject,0.6975311633403778,False,False
PC3,ctq_tot,partial,"onoff, valence, time, selfother, confidence",-0.17995946637161803,0.4000929762733463,29,0.17995946637161803,subject,0.8905815757290241,False,False
PC2,mwq,partial,"onoff, valence, time, selfother, confidence",0.17993618500830044,0.35954503770418783,33,0.17993618500830044,subject,0.6975311633403778,False,False
valence,bdi,partial,"onoff, time, selfother, confidence",-0.17315464425592506,0.3054218477847136,41,0.17315464425592506,subject,0.4581327716770704,False,False
selfother,rrs_tot,partial,"onoff, valence, time, confidence",0.16286490149950952,0.3354887035638239,41,0.16286490149950952,subject,0.568125720157224,False,False
confidence,sris,partial,"onoff, valence, time, selfother",0.15766160262308562,0.35136295044323584,41,0.15766160262308562,subject,0.6957985331973481,False,False
confidence,mwq,partial,"onoff, valence, time, selfother",-0.14868226869688114,0.3798060881468858,41,0.14868226869688114,subject,0.6957985331973481,False,False
onoff,mwq,partial,"valence, time, selfother, confidence",-0.147809284744322,0.3826416526772146,41,0.147809284744322,subject,0.956336143275244,False,False
PC2,self-esteem,partial,"onoff, valence, time, selfother, confidence",-0.1476134720724837,0.45349193295451107,33,0.1476134720724837,subject,0.6975311633403778,False,False
confidence,bdi,partial,"onoff, valence, time, selfother",-0.14661076646907453,0.3865547406651934,41,0.14661076646907453,subject,0.6957985331973481,False,False
PC2,a_rsq,partial,"onoff, valence, time, selfother, confidence",0.14391128799765646,0.46502077556025184,33,0.14391128799765646,subject,0.6975311633403778,False,False
selfother,mwq,partial,"onoff, valence, time, confidence",0.1417894115839393,0.40253048830659427,41,0.1417894115839393,subject,0.568125720157224,False,False
time,sris,partial,"onoff, valence, selfother, confidence",-0.13736861006184,0.41750606549665054,41,0.13736861006184,subject,0.8360609916792867,False,False
onoff,bdi,partial,"valence, time, selfother, confidence",-0.13517894919553017,0.4250382859001084,41,0.13517894919553017,subject,0.956336143275244,False,False
PC3,fne,partial,"onoff, valence, time, selfother, confidence",-0.13457346532242792,0.49476754207168006,33,0.13457346532242792,subject,0.8905815757290241,False,False
selfother,bdi,partial,"onoff, valence, time, confidence",0.1303611223173486,0.4418755601222853,41,0.1303611223173486,subject,0.568125720157224,False,False
time,age,partial,"onoff, valence, selfother, confidence",-0.12230272540964306,0.46447832871071487,42,0.12230272540964306,subject,0.8360609916792867,False,False
valence,ctq_tot,partial,"onoff, time, selfother, confidence",0.11250894665196318,0.5611877194024945,33,0.11250894665196318,subject,0.6736706550748516,False,False
PC3,mwq,partial,"onoff, valence, time, selfother, confidence",-0.10064537365907648,0.6103446611196616,33,0.10064537365907648,subject,0.9046669592679898,False,False
PC2,rrs_tot,partial,"onoff, valence, time, selfother, confidence",0.08954984571525279,0.650432394665336,33,0.08954984571525279,subject,0.7123319363948156,False,False
valence,age,partial,"onoff, time, selfother, confidence",0.0881221691134405,0.5988183600665347,42,0.0881221691134405,subject,0.6736706550748516,False,False
PC2,bdi,partial,"onoff, valence, time, selfother, confidence",0.08754050383873409,0.6577992729683282,33,0.08754050383873409,subject,0.7123319363948156,False,False
confidence,age,partial,"onoff, valence, time, selfother",0.08138121259201725,0.6271683728018388,42,0.08138121259201725,subject,0.7702841079529557,False,False
PC1,age,partial,"onoff, valence, time, selfother, confidence",-0.07871446804410176,0.6905221179038032,33,0.07871446804410176,subject,0.7768373826417787,False,False
time,rrs_tot,partial,"onoff, valence, selfother, confidence",0.07507334145732161,0.6587758380503906,41,0.07507334145732161,subject,0.9056997205126674,False,False
PC2,sris,partial,"onoff, valence, time, selfother, confidence",0.07291411628636943,0.7123319363948156,33,0.07291411628636943,subject,0.7123319363948156,False,False
confidence,fne,partial,"onoff, valence, time, selfother",-0.07163127173751194,0.6735337767812606,41,0.07163127173751194,subject,0.7702841079529557,False,False
onoff,rrs_tot,partial,"valence, time, selfother, confidence",-0.06985599523421711,0.68119298841421,41,0.06985599523421711,subject,0.9960420934158607,False,False
confidence,self-esteem,partial,"onoff, valence, time, selfother",0.0690462666929403,0.6846969848470716,41,0.0690462666929403,subject,0.7702841079529557,False,False
time,self-esteem,partial,"onoff, valence, selfother, confidence",-0.0645128263343643,0.7044331159542969,41,0.0645128263343643,subject,0.9056997205126674,False,False
PC2,onoff,simple,,0.061500636455907316,0.0669766837462321,888,0.061500636455907316,probe,0.11162780624372017,False,False
PC3,rrs_tot,partial,"onoff, valence, time, selfother, confidence",-0.06003002265581824,0.7615542489875997,33,0.06003002265581824,subject,0.9046669592679898,False,False
valence,sris,partial,"onoff, time, selfother, confidence",-0.053857214065779806,0.7515574335289236,41,0.053857214065779806,subject,0.7515574335289236,False,False
onoff,self-esteem,partial,"valence, time, selfother, confidence",-0.04159810235245475,0.8068804545016688,41,0.04159810235245475,subject,0.9960420934158607,False,False
PC1,a_rsq,partial,"onoff, valence, time, selfother, confidence",0.03766812990376836,0.8490734655805133,33,0.03766812990376836,subject,0.8490734655805133,False,False
selfother,a_rsq,partial,"onoff, valence, time, confidence",-0.0326975484538961,0.8476512007614246,41,0.0326975484538961,subject,0.926547632037158,False,False
confidence,a_rsq,partial,"onoff, valence, time, selfother",-0.030122932504077424,0.8595227573505579,41,0.030122932504077424,subject,0.8595227573505579,False,False
time,selfother,simple,,-0.028683314838388523,0.1549636425639315,2460,0.028683314838388523,probe,0.1549636425639315,False,False
selfother,time,simple,,-0.028683314838388523,0.1549636425639315,2460,0.028683314838388523,probe,0.1549636425639315,False,False
