group,selfother,subject_id
,91.0,43
,51.0,43
,41.0,43
,54.0,43
,47.0,43
,38.0,43
,29.0,43
,61.0,43
,96.0,43
,37.0,43
,52.0,43
,35.0,43
,53.0,43
,38.0,43
,71.0,43
,68.0,43
,51.0,43
,85.0,43
,72.0,43
,87.0,43
,37.0,43
,51.0,43
,78.0,43
,50.0,43
,49.0,43
,54.0,43
,93.0,43
,6.0,43
,78.0,43
,77.0,43
,52.0,43
,69.0,43
,94.0,43
,89.0,43
,99.0,43
,89.0,43
,58.0,43
,94.0,43
,50.0,43
,78.0,43
,76.0,43
,40.0,43
,51.0,43
,88.0,43
,36.0,43
,78.0,43
,48.0,43
,70.0,43
,2.0,43
,21.0,43
,61.0,43
,89.0,43
,30.0,43
,79.0,43
,31.0,43
,86.0,43
,55.0,43
,33.0,43
,50.0,43
,47.0,43
