PC,Group,Inclusion_Exclusion,N,Mean,SD,SE
PC1,Controls,baseline,287,0.0930249654147367,1.2019277392686925,0.07094755118323244
PC1,Controls,inclusion,157,0.29235770007871315,1.1617833005721223,0.09272040147801161
PC1,Controls,exclusion,200,0.24099909574547967,1.0880823186685837,0.07693903860197375
PC1,Risk of Depression,baseline,196,-0.17589163176970096,0.9348585212096999,0.0667756086578357
PC1,Risk of Depression,inclusion,123,-0.0376231854806228,1.02742802691968,0.09264006536797487
PC1,Risk of Depression,exclusion,119,-0.6865187520546668,1.065188344206948,0.09764565541864784
PC2,Controls,baseline,287,0.16879286673998806,0.9758422923166187,0.057602149213247265
PC2,Controls,inclusion,157,0.16976567021047917,0.9835789837400957,0.0784981486760963
PC2,Controls,exclusion,200,0.038994860025075,1.01913656913444,0.07206383789901552
PC2,Risk of Depression,baseline,196,-0.19697272429171556,0.9493371817164303,0.06780979869403074
PC2,Risk of Depression,inclusion,123,-0.23652032468924147,0.9761492163659574,0.08801641073015931
PC2,Risk of Depression,exclusion,119,-0.12770656373515804,1.0593763594562045,0.09711287165007208
PC3,Controls,baseline,287,0.19198528141872928,0.8408127178311282,0.049631605449203385
PC3,Controls,inclusion,157,0.13893651166048476,0.7437763199329821,0.0593598125916107
PC3,Controls,exclusion,200,0.11686931491699758,0.8378539618613026,0.0592452218076142
PC3,Risk of Depression,baseline,196,-0.24943842806770056,0.8874054504577089,0.06338610360412207
PC3,Risk of Depression,inclusion,123,-0.08934619800715743,0.8211847791664726,0.07404373798254894
PC3,Risk of Depression,exclusion,119,-0.3395559397069012,0.7847767514356935,0.07194036685437824
