dv,dv_label,experimental_effect,beta,se,p_value,p_fdr,significant,sig_marker
onoff,OnOff,"C(group, Treatment('Controls'))[T.Risk of Depression]",-0.38686136327840337,0.11975600119080083,0.0012361144494023497,0.003955566238087519,True,**
onoff,OnOff,Group Var,0.6447433985052434,0.1894795877861933,0.0006672194733292231,0.0032411008973196333,True,**
valence,Valence,"C(group, Treatment('Controls'))[T.Risk of Depression]",-0.4597003400596152,0.2436851875680161,0.059234109235675736,0.09477457477708118,False,
valence,Valence,Group Var,0.9238161879046446,0.2758268994545981,0.0008102752243299083,0.0032411008973196333,True,**
time,Time,"C(group, Treatment('Controls'))[T.Risk of Depression]",-0.17025679586397313,0.11713004758883351,0.14606538740436265,0.21245874531543657,False,
time,Time,Group Var,0.08109174612109299,0.035676574930546816,0.023028052721616576,0.04093876039398502,True,*
selfother,Self/Other,"C(group, Treatment('Controls'))[T.Risk of Depression]",0.15340139914619497,0.20628423761729456,0.4570937436718234,0.4570937436718234,False,
selfother,Self/Other,Group Var,0.5956265139284127,0.1775765108609477,0.0007959581243994667,0.0032411008973196333,True,**
confidence,Confidence,"C(group, Treatment('Controls'))[T.Risk of Depression]",-0.3136743374657818,0.2984531138632583,0.2932584131830792,0.3128089740619512,False,
confidence,Confidence,Group Var,0.5545537634825499,0.1790953915542842,0.0019587561743258223,0.004867576776909625,True,**
PC1,PC1,"C(group, Treatment('Controls'))[T.Risk of Depression]",-0.3709673051957867,0.266577780730081,0.16404621219825577,0.21872828293100768,False,
PC1,PC1,Group Var,1.0190541691304114,0.29756950589949405,0.0006157231824417086,0.0032411008973196333,True,**
PC2,PC2,"C(group, Treatment('Controls'))[T.Risk of Depression]",0.23715029430449092,0.20248734896924384,0.24152412856068783,0.29726046592084654,False,
PC2,PC2,Group Var,0.37733957465193607,0.12285022414884815,0.002129564839897961,0.004867576776909625,True,**
PC3,PC3,"C(group, Treatment('Controls'))[T.Risk of Depression]",-0.21236817302867436,0.1891005457067615,0.26141894305899016,0.2987645063531316,False,
PC3,PC3,Group Var,0.24578870585708087,0.08860078054831949,0.005535220069513067,0.011070440139026133,True,*
