row_variable,column_variable,correlation_type,control_variables,partial_correlation,p_value,sample_size,abs_correlation,data_level,p_fdr_corrected,significant_fdr,significant_uncorrected
PC2,time,partial,"onoff, valence, selfother, confidence",0.9217951149020249,0.0,1082,0.9217951149020249,probe,0.0,True,True
PC2,selfother,partial,"onoff, valence, time, confidence",-0.8998505583006549,0.0,1082,0.8998505583006549,probe,0.0,True,True
PC3,valence,partial,"onoff, time, selfother, confidence",0.8758295067063744,0.0,1082,0.8758295067063744,probe,0.0,True,True
PC1,valence,partial,"onoff, time, selfother, confidence",0.8680019770613898,0.0,1082,0.8680019770613898,probe,0.0,True,True
PC1,selfother,partial,"onoff, valence, time, confidence",0.8523742900787854,3.1795912737713253e-305,1082,0.8523742900787854,probe,7.948978184428313e-305,True,True
PC3,selfother,partial,"onoff, valence, time, confidence",-0.8264109788353571,1.1790190128358482e-270,1082,0.8264109788353571,probe,2.9475475320896203e-270,True,True
PC3,time,partial,"onoff, valence, selfother, confidence",-0.7799927780379582,2.81623557048154e-221,1082,0.7799927780379582,probe,4.693725950802566e-221,True,True
PC1,time,partial,"onoff, valence, selfother, confidence",0.7701341189630487,2.5101533162662245e-212,1082,0.7701341189630487,probe,4.1835888604437075e-212,True,True
valence,self-esteem,partial,"onoff, time, selfother, confidence",0.4607921534541606,0.004103286429765231,41,0.4607921534541606,subject,0.03559607046000321,True,True
valence,rrs_tot,partial,"onoff, time, selfother, confidence",-0.42994151416363,0.007910237880000713,41,0.42994151416363,subject,0.03559607046000321,True,True
valence,time,partial,"onoff, selfother, confidence",0.41249611150898097,1.447588604809097e-101,2460,0.41249611150898097,probe,5.790354419236388e-101,True,True
time,valence,partial,"onoff, selfother, confidence",0.41249611150898063,1.447588604809643e-101,2460,0.41249611150898063,probe,5.790354419238571e-101,True,True
valence,fne,partial,"onoff, time, selfother, confidence",-0.40545010661877645,0.012789818053219213,41,0.40545010661877645,subject,0.038369454159657645,True,True
confidence,onoff,partial,"valence, time, selfother",0.38121808446425515,8.109645335781684e-86,2460,0.38121808446425515,probe,3.2438581343126734e-85,True,True
onoff,confidence,partial,"valence, time, selfother",0.3812180844642549,8.109645335783688e-86,2460,0.3812180844642549,probe,3.243858134313475e-85,True,True
confidence,valence,partial,"onoff, time, selfother",0.306545063615383,1.2920383423706276e-54,2460,0.306545063615383,probe,2.5840766847412553e-54,True,True
valence,confidence,partial,"onoff, time, selfother",0.30654506361538186,1.2920383423717434e-54,2460,0.30654506361538186,probe,2.584076684743487e-54,True,True
onoff,valence,partial,"time, selfother, confidence",0.18958719515923378,2.572491732168796e-21,2460,0.18958719515923378,probe,5.144983464337592e-21,True,True
valence,onoff,partial,"time, selfother, confidence",0.18958719515923378,2.572491732168796e-21,2460,0.18958719515923378,probe,3.4299889762250615e-21,True,True
PC1,confidence,partial,"onoff, valence, time, selfother",0.18173889823033135,1.8528013286286586e-09,1082,0.18173889823033135,probe,2.316001660785823e-09,True,True
PC1,onoff,partial,"valence, time, selfother, confidence",-0.12889453253801422,2.1879736229544328e-05,1082,0.12889453253801422,probe,2.1879736229544328e-05,True,True
PC3,confidence,partial,"onoff, valence, time, selfother",0.10409196400714428,0.0006193877870700528,1082,0.10409196400714428,probe,0.000774234733837566,True,True
selfother,time,partial,"onoff, valence, confidence",-0.09143500888708932,5.639634160878963e-06,2460,0.09143500888708932,probe,2.2558536643515853e-05,True,True
time,selfother,partial,"onoff, valence, confidence",-0.09143500888708826,5.6396341608803396e-06,2460,0.09143500888708826,probe,1.1279268321760679e-05,True,True
selfother,onoff,partial,"valence, time, confidence",0.07108080278218884,0.00042187038915859795,2460,0.07108080278218884,probe,0.0008437407783171959,True,True
onoff,selfother,partial,"valence, time, confidence",0.07108080278218866,0.000421870389158613,2460,0.07108080278218866,probe,0.0005624938522114841,True,True
confidence,selfother,partial,"onoff, valence, time",0.0621008872350157,0.0020725695450079288,2460,0.0621008872350157,probe,0.002763426060010572,True,True
selfother,confidence,partial,"onoff, valence, time",0.062100887235015556,0.0020725695450079813,2460,0.062100887235015556,probe,0.0027634260600106417,True,True
selfother,valence,partial,"onoff, time, confidence",0.05702379155291677,0.004692394746566925,2460,0.05702379155291677,probe,0.004692394746566925,True,True
valence,selfother,partial,"onoff, time, confidence",0.05702379155291616,0.004692394746567367,2460,0.05702379155291616,probe,0.004692394746567367,True,True
onoff,time,partial,"valence, selfother, confidence",0.05659148513313624,0.0050167590869030195,2460,0.05659148513313624,probe,0.0050167590869030195,True,True
time,onoff,partial,"valence, selfother, confidence",0.056591485133136145,0.005016759086903098,2460,0.056591485133136145,probe,0.006689012115870798,True,True
PC1,mwq,partial,"onoff, valence, time, selfother, confidence",-0.43070481650919024,0.017501408652405875,35,0.43070481650919024,subject,0.10090161341509936,False,True
selfother,self-esteem,partial,"onoff, valence, time, confidence",-0.4150587512335351,0.010635749029852879,41,0.4150587512335351,subject,0.09572174126867591,False,True
time,ctq_tot,partial,"onoff, valence, selfother, confidence",-0.4103592607191846,0.027031240997677702,33,0.4103592607191846,subject,0.24328116897909932,False,True
PC1,self-esteem,partial,"onoff, valence, time, selfother, confidence",0.4053833279233115,0.026254441769229572,35,0.4053833279233115,subject,0.10090161341509936,False,True
PC1,bdi,partial,"onoff, valence, time, selfother, confidence",-0.3889727281040902,0.03363387113836645,35,0.3889727281040902,subject,0.10090161341509936,False,True
PC1,rrs_tot,partial,"onoff, valence, time, selfother, confidence",-0.3428530649452471,0.06363087102172449,35,0.3428530649452471,subject,0.1431694597988801,False,False
PC3,ctq_tot,partial,"onoff, valence, time, selfother, confidence",-0.310241299346617,0.12295938602376506,31,0.310241299346617,subject,0.5533172371069428,False,False
PC3,age,partial,"onoff, valence, time, selfother, confidence",-0.30012167087621155,0.10709662030556227,35,0.30012167087621155,subject,0.5533172371069428,False,False
confidence,rrs_tot,partial,"onoff, valence, time, selfother",-0.2974664965215289,0.07377022471367703,41,0.2974664965215289,subject,0.6639320224230933,False,False
selfother,sris,partial,"onoff, valence, time, confidence",0.2899610397880049,0.08171045260195545,41,0.2899610397880049,subject,0.36769703670879955,False,False
valence,mwq,partial,"onoff, time, selfother, confidence",-0.2857026372462393,0.08650147954217077,41,0.2857026372462393,subject,0.19462832896988425,False,False
onoff,a_rsq,partial,"valence, time, selfother, confidence",-0.2657633295985414,0.1118729498406115,41,0.2657633295985414,subject,0.7638526494127975,False,False
PC1,fne,partial,"onoff, valence, time, selfother, confidence",-0.257525535480705,0.16947493649739775,35,0.257525535480705,subject,0.30505488569531597,False,False
time,fne,partial,"onoff, valence, selfother, confidence",0.2503432986881436,0.13506427873135415,41,0.2503432986881436,subject,0.5833041903735302,False,False
PC2,rrs_tot,partial,"onoff, valence, time, selfother, confidence",0.24634705337075827,0.18941998122784612,35,0.24634705337075827,subject,0.6805553911893001,False,False
onoff,age,partial,"valence, time, selfother, confidence",0.22739949126690487,0.16974503320284387,42,0.22739949126690487,subject,0.7638526494127975,False,False
selfother,age,partial,"onoff, valence, time, confidence",-0.21948504072040353,0.18549925934917164,42,0.21948504072040353,subject,0.556497778047515,False,False
selfother,ctq_tot,partial,"onoff, valence, time, confidence",0.21849477911588136,0.2548289103311079,33,0.21849477911588136,subject,0.568125720157224,False,False
time,a_rsq,partial,"onoff, valence, selfother, confidence",0.21822765868378402,0.19443473012451007,41,0.21822765868378402,subject,0.5833041903735302,False,False
PC1,age,partial,"onoff, valence, time, selfother, confidence",-0.19846445645832977,0.2930987124129048,35,0.19846445645832977,subject,0.43964806861935724,False,False
